plot,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,latitude,longitude,accuracy,elevation,type,alliance.code,alliance,association,soil,comment,location,observer
seri01,99,65,10,90,20,1,28,8,4,"0,5","0,1",16,16,E,5,0,1,0,2025-05-12,47.883843,13.120910,10,507,forest,,,,,,"Seekirchen, Ried",T. Eberl
seri02,98,0,0,0,98,2,0,0,0,"0,7","0,1",4,4,E,5,0,2,0,2025-05-12,47.882353,13.120703,10,506,meadow,,,,,,"Seekirchen, Ried",T. Eberl
seri03,100,0,0,0,100,1,0,0,0,"0,9","0,1",4,4,S,2,0,0,0,2025-05-12,47.882633,13.120110,10,509,meadow,,,,,,"Seekirchen, Ried",T. Eberl
seri04,100,0,0,0,100,1,0,0,0,1,"0,1",4,4,S,2,0,0,0,2025-05-12,47.883055,13.119383,10,510,meadow,,,,,,"Seekirchen, Ried",T. Eberl
seri05,99,95,10,5,70,1,15,8,"2,5","0,4","0,05",8,32,E,3,0,1,0,2025-05-12,47.882613,13.121064,10,507,forest,,,,,,"Seekirchen, Ried",T. Eberl
seri06,99,65,20,35,96,1,15,8,4,1,"0,1",16,16,E,3,0,1,0,2025-05-12,47.884015,13.121507,10,507,forest,,,,,,"Seekirchen, Ried",T. Eberl
seri07,99,70,20,80,75,1,22,12,5,1,"0,1",16,16,E,3,0,1,0,2025-05-12,47.883533,13.121387,10,506,forest,,,,,,"Seekirchen, Ried",T. Eberl
seri08,100,0,0,6,100,1,0,0,4,"1,5","0,8",8,8,E,10,0,0,0,2025-05-12,47.882862,13.120807,10,511,clearcut,,,,,,"Seekirchen, Ried",T. Eberl
seri09,100,0,0,6,100,0,0,0,4,"0,8","0,5",8,8,E,10,0,0,0,2025-05-12,47.883391,13.120786,10,513,clearcut,,,,,,"Seekirchen, Ried",T. Eberl
seri10,98,95,25,20,80,1,30,15,2,"0,6","0,1",16,16,SSW,12,0,2,0,2025-05-12,47.883130,13.120168,10,513,forest,,,,,,"Seekirchen, Ried",T. Eberl
seri11,99,95,7,85,35,1,32,12,"3,5","0,6","0,05",16,16,SW,10,0,1,0,2025-05-12,47.883450,13.119733,10,515,forest,,,,,,"Seekirchen, Ried",T. Eberl
seri12,99,20,85,10,25,1,23,8,"2,5","0,6","0,1",16,16,F,0,0,1,0,2025-05-12,47.884115,13.120786,10,507,forest,,,,,,"Seekirchen, Ried",T. Eberl
seri13,97,50,85,40,15,1,35,12,4,"0,6","0,1",16,16,M,10,0,3,0,2025-05-19,47.883782,13.120460,10,511,forest,,,,,,"Seekirchen, Ried",T. Eberl
