"plot";"date";"year_releve";"month_releve";"day_releve";"geology";"exp";"hhl";"cover";"grasses";"forbs";"legumes";"mosses";"rock";"location";"latitude";"longitude";"accuracy";"msm";"observer"
"john11";"1993-06-03";1993;6;3;"Kristallin";"Süd";50;96;50;35;15;;;"Haberl";"47.475003N";"14.645392E";;1100;"Sobotik et al."
"john12";"1994-05-26";1994;5;26;"Kristallin";"Süd";20;90;60;40;5;;;"Haberl";"47.475003N";"14.645392E";;1100;"Sobotik et al."
"john13";"1995-06-13";1995;6;13;"Kristallin";"Süd";25;95;60;35;5;;;"Haberl";"47.475003N";"14.645392E";;1100;"Sobotik et al."
"john14";"1996-06-11";1996;6;11;"Kristallin";"Süd";40;85;65;30;5;;;"Haberl";"47.475003N";"14.645392E";;1100;"Sobotik et al."
"john21";"1993-06-15";1993;6;15;"Kalk";"Süd";50;92;40;40;20;;;"Kölblalm";"47.532242N";"14.642114E";;1100;"Sobotik et al."
"john22";"1994-05-31";1994;5;31;"Kalk";"Süd";20;95;45;45;10;;;"Kölblalm";"47.532242N";"14.642114E";;1100;"Sobotik et al."
"john23";"1995-06-26";1995;6;26;"Kalk";"Süd";35;95;35;55;10;;;"Kölblalm";"47.532242N";"14.642114E";;1100;"Sobotik et al."
"john24";"1996-06-12";1996;6;12;"Kalk";"Süd";40;85;50;42;8;;;"Kölblalm";"47.532242N";"14.642114E";;1100;"Sobotik et al."
"john31";"1993-06-18";1993;6;18;"Kalk";"Nord";25;87;30;50;15;5;;"Jägerhaus";"47.567608N";"14.705047E";;1100;"Sobotik et al."
"john32";"1994-06-20";1994;6;20;"Kalk";"Nord";30;95;35;45;15;2;;"Jägerhaus";"47.567608N";"14.705047E";;1100;"Sobotik et al."
"john33";"1995-07-05";1995;7;5;"Kalk";"Nord";;96;30;57;10;12;;"Jägerhaus";"47.567608N";"14.705047E";;1100;"Sobotik et al."
"john34";"1996-06-20";1996;6;20;"Kalk";"Nord";23;97;40;50;10;12;;"Jägerhaus";"47.567608N";"14.705047E";;1100;"Sobotik et al."
"john41";"1993-06-18";1993;6;18;"Kristallin";"Nord";50;92;40;45;15;5;;"Plodenau";"47.517606N";"14.642372E";;1100;"Sobotik et al."
"john42";"1994-05-31";1994;5;31;"Kristallin";"Nord";20;99;40;35;25;;;"Plodenau";"47.517606N";"14.642372E";;1100;"Sobotik et al."
"john43";"1995-06-26";1995;6;26;"Kristallin";"Nord";36;99;35;35;30;5;;"Plodenau";"47.517606N";"14.642372E";;1100;"Sobotik et al."
"john44";"1996-06-12";1996;6;12;"Kristallin";"Nord";32;95;40;40;20;3;;"Plodenau";"47.517606N";"14.642372E";;1100;"Sobotik et al."
"john51";"1993-06-17";1993;6;17;"Kristallin";"Süd";63;92;45;50;5;;;"Bucheck";"47.483103N";"14.666438E";;1300;"Sobotik et al."
"john52";"1994-06-20";1994;6;20;"Kristallin";"Süd";;92;50;50;10;2;;"Bucheck";"47.483103N";"14.666438E";;1300;"Sobotik et al."
"john53";"1995-06-29";1995;6;29;"Kristallin";"Süd";34;94;45;45;10;2;;"Bucheck";"47.483103N";"14.666438E";;1300;"Sobotik et al."
"john54";"1996-06-11";1996;6;11;"Kristallin";"Süd";28;93;45;50;5;2;;"Bucheck";"47.483103N";"14.666438E";;1300;"Sobotik et al."
"john61";"1993-06-22";1993;6;22;"Kalk";"Süd";20;98;35;50;15;;;"Pfarralm";"47.532186N";"14.664883E";;1300;"Sobotik et al."
"john62";"1994-06-22";1994;6;22;"Kalk";"Süd";40;98;45;50;5;;;"Pfarralm";"47.532186N";"14.664883E";;1300;"Sobotik et al."
"john63";"1995-06-26";1995;6;26;"Kalk";"Süd";25;99;30;60;10;;;"Pfarralm";"47.532186N";"14.664883E";;1300;"Sobotik et al."
"john64";"1996-06-12";1996;6;12;"Kalk";"Süd";20;95;30;65;5;;;"Pfarralm";"47.532186N";"14.664883E";;1300;"Sobotik et al."
"john71";"1993-06-22";1993;6;22;"Kalk";"Nord";25;98;35;50;15;;;"Hüpflinger Alm";"47.550513N";"14.694811E";;1300;"Sobotik et al."
"john72";"1994-07-05";1994;7;5;"Kalk";"Nord";35;99;45;40;15;;;"Hüpflinger Alm";"47.550513N";"14.694811E";;1300;"Sobotik et al."
"john73";"1995-07-13";1995;7;13;"Kalk";"Nord";33;99;60;30;10;;;"Hüpflinger Alm";"47.550513N";"14.694811E";;1300;"Sobotik et al."
"john74";"1996-06-20";1996;6;20;"Kalk";"Nord";20;95;40;50;10;;;"Hüpflinger Alm";"47.550513N";"14.694811E";;1300;"Sobotik et al."
"john81";"1993-06-22";1993;6;22;"Kristallin";"Nord";10;90;60;38;2;2;;"Grössinger Alm";"47.508425N";"14.659470E";;1300;"Sobotik et al."
"john82";"1994-06-22";1994;6;22;"Kristallin";"Nord";20;65;70;27;2;1;;"Grössinger Alm";"47.508425N";"14.659470E";;1300;"Sobotik et al."
"john83";"1995-07-12";1995;7;12;"Kristallin";"Nord";26;95;80;18;2;2;;"Grössinger Alm";"47.508425N";"14.659470E";;1300;"Sobotik et al."
"john84";"1996-06-12";1996;6;12;"Kristallin";"Nord";22;98;80;20;;1;;"Grössinger Alm";"47.508425N";"14.659470E";;1300;"Sobotik et al."
"john91";"1993-07-12";1993;7;12;"Kristallin";"Süd";25;97;70;27;3;;;"Aigelsbrunn 1500";"47.489222N";"14.664837E";;1500;"Sobotik et al."
"john92";"1994-07-11";1994;7;11;"Kristallin";"Süd";40;96;70;25;5;1;;"Aigelsbrunn 1500";"47.489222N";"14.664837E";;1500;"Sobotik et al."
"john93";"1995-07-17";1995;7;17;"Kristallin";"Süd";47;93;70;27;3;;;"Aigelsbrunn 1500";"47.489222N";"14.664837E";;1500;"Sobotik et al."
"john94";"1996-07-17";1996;7;17;"Kristallin";"Süd";30;95;70;30;2;;;"Aigelsbrunn 1500";"47.489222N";"14.664837E";;1500;"Sobotik et al."
"john101";"1993-07-02";1993;7;2;"Kalk";"Süd";35;94;40;50;12;;;"Kuhfeld 1500";"47.535258N";"14.660841E";;1500;"Sobotik et al."
"john102";"1994-06-22";1994;6;22;"Kalk";"Süd";35;98;40;55;5;;;"Kuhfeld 1500";"47.535258N";"14.660841E";;1500;"Sobotik et al."
"john103";"1995-07-12";1995;7;12;"Kalk";"Süd";33;90;45;50;5;;;"Kuhfeld 1500";"47.535258N";"14.660841E";;1500;"Sobotik et al."
"john104";"1996-07-04";1996;7;4;"Kalk";"Süd";30;95;50;48;1;;;"Kuhfeld 1500";"47.535258N";"14.660841E";;1500;"Sobotik et al."
"john111";"1993-07-09";1993;7;9;"Kalk";"Nord";30;95;40;59;1;;;"Schwarzlacken";"47.542517N";"14.687281E";;1500;"Sobotik et al."
"john112";"1994-07-05";1994;7;5;"Kalk";"Nord";45;80;45;105;1;3;;"Schwarzlacken";"47.542517N";"14.687281E";;1500;"Sobotik et al."
"john113";"1995-07-19";1995;7;19;"Kalk";"Nord";70;95;60;37;3;1;;"Schwarzlacken";"47.542517N";"14.687281E";;1500;"Sobotik et al."
"john114";"1996-07-24";1996;7;24;"Kalk";"Nord";;95;60;35;5;1;;"Schwarzlacken";"47.542517N";"14.687281E";;1500;"Sobotik et al."
"john121";"1993-07-14";1993;7;14;"Kristallin";"Nord";20;90;61;29;5;5;;"Moseralm";"47.508406N";"14.652086E";;1500;"Sobotik et al."
"john122";"1994-07-15";1994;7;15;"Kristallin";"Nord";37;97;55;45;2;25;;"Moseralm";"47.508406N";"14.652086E";;1500;"Sobotik et al."
"john123";"1995-07-17";1995;7;17;"Kristallin";"Nord";;97;50;" ";1;25;;"Moseralm";"47.508406N";"14.652086E";;1500;"Sobotik et al."
"john124";"1996-07-04";1996;7;4;"Kristallin";"Nord";25;85;55;45;2;;;"Moseralm";"47.508406N";"14.652086E";;1500;"Sobotik et al."
"john131";"1993-07-12";1993;7;12;"Kristallin";"Süd";25;87;55;43;2;2;;"Aigelsbrunn 1700";"47.495125N";"14.662467E";;1700;"Sobotik et al."
"john132";"1994-07-11";1994;7;11;"Kristallin";"Süd";30;92;50;31;2;1;;"Aigelsbrunn 1700";"47.495125N";"14.662467E";;1700;"Sobotik et al."
"john133";"1995-07-17";1995;7;17;"Kristallin";"Süd";18;97;65;;5;;;"Aigelsbrunn 1700";"47.495125N";"14.662467E";;1700;"Sobotik et al."
"john134";"1996-07-17";1996;7;17;"Kristallin";"Süd";15;95;65;35;5;;3;"Aigelsbrunn 1700";"47.495125N";"14.662467E";;1700;"Sobotik et al."
"john141";"1993-07-02";1993;7;2;"Kalk";"Süd";;80;50;40;10;;10;"Kuhfeld 1700";"47.538012N";"14.660714E";;1700;"Sobotik et al."
"john142";"1994-06-22";1994;6;22;"Kalk";"Süd";13;90;40;52;8;;10;"Kuhfeld 1700";"47.538012N";"14.660714E";;1700;"Sobotik et al."
"john143";"1995-07-12";1995;7;12;"Kalk";"Süd";24;85;40;60;10;;10;"Kuhfeld 1700";"47.538012N";"14.660714E";;1700;"Sobotik et al."
"john144";"1996-07-04";1996;7;4;"Kalk";"Süd";25;90;50;45;5;;10;"Kuhfeld 1700";"47.538012N";"14.660714E";;1700;"Sobotik et al."
"john151";"1993-07-14";1993;7;14;"Kalk";"Nord";20;95;60;30;;10;;"Hüpflinger Hals";"47.539262N";"14.686464E";;1700;"Sobotik et al."
"john152";"1994-07-05";1994;7;5;"Kalk";"Nord";30;98;50;40;;10;;"Hüpflinger Hals";"47.539262N";"14.686464E";;1700;"Sobotik et al."
"john153";"1995-07-19";1995;7;19;"Kalk";"Nord";16;98;50;35;1;15;;"Hüpflinger Hals";"47.539262N";"14.686464E";;1700;"Sobotik et al."
"john154";"1996-07-24";1996;7;24;"Kalk";"Nord";12;98;50;30;;20;;"Hüpflinger Hals";"47.539262N";"14.686464E";;1700;"Sobotik et al."
"john161";"1993-07-14";1993;7;14;"Kristallin";"Nord";27;90;50;45;5;;1;"Moserkogel";"47.503016N";"14.655420E";;1700;"Sobotik et al."
"john162";"1994-07-29";1994;7;29;"Kristallin";"Nord";38;99;50;40;10;;1;"Moserkogel";"47.503016N";"14.655420E";;1700;"Sobotik et al."
"john163";"1995-07-17";1995;7;17;"Kristallin";"Nord";36;95;50;64;10;1;1;"Moserkogel";"47.503016N";"14.655420E";;1700;"Sobotik et al."
"john164";"1996-07-04";1996;7;4;"Kristallin";"Nord";22;90;55;40;5;;1;"Moserkogel";"47.503016N";"14.655420E";;1700;"Sobotik et al."
