plot,pls,cov,tcov,scov,hcov,mcov,htl,hsl,hhl,expo,slope,latitude,longitude,accuracy,elevation,date,association,alliance,location,observer
1,500,85,75,5,40,0,15,2,0.4,NW,30,47.810833,13.076944,50,470,2007-05-14,Helleboro nigri-Fagetum Zukrigl 1973 s.str.,Cephalanthero-Fagenion,Buchenwald & GLT 00114 Kühberg,T. Sonnberger
2,500,70,70,2,50,0,15,2,0.5,S,35,47.809722,13.081667,50,660,2007-06-06,Helleboro nigri-Fagetum Zukrigl 1973 s.str.,Cephalanthero-Fagenion,Buchenwald & GLT 00114 Kühberg,T. Sonnberger
3,500,75,65,0,35,10,20,0,0.4,NW,30,47.749722,13.125556,50,1020,2007-06-09,Cardamino trifoliae-Fagetum Oberd. 1987 -typicum,Lonicero alpigenae-Fagenion,Bu-Fi-Ta Wald/Mühlsteinwald,T. Sonnberger
4,400,90,90,0,1,1,18,0,0.1,W,5,47.753333,13.126111,50,1030,2007-07-10,Cardamino trifoliae-Fagetum Oberd. 1987 -typicum,Lonicero alpigenae-Fagenion,Bu-Fi-Ta Wald/Mühlsteinwald,T. Sonnberger
5,400,70,60,0,10,0,25,0,0.3,O,30,47.756667,13.126944,50,850,2007-07-10,Cardamino trifoliae-Fagetum Oberd. 1987 -circaeetosum,Lonicero alpigenae-Fagenion,Bu-Fi-Ta Wald/Mühlsteinwald,T. Sonnberger
6,900,90,80,1,1,0,30,3,0.3,O,40,47.760556,13.125278,50,850,2007-07-11,Cardamino trifoliae-Fagetum Oberd. 1987 -circaeetosum,Lonicero alpigenae-Fagenion,Bu-Fi-Ta Wald/Mühlsteinwald,T. Sonnberger
7,625,70,60,8,20,0,15,5,0.4,O,20,47.757778,13.129722,50,715,2007-07-11,Cardamino trifoliae-Fagetum Oberd. 1987 -circaeetosum,Lonicero alpigenae-Fagenion,Bu-Fi-Ta Wald/Mühlsteinwald,T. Sonnberger
8,625,80,65,0,40,15,15,0,0.8,W,30,47.744722,13.117778,50,900,2007-07-12,Adenostylo glabrae-Fagetum Moor 1970 -helleboretosum nigri,Lonicero alpigenae-Fagenion,Bu-Eiben Wald N Steingut,T. Sonnberger
9,625,80,75,1,30,0,15,3,0.3,W,25,47.747778,13.112222,50,810,2007-07-12,Mercuriali-Fagetum Scamoni 1935 -tilietosum,Eu-Fagenion,Bu-Eiben Wald N Steingut,T. Sonnberger
10,500,80,70,0,35,0,20,0,0.5,W,10,47.749722,13.108889,50,815,2007-07-13,Adenostylo glabrae-Fagetum Moor 1970 -helleboretosum nigri,Lonicero alpigenae-Fagenion,Bu-Eiben Wald N Steingut,T. Sonnberger
