"abbr";"layer";"taxon";53;54;56;57;4;3;5;6;7;12;15;51;60;14;59;23;26;11;13;25;24;17;47;45;49;43;9;16;18;19;20;48;44;22;21;46;1;2;37;8;36;35;27;28;29;30;55;10;50;31;32;52;34;40;41;42;33;38;39;62;63;69;61;66;70;58;64;67;65;71;68
"fagu sylv";"tl";"Fagus sylvatica";5;5;5;5;3;3;3;4;"2b";4;"2a";3;4;3;4;4;4;4;5;"2b";4;4;3;4;4;5;3;3;"2a";4;3;4;4;3;4;5;3;4;3;"2a";4;4;3;3;4;3;3;"2a";3;3;"2a";3;".";3;"2b";"+";"2a";"r";"2a";3;3;5;5;4;5;4;4;4;5;5;4
"fagu sylv";"sl";"Fagus sylvatica";"2a";".";".";".";".";1;".";".";"+";".";".";".";".";".";"2a";".";".";".";".";".";"+";"+";".";".";".";"2a";"+";".";".";".";"+";"+";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"2a";"2b";"+";3;".";"+";"+"
"fagu sylv";"hl";"Fagus sylvatica";"+";"+";".";"+";"+";"2m";"+";1;"r";".";"+";".";"+";"+";"+";1;"+";"+";"+";"+";1;"+";"2a";3;3;4;".";"+";"+";".";"2a";3;"2a";".";"2m";"2m";"+";".";"+";"r";"2a";"+";".";1;"+";"+";".";"r";"+";"+";"+";".";".";"+";"+";"+";"+";".";".";1;1;"2m";1;1;"+";1;1;"+";"2m";1;1
"pice abie";"tl";"Picea abies";"2a";"2a";"2a";"2a";3;"+";".";".";"+";"2a";".";"+";"2a";"+";"2a";"+";"+";"2a";"+";"2b";"+";"2a";"+";"2a";"2a";".";"2b";"+";3;"+";3;"2a";"2a";"2a";"+";"2a";".";"+";"r";3;"+";"+";"2b";"2a";"2a";"2a";"2a";3;3;"2a";"2b";"+";"2a";"+";"+";"2b";"2a";"+";"2a";3;".";"+";".";"2a";"r";"+";"2a";"r";".";"2a";"."
"pice abie";"sl";"Picea abies";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"+";"r";".";".";".";"+";".";".";".";".";".";".";".";"+";"r";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";"+";".";".";".";"."
"pice abie";"hl";"Picea abies";"r";"+";".";"+";"r";"2m";".";".";".";".";".";".";"+";".";"+";".";".";"+";".";".";"r";1;"+";".";".";".";"r";"+";".";".";".";".";".";".";"+";1;"r";".";"+";"+";"+";".";"+";"r";"+";".";".";"+";".";"r";".";"+";".";1;"+";"+";"+";"+";1;"+";"+";"r";"+";"+";"+";"+";"+";".";"+";".";"."
"abie alba";"tl";"Abies alba";"2b";"2a";"2a";"2b";3;3;"2a";"2b";".";"+";3;".";3;"2a";"2b";"2b";"+";"2a";"2a";"+";"2a";"+";".";".";"2a";".";"2b";"2b";"+";"2a";"2a";"2a";".";"2a";"2a";".";".";".";"r";"+";"+";"+";"2a";"2a";"2a";"2a";"2a";"2b";".";".";"2b";"2a";"2a";"+";"2a";"2b";"+";"+";"2a";"2a";"+";".";"+";"2a";".";"2a";".";"2a";".";"2a";"."
"abie alba";"sl";"Abies alba";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";"+";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";"."
"abie alba";"hl";"Abies alba";1;"+";".";".";"2m";"+";1;"+";"r";"+";"r";".";"+";"+";"+";"+";".";".";"+";".";"+";"r";".";".";".";".";"r";"r";"+";"+";"+";".";".";".";".";".";".";".";".";"r";"+";".";"+";".";"+";"+";".";".";".";".";".";".";"+";".";"+";"+";"+";".";".";"+";"+";"+";".";"r";".";"+";"+";".";"+";"+";"."
"acer pseu";"tl";"Acer pseudoplatanus";"2a";"r";".";".";"+";"+";"+";"+";"+";"2a";"2a";3;"2a";"+";"+";"+";"2a";".";".";"2a";"+";"+";".";"2a";"r";".";"r";"+";"2a";"+";"+";"2a";"2a";"+";"r";".";"2m";".";".";"r";"r";"+";"+";"+";"r";"+";"+";"+";"+";"+";"+";"2a";"r";"+";"+";"+";".";".";"+";"+";"+";"2a";"+";".";"2a";"+";"2b";"+";"+";"r";"2a"
"acer pseu";"sl";"Acer pseudoplatanus";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";3;".";".";"+";".";".";".";"+";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"."
"acer pseu";"hl";"Acer pseudoplatanus";"r";"r";".";".";"+";"+";".";1;1;".";".";"+";".";"+";".";"+";"+";1;"+";"+";"+";"+";"2a";1;"2a";"+";1;"+";"+";"+";"+";"2m";"+";"+";".";".";1;".";"+";"r";"+";".";"+";".";".";"+";".";"+";"+";"+";".";"+";"+";"+";".";".";"+";"+";".";"+";1;"2m";1;1;1;"+";"+";1;1;1;1
"frax exce";"tl";"Fraxinus excelsior";"+";".";".";".";".";".";".";".";3;"+";"+";3;".";"+";".";"+";"+";"2b";"r";"2a";".";".";".";".";".";"2b";"+";"r";".";"r";"r";".";"2a";".";".";"+";"+";".";".";".";".";"r";".";"r";".";"+";"r";".";".";"+";"r";"+";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"frax exce";"sl";"Fraxinus excelsior";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";"+";"+";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"frax exce";"hl";"Fraxinus excelsior";1;"+";".";".";".";"+";".";".";1;1;"2a";".";".";"+";"2m";"r";"+";".";"r";".";".";"r";1;".";"2a";3;"+";"+";"+";"+";"+";1;"+";".";1;"+";"+";".";"+";"+";"+";1;"+";"+";".";".";".";".";1;"+";"+";"+";"+";"+";"2m";1;"+";".";".";".";"+";".";".";".";"+";".";".";".";".";".";"."
"merc pere";"hl";"Mercurialis perennis";"+";"+";".";".";1;".";".";"+";".";1;1;"2m";1;1;"2m";1;1;".";".";"2m";"2m";"+";1;"+";"2m";"2m";"2a";1;1;"2m";1;"2m";"+";"2m";1;1;1;"+";"2a";"2m";"2m";"2m";"2m";"2m";"2a";"2m";"2m";"2m";"2a";"2m";"2m";"2m";".";"2m";"2m";"2m";"2m";"2m";"2m";1;1;"2m";"2m";"2m";"2a";1;"2a";"2m";".";".";1
