"taxon";"matched.taxon"
"Fagus sylvatica";"Fagus sylvatica"
"Fagus sylvatica";"Fagus sylvatica"
"Fagus sylvatica";"Fagus sylvatica"
"Picea abies";"Picea abies"
"Picea abies";"Picea abies"
"Picea abies";"Picea abies"
"Abies alba";"Abies alba"
"Abies alba";"Abies alba"
"Abies alba";"Abies alba"
"Acer pseudoplatanus";"Acer pseudoplatanus"
"Acer pseudoplatanus";"Acer pseudoplatanus"
"Acer pseudoplatanus";"Acer pseudoplatanus"
"Fraxinus excelsior";"Fraxinus excelsior"
"Fraxinus excelsior";"Fraxinus excelsior"
"Fraxinus excelsior";"Fraxinus excelsior"
"Mercurialis perennis";"Mercurialis perennis s.str."
"Prenanthes purpurea";"Prenanthes purpurea"
"Senecio ovatus";"Senecio ovatus ssp. ovatus"
"Oxalis acetosella";"Oxalis acetosella"
"Dentaria enneaphyllos";"Cardamine enneaphyllos"
"Vaccinium myrtillus";"Vaccinium myrtillus"
"Solidago virgaurea";"Solidago virgaurea ssp. virgaurea"
"Anemone nemorosa";"Anemone nemorosa"
"Paris quadrifolia";"Paris quadrifolia"
"Polystichum aculeatum";"Polystichum aculeatum s.str."
"Mycelis muralis";"Lactuca muralis"
"Viola reichenbachiana";"Viola reichenbachiana"
"Viola riviniana";"Viola riviniana"
"Viola sp.";"Viola sp."
"Dryopteris filix-mas";"Dryopteris filix-mas s.str."
"Galeobdolon montanum";"Galeobdolon montanum"
"Galium odoratum";"Galium odoratum"
"Athyrium filix-femina";"Athyrium filix-femina"
"Carex sylvatica";"Carex sylvatica ssp. sylvatica"
"Hedera helix";"Hedera helix"
"Juglans regia";"Juglans regia"
"Cephalanthera damasonium";"Cephalanthera damasonium"
"Cephalanthera longifolia";"Cephalanthera longifolia"
"Quercus robur";"Quercus robur"
"Clematis vitalba";"Clematis vitalba"
"Calamagrostis varia";"Calamagrostis varia"
"Aposeris foetida";"Aposeris foetida"
"Daphne mezereum";"Daphne mezereum"
"Melica nutans";"Melica nutans s.str."
"Hepatica nobilis";"Hepatica nobilis"
"Carex digitata";"Carex digitata"
"Carex alba";"Carex alba"
"Salvia glutinosa";"Salvia glutinosa"
"Brachypodium sylvaticum";"Brachypodium sylvaticum"
"Euphorbia amygdaloides";"Euphorbia amygdaloides ssp. amygdaloides"
"Carex flacca";"Carex flacca ssp. flacca"
"Phyteuma spicatum";"Phyteuma spicatum"
"Valeriana tripteris";"Valeriana tripteris"
"Adenostyles alpina";"Adenostyles alpina"
"Polygonatum verticillatum";"Polygonatum verticillatum"
"Lonicera alpigena";"Lonicera alpigena"
"Veronica urticifolia";"Veronica urticifolia"
"Cardamine trifolia";"Cardamine trifolia"
"Helleborus niger";"Helleborus niger"
"Lilium martagon";"Lilium martagon"
"Melampyrum sylvaticum";"Melampyrum sylvaticum s.str."
"Homogyne alpina";"Homogyne alpina"
"Knautia maxima";"Knautia maxima ssp. maxima"
"Fragaria vesca";"Fragaria vesca"
"Gentiana asclepiadea";"Gentiana asclepiadea"
"Maianthemum bifolium";"Maianthemum bifolium"
"Gymnocarpium dryopteris";"Gymnocarpium dryopteris"
"Sesleria albicans";"Sesleria caerulea s.str."
"Bellidiastrum michelii";"Bellidiastrum michelii"
"Erica carnea";"Erica carnea"
"Potentilla erecta";"Potentilla erecta"
"Ranunculus montanus";"Ranunculus montanus s.str."
"Buphthalmum salicifolium";"Buphthalmum salicifolium"
"Luzula sylvatica";"Luzula sylvatica ssp. sylvatica"
"Ranunculus nemorosus";"Ranunculus nemorosus"
"Huperzia selago";"Huperzia selago ssp. selago"
"Carex ferruginea";"Carex ferruginea s.str."
"Carduus defloratus";"Carduus defloratus ssp. viridis"
"Polystichum lonchitis";"Polystichum lonchitis"
"Campanula scheuchzeri";"Campanula scheuchzeri"
"Hypericum perforatum";"Hypericum perforatum"
"Origanum vulgare";"Origanum vulgare ssp. vulgare"
"Euphorbia cyparissias";"Euphorbia cyparissias"
"Geranium sylvaticum";"Geranium sylvaticum"
"Rubus idaeus";"Rubus idaeus"
"Saxifraga rotundifolia";"Saxifraga rotundifolia ssp. rotundifolia"
"Lysimachia nemorum";"Lysimachia nemorum"
