taxon;matched.taxon;abbr
Juncus trifidus ssp. trifidus;Juncus trifidus s.str.;junc trif
Primula minima;Primula minima;prim mini
Agrostis rupestris;Agrostis rupestris;agro rupe rupe
Euphrasia minima;Euphrasia minima s.str.;euph mini
NA;NA;NA
Campanula alpina;Campanula alpina;camp alpi
Trisetum spicatum;Trisetum spicatum ssp. ovatipanicuatum;tris spic ovat
Huperzia selago;Huperzia selago ssp. selago;hupe sela
Leontodon helveticus;Scorzoneroides helvetica;scor helv
Juncus jacquinii;Juncus jacquinii;junc jacq
Deschampsia flexuosa;Avenella flexuosa;aven flex flex
Hieracium alpinum;Hieracium alpinum;hier alpi
Carex capillaris;Carex capillaris;care capi
NA;NA;NA
Carex atrata;Carex atrata;care atra
Polygonum viviparum;Persicaria vivipara;pers vivi
Anthoxanthum odoratum;Anthoxanthum odoratum s.str.;anth odor
Vaccinium myrtillus;Vaccinium myrtillus;vacc myrt
Silene acaulis;Silene acaulis s.lat.;sile acau slat
Dryas octopetala;Dryas octopetala;drya octo
Luzula glabrata;Luzula glabrata;luzu glab
Vaccinium vitis-idaea;Vaccinium vitis-idaea;vacc viti
Festuca rubra agg.;Festuca rubra agg.;fest rubr aggr
Homogyne alpina;Homogyne alpina;homo alpi
Ligusticum mutellina;Mutellina adonidifolia;mute adon
Vaccinium uliginosum;Vaccinium uliginosum s.str.;vacc ulig
Salix retusa;Salix retusa s.str.;sali retu
Bartsia alpina;Bartsia alpina;bart alpi
Arctostaphylos alpinus;Arctostaphylos alpinus;arct alpi
NA;NA;NA
Carex firma;Carex firma;care firm
Sesleria albicans;Sesleria caerulea s.str.;sesl caer
Minuartia sedoides;Minuartia sedoides;minu sedo
Leontodon hispidus;Leontodon hispidus s.lat.;leon hisp slat
Doronicum glacilae;Doronicum glaciale ssp. glaciale;doro glac glac
Potentilla aurea;Potentilla aurea;pote aure
Carex sempervirens;Carex sempervirens ssp. sempervirens;care semp semp
Ligusticum mutellinoides;Pachypleurum mutellinoides;pach mute
Elyna myosuroides;Kobresia myosuroides;kobr myos
Campanula scheuchzeri;Campanula scheuchzeri;camp sche
Luzula multiflora;Luzula multiflora s.str.;luzu mult
Androsace chamaejasme;Androsace chamaejasme;andr cham
Thamnolia vermicularis;Thamnolia vermicularis var. vermicularis;tham verm verm
Selaginella selaginoides;Selaginella selaginoides;sela sela
Festuca pumila;Festuca pumila;fest pumi
Gentiana verna;Gentiana verna ssp. verna;gent vern vern
Erigeron uniflorus;Erigeron uniflorus;erig unif
