Laufende Nunmer;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2
;1;2;3;4;5;6;7;8;9;0;1;2;3;4;5;6;7;8;9;0;1;2;3;4;5
Aufnahmejahr;8;9;8;9;8;9;8;9;8;8;8;8;8;8;8;8;9;8;8;8;8;8;9;8;8
;6;0;5;0;6;0;5;0;6;6;6;6;6;9;9;9;0;9;9;9;8;8;0;9;9
Aufnahmenummer;1;;;2;;2;;2;;;;;;;;;;;;;;;;;
;1;5;1;5;;5;1;8;;;;;1;1;;;1;1;1;;;1;3;;3
;3;8;7;4;1;5;8;5;2;3;4;5;0;0;2;9;1;1;7;8;1;4;9;1;5
Artenzahl;1;2;1;2;1;1;1;2;1;1;1;1;1;3;2;3;1;2;2;3;1;1;2;1;3
;6;2;6;2;8;7;6;2;9;7;6;5;5;0;1;1;1;4;3;0;9;9;5;9;1
Höhe (in 10 m);;;;;;;;;;;;;;;;;;1;;;;;;;
;5;8;8;9;8;9;8;5;8;8;8;9;5;9;7;9;0;8;8;9;5;8;8;7;8
;4;5;2;8;3;7;4;0;2;1;0;5;4;5;8;5;2;2;3;5;6;3;5;8;1
Exposition;;;;S;S;S;S;S;;;;;S;S;S;;;S;;;;S;;S;
;S;O;S;O;W;O;O;O;S;S;S;S;W;W;O;S;S;W;S;S;S;W;O;O;S
Inklination (°);3;3;3;2;3;3;1;3;2;2;3;3;3;1;3;3;4;3;5;2;4;3;5;3;6
;5;5;0;0;0;0;5;5;5;0;0;5;0;5;0;0;5;5;0;0;0;0;0;5;0
Deckungsgrad (%);;;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;1;1;;;1
;9;9;0;0;0;0;0;0;0;0;0;0;0;0;8;8;7;8;9;9;0;0;8;9;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;5;5;0;0;5;5;0
Aufnahmeflache (m);2;3;2;3;3;3;2;2;3;2;3;2;3;2;2;1;3;3;3;2;3;2;2;2;3
;5;0;0;0;0;0;0;6;2;0;0;5;0;4;5;8;0;0;5;5;0;5;5;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;
"
Laserpitium siler";4;4;4;4;4;5;4;4;5;4;5;5;4;5;5;4;2;3;4;5;4;4;3;5;3
;;;;;;;;;;;;;;;;;;;;;;;;;
"
Carex humilis";.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;.;3;1;3;.;+;1;.;2;2
Teucrium montanum;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;1;1;.;+;+;.;.;1;+;.
Polygala chamaebuxus;.;.;.;.;.;.;.;+;.;.;.;.;.;.;1;1;.;+;+;.;+;+;.;.;+
Amelanchier ovalis;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;+;+;.;+;.;1;+;1
Coronilla vaginalis;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;1;.;.;.;1;.
;;;;;;;;;;;;;;;;;;;;;;;;;
Vincetoxicum hirundinaria;r;1;.;2;.;1;.;1;.;+;.;+;+;1;1;+;3;1;+;+;1;+;2;2;.
Polygonatum odoratum;.;.;2;.;.;.;+;+;+;2;+;+;1;+;+;+;.;2;+;2;.;+;1;+;r
Anthericum ramosum;.;2;+;1;1;+;.;.;.;.;.;.;1;+;.;.;+;1;1;.;.;2;+;+;+
Peucedanum oreoselinum;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;+;.;.;.;.;.
Geranium sanguineum;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2
;;;;;;;;;;;;;;;;;;;;;;;;;
Origanum vulgare;2;.;.;.;+;.;.;1;.;+;.;.;.;+;+;+;+;.;.;+;1;.;.;.;+
Clinopodium vulgare;+;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Inula conyza;+;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.
;;;;;;;;;;;;;;;;;;;;;;;;;
Calamagrostis varia;+;1;1;+;1;1;1;2;1;1;+;+;+;+;1;+;1;2;+;+;+;+;+;1;2
Buphthalmum salicifolium;+;+;1;1;1;+;.;+;+;+;+;+;+;+;+;+;+;+;+;1;1;1;+;+;+
Helianthemum nummularium;+;.;+;.;+;.;+;.;+;.;.;.;.;+;+;+;.;+;.;+;+;+;+;+;.
Carduus defloratus;.;+;.;1;.;+;.;.;+;+;.;+;.;.;+;.;+;+;+;.;.;+;+;+;+
Potentilla erecta;.;.;.;+;+;.;+;+;+;+;+;.;+;+;.;+;.;.;.;+;.;.;+;.;+
Erica herbacea;+;.;1;.;+;.;2;1;.;.;.;.;2;.;.;.;.;+;+;.;2;+;.;+;2
Convallaria majalis;.;.;+;.;.;.;1;+;1;+;2;1;.;1;.;+;.;.;.;+;1;.;.;.;+
Laserpitium latifolium;.;2;1;+;.;.;.;.;1;+;+;+;.;.;.;.;.;+;.;.;.;1;+;.;+
Sesleria albicans;.;+;.;.;.;.;+;.;+;+;.;.;1;.;1;.;.;1;2;.;.;1;.;2;+
Carex sempervirens;.;+;.;+;.;.;.;.;+;.;.;1;+;+;2;+;.;.;.;1;.;.;+;.;+
Lotus corniculatus;.;.;.;+;.;.;+;.;+;+;.;.;.;+;+;.;.;.;.;+;+;.;+;.;.
Calamintha alpina;+;+;.;+;.;+;.;.;.;+;.;.;.;.;+;.;.;.;.;.;+;.;+;1;.
Scabiosa columbaria;+;+;.;.;.;.;.;+;.;.;.;.;+;.;.;+;.;.;.;+;.;.;.;.;+
Teucrium chamaedrys;1;.;.;.;+;.;.;1;.;.;+;.;.;.;.;.;1;.;.;.;1;.;.;.;.
Rhinanthus glacialis;.;+;1;+;.;.;.;.;.;.;.;.;.;.;1;.;.;+;.;.;.;.;.;+;.
