plot,abbr,layer,cov
1,sile vulg slat,hl,+
1,gali sylv,hl,+
1,camp trac,hl,+
1,euph sali,hl,+
2,alli lusi,hl,+
2,cent scab slat,hl,+
2,leon hisp slat,hl,+
2,aspl ruta,hl,+
2,gyps repe,hl,+
2,anth vuln alpi,hl,+
2,aqui atra,hl,+
3,linu visc,hl,+
3,gent cruc,hl,+
3,beto offi offi,hl,+
3,glob nudi,hl,+
4,gali anis,hl,+
4,sile vulg slat,hl,+
4,rume scut,hl,+
4,hera aust aust,hl,+
4,pimp majo slat,hl,+
5,brac pinn,hl,+
5,pimp majo slat,hl,+
5,alli cari cari,hl,+
5,dact glom glom,hl,+
5,cent scab slat,hl,+
5,gent cili,hl,+
6,verb thap,hl,+
6,gent cili,hl,+
6,cent scab slat,hl,+
6,sile nuta slat,hl,+
6,cent jace slat,hl,+
6,pimp majo slat,hl,+
7,fagu sylv,hl,+
7,glob nudi,hl,+
7,hell nige,hl,+
8,care alba,hl,2
8,cycl purp,hl,+
8,viol spec ies,hl,+
8,euph amyg amyg,hl,+
8,hepa nobi,hl,+
8,hier bifi,hl,+
8,hype mont,hl,+
9,plat bifo,hl,+
9,phyt orbi,hl,+
9,glob cord,hl,+
10,aqui atra,hl,+
11,bisc laev laev,hl,+
11,hype mont,hl,+
11,fagu sylv,hl,+
11,phyt orbi,hl,+
12,trif mont mont,hl,+
12,linu visc,hl,1
12,leon inca,hl,+
13,sile nuta slat,hl,+
13,leon inca,hl,+
13,glob nudi,hl,+
14,trif mont mont,hl,+
14,hier saba,hl,+
14,aspe cyna,hl,1
14,ceph rubr,hl,+
14,astr majo,hl,+
14,brom erec,hl,+
14,popu trem,hl,+
14,mela sylv,hl,+
14,fest rubr aggr,hl,+
14,koel pyra pyra,hl,+
14,epip atro,hl,+
14,brac pinn,hl,+
15,acer pseu,hl,+
15,gali anis,hl,+
15,euph offi rost,hl,+
16,popu trem,hl,+
16,sorb aria,hl,+
16,berb vulg,hl,+
16,vibu lant,hl,+
16,gali pumi,hl,+
16,fest rubr aggr,hl,+
16,gali veru,hl,+
16,aspe cyna,hl,1
16,digi gran,hl,+
16,glob bisn,hl,+
16,rubu saxa,hl,+
16,hier laev,hl,+
16,hier hopp,hl,+
16,brac pinn,hl,+
17,hier bifi,hl,+
18,frax exce,hl,+
18,tili plat,hl,+
18,acer pseu,hl,+
18,rosa pend,hl,+
18,hepa nobi,hl,+
18,gali albu,hl,+
18,merc pere,hl,+
18,alli lusi,hl,+
19,glob cord,hl,+
19,alli lusi,hl,+
19,epip atro,hl,+
19,vibu lant,hl,+
19,ligu vulg,hl,+
19,rham cath,hl,+
19,juni comm comm,hl,r
19,rosa pend,hl,+
20,popu trem,hl,1
20,epip atro,hl,+
20,alli cari cari,hl,+
20,aqui atra,hl,+
20,astr majo majo,hl,+
20,beto offi offi,hl,+
20,briz medi,hl,+
20,fest rubr aggr,hl,+
20,aspe cyna,hl,+
20,orob grac,hl,+
20,gali veru,hl,+
20,sang mino mino,hl,+
21,euph sali,hl,+
21,gali sylv,hl,+
21,orob cary,hl,+
22,kern saxa,hl,+
22,rosa pend,hl,+
22,coto tome,hl,+
22,euph sali,hl,+
23,cory avel,hl,+
23,care mucr,hl,2
23,glob cord,hl,+
23,prim auri auri,hl,+
23,gyps repe,hl,+
23,hier glau cum,hl,+
23,vale saxa,hl,+
23,linu cath,hl,+
24,thal minu saxa,hl,+
24,euph offi rost,hl,+
25,rubu saxa,hl,+
25,sorb aria,hl,+
25,hepa nobi,hl,+
25,vale mont,hl,+
25,vici sylv,hl,+
25,carl vulg slat,hl,+
25,thes alpi,hl,+
25,phyt orbi,hl,+
