taxon,matched.taxon
Silene.vulgaris,Silene vulgaris ssp. vulgaris
Galium.sylvaticum,Galium sylvaticum s.str.
Campanula.trachelium,Campanula trachelium
Euphrasia.salisburgensis,Euphrasia salisburgensis s.str.
Allium.senescens.ssp..montanum,Allium lusitanicum
Centaurea.scabiosa,Centaurea scabiosa s.lat.
Leontodon.hispidus,Leontodon hispidus s.lat.
Asplenium.ruta.muraria,Asplenium ruta-muraria
Gypsophila.repens,Gypsophila repens
Anthyllis.alpestris,Anthyllis vulneraria ssp. alpicola
Aquilegia.atrata,Aquilegia atrata
Linum.viscosum,Linum viscosum
Gentiana.ciliata,Gentiana cruciata
Stachys.officinalis,Betonica officinalis
Globularia.nudicaulis,Globularia nudicaulis
Galium.anisophyllum,Galium anisophyllon
Silene.vulgaris,Silene vulgaris s.lat.
Rumex.scutatus,Rumex scutatus
Heracleum.austriacum,Heracleum austriacum ssp. austriacum
Pimpinella.major,Pimpinella major s.lat.
Brachypodium.pinnatum,Brachypodium pinnatum s.str.
Pimpinella.major,Pimpinella major s.lat.
Allium.carinatum,Allium carinatum
Dactylis.glomerata,Dactylis glomerata ssp. glomerata
Centaurea.scabiosa,Centaurea scabiosa s.lat.
Gentiana.ciliata,Gentianopsis ciliata
Verbascum.thapsus,Verbascum thapsus s.str.
Gentiana.ciliata,Gentianopsis ciliata
Centaurea.scabiosa,Centaurea scabiosa s.lat.
Silene.nutans,Silene nutans ssp. nutans
Centaurea.jacea,Centaurea jacea s.lat.
Pimpinella.major,Pimpinella major s.lat.
Fagus.sylvatica,Fagus sylvatica
Globularia.nudicaulis,Globularia nudicaulis
Helleborus.niger,Helleborus niger
Carex.alba,Carex alba
Cyclamen.purpurascens,Cyclamen purpurascens
Viola.spec.,Viola sp.
Euphorbia.amygdaloides,Euphorbia amygdaloides ssp. amygdaloides
Hepatica.nobilis,Hepatica nobilis
Hieracium.bifidum,Hieracium bifidum
Hypericum.montanum,Hypericum montanum
Platanthera.bifolia,Platanthera bifolia
Phyteuma.orbiculare,Phyteuma orbiculare s.str.
Globularia.cordifolia,Globularia cordifolia s.str.
Aquilegia.atrata,Aquilegia atrata
Biscutella.laevigata,Biscutella laevigata ssp. laevigata
Hypericum.montanum,Hypericum montanum
Fagus.sylvatica,Fagus sylvatica
Phyteuma.orbiculare,Phyteuma orbiculare s.str.
Trifolium.montanum,Trifolium montanum ssp. montanum
Linum.viscosum,Linum viscosum
Leontodon.incanus,Leontodon incanus
Silene.nutans,Silene nutans ssp. nutans
Leontodon.incanus,Leontodon incanus
Globularia.nudicaulis,Globularia nudicaulis
Trifolium.montanum,Trifolium montanum ssp. montanum
Hieracium.sabaudum,Hieracium sabaudum
Asperula.cynanchica,Asperula cynanchica
Cephalanthera.rubra,Cephalanthera rubra
Astrantia.major,Astrantia major var. major
Bromus.erectus,Bromus erectus
Populus.tremula,Populus tremula
Melampyrum.sylvaticum,Melampyrum sylvaticum s.str.
Festuca.rubra.agg.,Festuca rubra agg.
Koeleria.pyramidata,Koeleria pyramidata var. pyramidata
Epipactis.atrorubens,Epipactis atrorubens
Brachypodium.pinnatum,Brachypodium pinnatum s.str.
Acer.pseudoplatanus,Acer pseudoplatanus
Galium.anisophyllum,Galium anisophyllon
Euphrasia.rostkoviana,Euphrasia officinalis ssp. rostkoviana
Populus.tremula,Populus tremula
Sorbus.aria,Sorbus aria s.str.
Berberis.vulgaris,Berberis vulgaris
Viburnum.lantana,Viburnum lantana
Galium.pumilum,Galium pumilum
Festuca.rubra.agg.,Festuca rubra agg.
Galium.verum,Galium verum s.str.
Asperula.cynanchica,Asperula cynanchica
Digitalis.grandiflora,Digitalis grandiflora
Globularia.punctata,Globularia bisnagarica
Rubus.saxatilis,Rubus saxatilis
Hieracium.laevigatum,Hieracium laevigatum
Hieracium.hoppeanum,Hieracium hoppeanum
Brachypodium.pinnatum,Brachypodium pinnatum s.str.
Hieracium.bifidum,Hieracium bifidum
Fraxinus.excelsior,Fraxinus excelsior
Tilia.platyphyllos,Tilia platyphyllos
Acer.pseudoplatanus,Acer pseudoplatanus
Rosa.pendulina,Rosa pendulina
Hepatica.nobilis,Hepatica nobilis
Galium.album,Galium album s.str.
Mercurialis.perennis,Mercurialis perennis s.str.
Allium.senescens.ssp..montanum,Allium lusitanicum
Globularia.cordifolia,Globularia cordifolia s.str.
Allium.senescens.ssp..montanum,Allium lusitanicum
Epipactis.atrorubens,Epipactis atrorubens
Viburnum.lantana,Viburnum lantana
Ligustrum.vulgare,Ligustrum vulgare
Rhamnus.cathartica,Rhamnus cathartica
Juniperus.communis,Juniperus communis ssp. communis
Rosa.pendulina,Rosa pendulina
Populus.tremula,Populus tremula
Epipactis.atrorubens,Epipactis atrorubens
Allium.carinatum,Allium carinatum
Aquilegia.atrata,Aquilegia atrata
Astrantia.major,Astrantia major var. major
Stachys.officinalis,Betonica officinalis
Briza.media,Briza media
Festuca.rubra.agg.,Festuca rubra agg.
Asperula.cynanchica,Asperula cynanchica
Orobanche.gracilis,Orobanche gracilis
Galium.verum,Galium verum s.str.
Sanguisorba.minor,Sanguisorba minor ssp. minor
Euphrasia.salisburgensis,Euphrasia salisburgensis s.str.
Galium.sylvaticum.x.aristatum,Galium sylvaticum s.str.
Orobanche.caryophyllacea,Orobanche caryophyllacea
Kernera.saxatilis,Kernera saxatilis
Rosa.pendulina,Rosa pendulina
Cotoneaster.tomentosus,Cotoneaster tomentosus
Euphrasia.salisburgensis,Euphrasia salisburgensis s.str.
Corylus.avellana,Corylus avellana
Carex.mucronata,Carex mucronata
Globularia.cordifolia,Globularia cordifolia s.str.
Primula.auricula,Primula auricula ssp. auricula
Gypsophila.repens,Gypsophila repens
Hieracium.glaucum,Hieracium glaucum
Valeriana.saxatilis,Valeriana saxatilis
Linum.catharticum,Linum catharticum
Thalictrum.saxatile,Thalictrum minus ssp. saxatile
Euphrasia.rostkoviana,Euphrasia officinalis ssp. rostkoviana
Rubus.saxatilis,Rubus saxatilis
Sorbus.aria,Sorbus aria s.str.
Hepatica.nobilis,Hepatica nobilis
Valeriana.montana,Valeriana montana
Knautia.sylvatica,Vicia sylvatica
Carlina.vulgaris,Carlina vulgaris s.lat.
Thesium.alpinum,Thesium alpinum
Phyteuma.orbiculare,Phyteuma orbiculare s.str.
