plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;date;latitude;longitude;accuracy;soil;type;alliance;association;observer
sp01;95;60;70;25;90;0;25;13;4;0,4;0,25;16;16;F;0;0;2013-04-24 & 2013-05-09 & 2013-05-15 & 2013-07-12 & 2013-08-28;48.079123N;13.832324E;10;Braunerde;EHW;Carpinion betuli;Stellario-Carpinetum;R. Kaiser & T. Eberl
sp02;90;80;5;10;85;0;23;12;1,5;0,3;0,15;16;16;F;0;0;2013-04-24 & 2013-05-09 & 2013-08-28;48.079998N;13.834100E;10;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp03;97;45;0;30;95;0;21;0;2,5;0,3;0,1;16;16;F;0;0;2013-04-24 & 2013-05-09;48.080120N;13.835070E;10;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp04;97;95;7;0;35;1;24;18;4,5;0,2;0,1;16;16;F;0;0;2013-04-24 & 2013-05-09;48.079993N;13.836818E;5;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp05;97;95;0;3;80;0;25;0;3;0,3;0,1;16;16;F;0;0;2013-04-24 & 2013-05-14;48.083500N;13.836267E;10;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp06;95;85;25;15;75;0;22;16;6;0,3;0,1;16;16;F;0;0;2013-04-24 & 2013-05-09;48.083639N;13.839290E;10;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp07;97;10;85;5;90;1;23;16;4;0;0,15;16;16;F;0;0;2013-05-09 & 2013-05-15 & 2013-07-12;48.079120N;13.832815E;9;Braunerde;EHW;Carpinion betuli;Stellario-Carpinetum;R. Kaiser & T. Eberl
sp08;95;0;0;2;95;0;0;0;4;0,4;0,2;16;16;F;0;0;2013-05-09;48.077510N;13.832760E;4;Braunerde;SF;Cephalanthero-Fagenion;Frangula alnus Cephalanthero-Fagenion-Gesellschaft;R. Kaiser & T. Eberl
sp09;99;80;50;40;7;0;28;12;6;0,2;0,1;16;16;F;0;0;2013-05-09;48.077278N;13.834006E;5;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp10;97;75;30;15;35;1;25;15;6;0,25;0,1;16;16;F;0;0;2013-05-09;48.078188N;13.834155E;5;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp11;97;95;10;5;75;1;25;18;5;0,3;0,1;16;16;F;0;0;2013-05-09;48.078432N;13.833943E;4;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp12;95;0;0;0;95;1;0;0;0;0,7;0,3;16;16;F;0;0;2013-05-09 & 2013-07-12;48.077961N;13.831964E;3;Braunerde;SF;unclassified;unclassified;R. Kaiser & T. Eberl
sp13;98;0;0;45;95;0;0;0;2,5;0,5;0,25;8;8;F;0;0;2013-05-09;48.078201N;13.831285E;3;Braunerde;SF;unclassified;unclassified;R. Kaiser & T. Eberl
sp14;99;80;70;2;7;0;30;20;5;0,2;0,1;16;16;F;0;0;2013-05-09;48.078957N;13.831571E;4;Braunerde;LW;Tilio-Acerion;Aceri-Tilietum platyphylli;R. Kaiser & T. Eberl
sp15;95;65;20;15;45;0;20;13;4;0,3;0,1;16;16;F;0;0;2013-05-09;48.080384N;13.831938E;5;Braunerde;FF;unclassified;unclassified;R. Kaiser & T. Eberl
sp16;98;15;80;5;10;0;23;17;6;0,15;0,1;16;16;F;0;0;2013-05-09;48.080834N;13.832867E;8;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp17;97;85;40;5;80;0;30;16;4;0,5;0,1;16;16;F;0;0;2013-05-09;48.080273N;13.832809E;7;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp18;98;92;4;0;5;93;22;12;0;0,3;0,1;16;16;F;0;0;2013-05-09;48.079960N;13.832680E;6;Braunerde;FF;unclassified;unclassified;R. Kaiser & T. Eberl
sp19;95;90;5;1;80;60;25;15;4;0,3;0,1;16;16;F;0;0;2013-05-09;48.079032N;13.833842E;6;Braunerde;FF;unclassified;unclassified;R. Kaiser & T. Eberl
sp20;98;60;50;10;35;1;25;18;4;0,3;0,15;16;16;F;0;0;2013-05-14;48.080099N;13.831867E;7;Braunerde;EHW;Carpinion betuli;Stellario-Carpinetum;R. Kaiser & T. Eberl
sp21;99;95;15;3;70;1;27;22;6;0,2;0,1;16;16;F;0;0;2013-05-14;48.080166N;13.831488E;5;Braunerde;LW;Tilio-Acerion;Aceri-Tilietum platyphylli;R. Kaiser & T. Eberl
sp22;99;80;50;5;90;1;30;20;5;0,4;0,15;32;8;F;0;0;2013-05-14;48.080197N;13.831109E;5;Braunerde;LW;Tilio-Acerion;Aceri-Tilietum platyphylli;R. Kaiser & T. Eberl
sp23;97;90;10;5;75;3;25;18;4,5;0,3;0,2;16;16;F;0;2;2013-05-14;48.081573N;13.830388E;5;Braunerde;LW;Tilio-Acerion;Aceri-Tilietum platyphylli;R. Kaiser & T. Eberl
sp24;99;85;15;5;98;1;25;18;4;0,4;0,1;16;16;F;0;0;2013-05-14 & 2013-08-28;48.082452N;13.830614E;7;Braunerde;AW;Alnenion glutinoso-incanae;Carici albae-Tilietum cordatae;R. Kaiser & T. Eberl
sp25;95;80;7;70;35;4;27;20;4;0,4;0,1;16;16;F;0;0;2013-05-15;48.081303N;13.831236E;9;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp26;99;0;98;3;45;0;0;10;2,5;0,15;0,15;16;16;F;0;0;2013-05-15;48.081733N;13.832167E;7;Braunerde;VW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp27;99;0;99;2;7;2;0;10;3;0,3;0,1;16;16;F;0;0;2013-05-15;48.082449N;13.832618E;7;Braunerde;VW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp28;99;0;0;25;98;40;0;0;3,5;0,8;0,4;16;16;F;0;0;2013-05-15;48.082502N;13.834265E;4;Braunerde;SF;Cephalanthero-Fagenion;Frangula alnus Cephalanthero-Fagenion-Gesellschaft;R. Kaiser & T. Eberl
sp29;97;95;0;1;45;0;26;0;1,5;0,25;0,15;16;16;F;0;0;2013-05-15;48.082152N;13.834655E;9;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp30;95;85;10;4;85;2;26;18;4;0,4;0,1;16;16;F;0;0;2013-05-15;48.081412N;13.834555E;5;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp31;99;0;0;85;90;20;0;0;5;0,6;0,1;16;16;F;0;0;2013-05-15;48.081211N;13.833242E;9;Braunerde;VW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp32;95;7;10;60;90;7;26;18;5;0,7;0,1;16;16;F;0;0;2013-05-15;48.080640N;13.833870E;8;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp33;97;93;30;10;90;1;30;20;5;0,5;0,1;16;16;W;20;0;2013-05-15;48.080600N;13.832410E;5;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp34;97;50;0;45;95;1;23;0;4;0,7;0,1;16;16;F;0;0;2013-05-15;48.082848N;13.835721E;7;Braunerde;FF;unclassified;unclassified;R. Kaiser & T. Eberl
sp35;99;0;25;75;97;20;0;8;6;0,5;0,25;16;16;F;0;0;2013-05-15;48.084436N;13.839819E;4;Braunerde;VW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp36;98;0;97;15;30;1;0;8;4;0,3;0,1;16;16;N;15;0;2013-05-15;48.084630N;13.839150E;9;Braunerde;VW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp37;93;85;15;35;65;20;27;15;5,5;0,4;0,2;16;16;N;50;7;2013-05-15;48.084980N;13.839780E;12;Braunerde;LW;unclassified;unclassified;R. Kaiser & T. Eberl
sp38;98;95;30;7;33;1;30;20;4;0,5;0,1;16;16;N;40;2;2013-05-15 & 2013-08-28;48.084823N;13.837539E;13;Braunerde;LW;unclassified;unclassified;R. Kaiser & T. Eberl
sp39;95;0;80;20;75;0;0;13;4,5;0,25;0,1;16;16;F;0;0;2013-05-15;48.084152N;13.838544E;4;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp40;92;90;10;0;70;1;27;18;0;0,3;0,1;16;16;F;0;0;2013-05-15;48.083299N;13.837099E;6;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp41;95;85;5;3;15;65;16;14;2;0,2;0,1;16;16;F;0;0;2013-05-15;48.082230N;13.838812E;6;Braunerde;FF;unclassified;unclassified;R. Kaiser & T. Eberl
sp42;98;90;10;15;80;1;28;18;4;0,3;0,1;16;16;F;0;0;2013-05-15;48.082265N;13.836911E;3;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp43;97;0;0;80;90;5;0;0;4;0,7;0,3;16;16;F;0;0;2013-05-16;48.081671N;13.838231E;7;Braunerde;SF;Cephalanthero-Fagenion;Frangula alnus Cephalanthero-Fagenion-Gesellschaft;R. Kaiser & T. Eberl
sp44;99;0;1;65;98;1;0;20;4;0,6;0,1;16;16;F;0;0;2013-05-16;48.081812N;13.837276E;8;Braunerde;SF;Cephalanthero-Fagenion;Frangula alnus Cephalanthero-Fagenion-Gesellschaft;R. Kaiser & T. Eberl
sp45;98;0;0;90;97;3;0;0;4;0,7;0,4;16;16;F;0;0;2013-05-16;48.081234N;13.837414E;4;Braunerde;VW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
sp46;96;80;45;25;80;1;28;18;4;0,5;0,1;16;16;F;0;0;2013-05-16;48.081000N;13.837952E;4;Braunerde;TBW;Cephalanthero-Fagenion;Helleboro nigri-Fagetum;R. Kaiser & T. Eberl
