plot;abbr;layer;cov;voucher;determined;history
sp001;acon lyco vulp;hl;+;;;
sp001;aego poda;hl;+;;;
sp001;ajug rept;hl;+;;;
sp001;anem nemo;hl;2b;;;
sp001;apos foet;hl;+;;;
sp001;asar euro euro;hl;1;;;
sp001;care alba;hl;2b;;;
sp001;care mich;hl;1;;;
sp001;care pilo;hl;3;;;
sp001;care sylv;hl;r;;;
sp001;carp betu;hl;1;;;
sp001;conv maja maja;hl;+;;;
sp001;crat mono;hl;r;;;
sp001;cycl purp;hl;1;;;
sp001;dact glom glom;hl;r;;cf. polygama;
sp001;dryo fili;hl;+;;;
sp001;euph amyg amyg;hl;+;;;
sp001;euph dulc dulc;hl;+;;;
sp001;fagu sylv;hl;1;;;
sp001;fest hete ylla;hl;+;;;
sp001;frag mosc;hl;+;;;
sp001;frax exce;hl;2a;;;
sp001;gale mont;hl;+;;;
sp001;hell nige;hl;2a;;;
sp001;hepa nobi;hl;2a;;;
sp001;lath vern;hl;+;;;
sp001;ligu vulg;hl;+;;;
sp001;maia bifo;hl;+;;;
sp001;merc pere;hl;1;;;
sp001;poly mult;hl;1;;;
sp001;popu trem;hl;+;;;
sp001;pote ster;hl;r;;;
sp001;prun aviu slat;hl;1;;;
sp001;prun padu padu;hl;+;;;
sp001;pulm offi;hl;+;;;
sp001;quer robu;hl;+;;;
sp001;rosa arve;hl;+;;;
sp001;rubu idae;hl;+;;;
sp001;rubu sect rubu;hl;+;;;
sp001;tili cord;hl;+;;;
sp001;vero cham cham;hl;+;;;
sp001;vibu lant;hl;+;;;
sp001;vibu opul;hl;+;;;
sp001;viol rivi;hl;+;;;
sp001;berb vulg;sl;+;;;
sp001;prun aviu slat;sl;+;;;
sp001;vibu lant;sl;+;;;
sp001;fagu sylv;tl1;2b;;;
sp001;frax exce;tl1;1;;;
sp001;popu trem;tl1;1;;cf. alba;
sp001;quer robu;tl1;2a;;;
sp001;carp betu;tl2;2b;;;
sp001;cory avel;tl2;1;;;
sp001;fagu sylv;tl2;2a;;;
sp001;frax exce;tl2;2b;;;
sp001;prun aviu slat;tl2;1;;;
sp001;sorb aria;tl2;2a;;;
sp002;acer camp;hl;+;;;
sp002;ajug rept;hl;+;;;
sp002;anem nemo;hl;3;;;
sp002;apos foet;hl;+;;;
sp002;berb vulg;hl;+;;;
sp002;care alba;hl;2a;;;
sp002;care digi;hl;1;;;
sp002;care flac;hl;+;;;
sp002;care pilo;hl;3;;;
sp002;carp betu;hl;+;;;
sp002;clem vita;hl;r;;;
sp002;conv maja maja;hl;3;;;
sp002;crat mono;hl;+;;;
sp002;cycl purp;hl;1;;;
sp002;desc cesp;hl;r;;;
sp002;dryo fili;hl;+;;;
sp002;euph amyg amyg;hl;+;;;
sp002;euph dulc dulc;hl;+;;;
sp002;fagu sylv;hl;2a;;;
sp002;fest hete ylla;hl;r;;;
sp002;frag mosc;hl;+;;;
sp002;frax exce;hl;+;;;
sp002;gale mont;hl;+;;;
sp002;hell nige;hl;1;;;
sp002;hepa nobi;hl;2a;;;
sp002;lath vern;hl;+;;;
sp002;loni xylo;hl;+;;;
sp002;mela nemo;hl;+;;;
sp002;mela sylv;hl;+;;;
sp002;meli nuta;hl;+;;;
sp002;merc pere;hl;1;;;
sp002;poly mult;hl;+;;;
sp002;pote ster;hl;+;;;
sp002;prun padu padu;hl;+;;;
sp002;quer robu;hl;+;;;
sp002;rosa arve;hl;r;;;
sp002;rubu sect rubu;hl;+;;;
sp002;berb vulg;sl;+;;;
sp002;loni xylo;sl;1;;;
sp002;pice abie;sl;+;;;
sp002;sorb aria;sl;+;;;
sp002;fagu sylv;tl1;3;;;
sp002;frax exce;tl1;2b;;;
sp002;fagu sylv;tl2;2a;;;
sp002;frax exce;tl2;2a;;;
sp003;ajug rept;hl;+;;;
sp003;anem nemo;hl;2b;;;
sp003;apos foet;hl;1;;;
sp003;care alba;hl;2b;;;
sp003;care digi;hl;2a;;;
sp003;care pilo;hl;+;;;
sp003;conv maja maja;hl;+;;;
sp003;cycl purp;hl;1;;;
sp003;dryo fili;hl;+;;;
sp003;fagu sylv;hl;1;;;
sp003;fest hete ylla;hl;r;;;
sp003;frag vesc;hl;+;;;
sp003;frax exce;hl;2b;;;
sp003;gale mont;hl;1;;;
sp003;gali apar;hl;+;;cf. spurium;
sp003;gali odor;hl;r;;;
sp003;hell nige;hl;2b;;;
sp003;hepa nobi;hl;1;;;
sp003;loni xylo;hl;+;;;
sp003;meli nuta;hl;+;;;
sp003;merc pere;hl;2b;;;
sp003;pari quad;hl;1;;;
sp003;pice abie;hl;r;;;
sp003;pote ster;hl;1;;;
sp003;pulm offi;hl;+;;;
sp003;rubu idae;hl;+;;;
sp003;berb vulg;sl;+;;;
sp003;carp betu;sl;2a;;;
sp003;daph meze;sl;r;;;
sp003;dryo cart;sl;+;;;
sp003;fagu sylv;sl;2b;;;
sp003;fran alnu;sl;1;;;
sp003;frax exce;sl;2a;;;
sp003;loni xylo;sl;+;;;
sp003;fagu sylv;tl1;3;;;
sp003;frax exce;tl1;2a;;;
sp003;pice abie;tl1;1;;;
sp004;anem nemo;hl;2a;;;
sp004;apos foet;hl;2a;;;
sp004;berb vulg;hl;+;;;
sp004;brom bene;hl;+;;;
sp004;care alba;hl;+;;;
sp004;care digi;hl;2b;;;
sp004;carp betu;hl;+;;;
sp004;cycl purp;hl;+;;;
sp004;daph meze;hl;r;;;
sp004;desc cesp;hl;+;;;
sp004;dryo cart;hl;+;;;
sp004;euon euro;hl;+;;;
sp004;fagu sylv;hl;1;;;
sp004;frax exce;hl;+;;;
sp004;gale mont;hl;+;;;
sp004;hepa nobi;hl;2a;;;
sp004;loni xylo;hl;+;;;
sp004;meli nuta;hl;+;;;
sp004;poly mult;hl;+;;;
sp004;rham cath;hl;r;;;
sp004;tili cord;hl;+;;cf.plat;
sp004;vibu lant;hl;+;;;
sp004;viol reic;hl;+;;;
sp004;euon euro;sl;+;;;
sp004;fagu sylv;sl;1;;;
sp004;pice abie;sl;2b;;;
sp004;fagu sylv;tl1;4;;;
sp004;frax exce;tl1;2b;;;
sp004;fagu sylv;tl2;2b;;;
sp004;frax exce;tl2;2b;;;
sp005;acer camp;hl;+;;;
sp005;anem nemo;hl;3;;;
sp005;apos foet;hl;+;;;
sp005;aqui atra;hl;+;cf.;;
sp005;brac sylv;hl;+;;;
sp005;care alba;hl;2a;;;
sp005;care digi;hl;+;;;
sp005;conv maja maja;hl;3;;;
sp005;crat mono;hl;1;;;
sp005;cycl purp;hl;1;;;
sp005;desc cesp;hl;+;;;
sp005;euph amyg amyg;hl;+;;;
sp005;fagu sylv;hl;2b;;;
sp005;fest hete ylla;hl;r;;;
sp005;gale mont;hl;+;;;
sp005;hell nige;hl;+;;;
sp005;hepa nobi;hl;2a;;;
sp005;lath vern;hl;r;;;
sp005;loni xylo;hl;+;;;
sp005;meli nuta;hl;1;;;
sp005;pice abie;hl;+;;;
sp005;poly mult;hl;+;;;
sp005;prun aviu slat;hl;1;;;
sp005;rubu sect rubu;hl;1;;;
sp005;sorb aria;hl;+;;;
sp005;vibu opul;hl;+;;;
sp005;viol reic;hl;+;2013-0127;;
sp005;viol rivi;hl;+;;;
sp005;acer camp;sl;+;;;
sp005;acer pseu;sl;+;;;
sp005;cory avel;sl;1;;;
sp005;crat mono;sl;+;;;
sp005;loni xylo;sl;+;;;
sp005;sorb aria;sl;+;;;
sp005;fagu sylv;tl1;5;;;
sp005;frax exce;tl1;2b;;;
sp006;anem nemo;hl;2b;;;
sp006;brac sylv;hl;+;;;
sp006;care alba;hl;1;;;
sp006;care digi;hl;+;;;
sp006;care pilo;hl;2a;;;
sp006;corn sang sang;hl;2a;;;
sp006;crat mono;hl;+;;;
sp006;cycl purp;hl;+;;;
sp006;daph meze;hl;+;;;
sp006;desc cesp;hl;+;;;
sp006;euon euro;hl;+;;;
sp006;fagu sylv;hl;+;;;
sp006;frax exce;hl;1;;;
sp006;gale mont;hl;+;;;
sp006;hepa nobi;hl;2b;;;
sp006;loni xylo;hl;+;;;
sp006;merc pere;hl;+;;;
sp006;pice abie;hl;1;;;
sp006;poly mult;hl;+;;;
sp006;pote ster;hl;+;;;
sp006;prun padu padu;hl;+;;;
sp006;pulm offi;hl;+;;;
sp006;quer robu;hl;+;;;
sp006;rubu sect rubu;hl;+;;;
sp006;sorb aucu aucu;hl;+;;;
sp006;berb vulg;sl;1;;;
sp006;corn sang sang;sl;1;;;
sp006;euon euro;sl;+;;;
sp006;fagu sylv;sl;2a;;;
sp006;lari deci deci;sl;1;;;
sp006;pice abie;sl;1;;;
sp006;fagu sylv;tl1;4;;;
sp006;frax exce;tl1;2a;;;
sp006;acer pseu;tl2;2b;;;
sp006;fagu sylv;tl2;2b;;;
sp006;frax exce;tl2;2a;;;
sp007;acer camp;hl;+;;;
sp007;acer pseu;hl;+;;;
sp007;ajug rept;hl;+;;;
sp007;anem nemo;hl;2b;;;
sp007;apos foet;hl;2a;;;
sp007;care alba;hl;3;;;
sp007;care digi;hl;1;;;
sp007;care mich;hl;+;;;
sp007;carp betu;hl;+;;;
sp007;conv maja maja;hl;1;;;
sp007;cory avel;hl;+;;;
sp007;crat mono;hl;+;;;
sp007;cycl purp;hl;1;;;
sp007;daph meze;hl;+;;;
sp007;desc cesp;hl;+;;;
sp007;dryo cart;hl;+;;;
sp007;euon euro;hl;+;;;
sp007;euph amyg amyg;hl;+;;;
sp007;fest hete ylla;hl;+;;;
sp007;frax exce;hl;+;;;
sp007;gale mont;hl;+;;;
sp007;geum urba;hl;+;;;
sp007;hell nige;hl;2a;;;
sp007;hepa nobi;hl;1;;;
sp007;hype hirs;hl;+;;;
sp007;lath vern;hl;+;;;
sp007;maia bifo;hl;+;;;
sp007;meli nuta;hl;+;;;
sp007;merc pere;hl;2a;;;
sp007;poly mult;hl;+;;;
sp007;prun aviu slat;hl;+;;;
sp007;pulm offi;hl;+;;;
sp007;quer robu;hl;+;;;
sp007;tili cord;hl;+;;;
sp007;viol reic;hl;+;;;
sp007;acer camp;sl;+;;;
sp007;berb vulg;sl;+;;;
sp007;carp betu;sl;1;;;
sp007;fagu sylv;sl;2a;;;
sp007;loni xylo;sl;+;;;
sp007;vibu lant;sl;+;;;
sp007;carp betu;tl1;+;;;
sp007;frax exce;tl1;2a;;;
sp007;carp betu;tl2;4;;;
sp008;ajug rept;hl;+;;;
sp008;anem nemo;hl;2a;;;
sp008;atro bell;hl;+;;;
sp008;care alba;hl;3;;;
sp008;care digi;hl;+;;;
sp008;care sylv;hl;+;;;
sp008;cirs arve;hl;+;;;
sp008;cirs oler;hl;r;;;
sp008;cirs vulg;hl;+;;;
sp008;cycl purp;hl;+;;;
sp008;dryo fili;hl;1;;;
sp008;epil parv;hl;+;TE;;
sp008;epil spec ies;hl;+;TE;;
sp008;euph amyg amyg;hl;+;;;
sp008;euph dulc dulc;hl;+;;;
sp008;frag vesc;hl;+;;;
sp008;fran alnu;hl;+;;;
sp008;frax exce;hl;2m;;;
sp008;gale mont;hl;2b;;;
sp008;gali odor;hl;+;;;
sp008;hell nige;hl;1;;;
sp008;hepa nobi;hl;2a;;;
sp008;hype perf;hl;+;;;
sp008;junc tenu;hl;+;;;
sp008;lath prat prat;hl;+;;;
sp008;maia bifo;hl;+;;;
sp008;meli nuta;hl;1;;;
sp008;merc pere;hl;2b;;;
sp008;poly mult;hl;+;;;
sp008;pote ster;hl;+;;;
sp008;prun vulg;hl;+;;;
sp008;rubu sect rubu;hl;+;;;
sp008;soli cana;hl;+;;;
sp008;tara sect rude;hl;+;;;
sp008;tili cord;hl;+;;;
sp008;vero cham cham;hl;+;;;
sp008;viol reic;hl;+;;;
sp008;fagu sylv;sl;2a;;;
sp008;loni xylo;sl;+;;;
sp009;anem nemo;hl;+;;;
sp009;care alba;hl;+;;;
sp009;care digi;hl;+;;;
sp009;cycl purp;hl;+;;;
sp009;daph meze;hl;+;;;
sp009;dryo cart;hl;+;;;
sp009;dryo fili;hl;+;;;
sp009;fagu sylv;hl;1;;;
sp009;frax exce;hl;+;;;
sp009;gale mont;hl;+;;;
sp009;gali odor;hl;r;;;
sp009;hepa nobi;hl;2a;;;
sp009;loni xylo;hl;+;;;
sp009;merc pere;hl;+;;;
sp009;pice abie;hl;+;;;
sp009;poly mult;hl;1;;;
sp009;rubu sect rubu;hl;+;;;
sp009;viol reic;hl;r;;;
sp009;euon euro;sl;+;;;
sp009;fagu sylv;sl;3;;;
sp009;frax exce;sl;+;;;
sp009;fagu sylv;tl1;5;;;
sp009;frax exce;tl1;2a;;;
sp009;fagu sylv;tl2;3;;;
sp010;anem nemo;hl;2a;;;
sp010;athy fili;hl;+;;;
sp010;brac sylv;hl;+;;;
sp010;care alba;hl;1;;;
sp010;care digi;hl;+;;;
sp010;conv maja maja;hl;+;;;
sp010;cory avel;hl;+;;;
sp010;dryo cart;hl;+;;;
sp010;gale mont;hl;2a;;;
sp010;hell nige;hl;+;;;
sp010;hepa nobi;hl;2b;;;
sp010;loni xylo;hl;+;;;
sp010;meli nuta;hl;+;;;
sp010;merc pere;hl;2b;;;
sp010;pari quad;hl;1;;;
sp010;poly mult;hl;1;;;
sp010;prun padu padu;hl;+;;;
sp010;loni xylo;sl;+;;;
sp010;fagu sylv;tl1;5;;;
sp010;frax exce;tl1;2a;;;
sp010;pice abie;tl1;1;;;
sp010;fagu sylv;tl2;2b;;;
sp010;frax exce;tl2;2a;;;
sp011;anem nemo;hl;3;;;
sp011;brac sylv;hl;+;;;
sp011;care alba;hl;1;;;
sp011;care digi;hl;+;;;
sp011;care pilo;hl;2a;;;
sp011;care sylv;hl;+;;;
sp011;cycl purp;hl;+;;;
sp011;daph meze;hl;+;;;
sp011;desc cesp;hl;+;;;
sp011;dryo fili;hl;+;;;
sp011;euph dulc dulc;hl;+;;;
sp011;frax exce;hl;+;;;
sp011;gale mont;hl;2a;;;
sp011;gali odor;hl;2a;;;
sp011;hell nige;hl;2a;;;
sp011;hepa nobi;hl;2b;;;
sp011;lath vern;hl;r;;;
sp011;merc pere;hl;2b;;;
sp011;poly mult;hl;+;;;
sp011;viol reic;hl;r;;;
sp011;pice abie;sl;1;;;
sp011;fagu sylv;tl1;5;;;
sp011;frax exce;tl1;2a;;;
sp011;pice abie;tl1;2a;;;
sp011;fagu sylv;tl2;2a;;;
sp011;frax exce;tl2;2a;;;
sp012;acer pseu;hl;+;;;
sp012;acon lyco vulp;hl;1;;;
sp012;ajug rept;hl;1;;;
sp012;anem nemo;hl;+;;;
sp012;ange sylv sylv;hl;r;;;
sp012;apos foet;hl;+;;;
sp012;arab aren;hl;+;;;
sp012;atro bell;hl;+;;;
sp012;camp pers;hl;2m;;;
sp012;card bulb;hl;2a;;;
sp012;care alba;hl;2a;;;
sp012;care digi;hl;+;;;
sp012;care poly;hl;2a;TE;;
sp012;cirs arve;hl;+;;;
sp012;cirs vulg;hl;+;;;
sp012;clem vita;hl;2a;;;
sp012;conv maja maja;hl;+;;;
sp012;digi gran;hl;2a;;;
sp012;erig cana;hl;1;;;
sp012;eupa cann;hl;1;;;
sp012;euph cypa;hl;+;;;
sp012;fagu sylv;hl;1;;;
sp012;frax exce;hl;1;;;
sp012;gale mont;hl;2b;;;
sp012;hell nige;hl;+;;;
sp012;hepa nobi;hl;+;;;
sp012;hype hirs;hl;+;;;
sp012;impa noli;hl;+;;;
sp012;lath vern;hl;1;;;
sp012;meli nuta;hl;1;;;
sp012;merc pere;hl;2b;;;
