plot;abbr;layer;cover;comment;history
sm01;care curv curv;hl;3;;
sm01;prim mini;hl;2b;;
sm01;aven vers;hl;2b;;
sm01;homo alpi;hl;1;;
sm01;gent niva;hl;r;;
sm01;scor helv;hl;2a;;
sm01;diba baeo;ml;1;;
sm01;clad pyxi;ml;1;;
sm01;euph mini;hl;+;;
sm01;mute adon;hl;2m;;
sm01;poly alpi;ml;1;;
sm01;cetr isla isla;ml;+;;
sm01;dicr scop;ml;+;;
sm01;luzu alpi losa;hl;1;;
sm01;agro rupe rupe;hl;1;;
sm01;sold pusi alpi;hl;+;;
sm01;desc cesp;hl;+;;
sm01;gnap supi;hl;+;;
sm01;fest pict;hl;1;;
sm01;vacc myrt;hl;+;;
sm01;pers vivi;hl;+;;
sm01;pote aure;hl;+;;
sm01;hier alpi;hl;r;;
sm01;camp sche;hl;r;;
sm02;fest pict;hl;3;;
sm02;phle comm;hl;2a;;
sm02;pote aure;hl;1;;
sm02;scor helv;hl;1;;
sm02;sold pusi alpi;hl;+;;
sm02;aven vers;hl;1;;
sm02;desc cesp;hl;1;;
sm02;anth alpi;hl;1;;
sm02;camp sche;hl;+;;
sm02;junc jacq;hl;+;;
sm02;pers vivi;hl;+;;
sm02;mute adon;hl;1;;
sm02;luzu alpi losa;hl;1;;
sm02;gali anis;hl;+;;
sm02;poa alpi;hl;1;;
sm02;phyt orbi;hl;+;;
sm02;homo alpi;hl;+;;
sm02;euph mini;hl;1;;
sm02;ranu mont;hl;+;;
sm02;pimp majo rubr;hl;+;;
sm02;dicr scop;ml;+;;
sm02;alch sect cori;hl;+;;
sm02;poly alpi;ml;+;;
sm02;trif prat niva;hl;+;;
sm03;care curv curv;hl;4;;
sm03;phyt hemi;hl;+;;
sm03;scor helv;hl;2b;;
sm03;pers vivi;hl;1;;
sm03;hier alpi;hl;1;;
sm03;sold pusi alpi;hl;+;;
sm03;mute adon;hl;+;;
sm03;luzu alpi losa;hl;1;;
sm03;prim mini;hl;1;;
sm03;vacc gaul;hl;+;;
sm03;euph mini;hl;+;;
sm03;aven vers;hl;1;;
sm03;sali herb;hl;1;;
sm03;tham verm verm;ml;+;;
sm03;cetr isla isla;ml;+;;
sm03;hylo sple;ml;1;;
sm03;clad rang;ml;+;;
sm03;agro rupe rupe;hl;2a;;
sm03;poly alpi;ml;+;;
sm03;homo alpi;hl;1;;
sm03;hier nigr;hl;+;;
sm03;vacc viti;hl;+;;
sm03;fest pict;hl;1;;
sm03;camp alpi;hl;+;;
sm03;diba baeo;ml;+;;
sm03;hupe sela;hl;+;;
sm04;alli scho alpi;hl;4;;
sm04;care nigr;hl;1;;
sm04;care dava;hl;2b;cf. Kobresia myosuroides, voucher P. Pilsl;
sm04;sold pusi alpi;hl;1;;
sm04;ranu alpe;hl;2b;;
sm04;erio angu;hl;+;;
sm04;bart alpi;hl;+;;
sm04;equi vari;hl;1;;
sm04;warn exan;ml;2a;;
sm04;care ferr;hl;1;;
sm04;will stip stip;hl;+;;
sm04;ranu mont;hl;r;;
sm05;tric cesp cesp;hl;4;;
sm05;care nigr;hl;1;;
sm05;erio angu;hl;2b;;
sm05;gent bava;hl;+;;
sm05;bart alpi;hl;+;;
sm05;sold pusi alpi;hl;2m;;
sm05;ranu alpe;hl;2a;;
sm05;care dava;hl;1;;
sm05;warn exan;ml;1;;
