plot,abbr,layer,cover,voucher,comment,history
se01,acer pseu,hl,+,,,
se01,aden alpi,hl,+,,,
se01,aspl scol scol,hl,2a,,,
se01,cala vari,hl,+,,,
se01,card enne,hl,+,,,
se01,cirs eris,hl,+,,,
se01,clem vita,hl,2a,,,
se01,cory avel,hl,+,,,
se01,cycl purp,hl,+,,,
se01,dryo fili,hl,+,,,
se01,eupa cann,hl,+,,,
se01,gale flav,hl,2b,,,
se01,gale psis spec ies,hl,+,,,
se01,gali odor,hl,+,,,
se01,gali sylv,hl,+,,,
se01,gera robe,hl,1,,,
se01,hepa nobi,hl,+,,,
se01,lact mura,hl,+,,,
se01,luna redi,hl,2b,,,
se01,meli nuta,hl,+,,,
se01,merc pere,hl,2b,,,
se01,poly acul,hl,+,,,
se01,salv glut,hl,+,,,
se01,samb nigr,hl,+,,,
se01,sorb aucu aucu,hl,+,,,
se01,urti dioi dioi,hl,+,,,
se01,vinc hiru,hl,+,,,
se01,cory avel,sl,3,,,
se01,samb nigr,sl,2a,,,
se01,acer pseu,tl1,3,,,
se01,frax exce,tl1,2b,,,
se01,fagu sylv,tl2,2a,,,
se01,frax exce,tl2,1,,,
se01,pice abie,tl2,2a,,,
se01,ulmu glab,tl2,2a,,,
se02,acer pseu,hl,+,,,
se02,asar euro cauc,hl,+,,,
se02,beto alop,hl,+,,,
se02,brom bene,hl,+,,,
se02,buph sali,hl,+,,,
se02,cala vari,hl,+,,,
se02,camp trac,hl,+,,,
se02,card enne,hl,+,,,
se02,care alba,hl,+,,,
se02,cirs eris,hl,+,,,
se02,clem vita,hl,1,,,
se02,cory avel,hl,+,,,
se02,cycl purp,hl,+,,,
se02,eupa cann,hl,+,,,
se02,fagu sylv,hl,+,,,
se02,frax exce,hl,+,,,
se02,gale flav,hl,2a,,,
se02,gali odor,hl,+,,,
se02,gali sylv,hl,+,,,
se02,gera robe,hl,+,,,
se02,hell nige,hl,r,,,
se02,hera spho eleg,hl,+,,,
se02,hylo maxi,hl,r,,,
se02,luna redi,hl,2a,,,
se02,merc pere,hl,3,,,
se02,poly mult,hl,+,,,
se02,poly odor,hl,r,,,
se02,salv glut,hl,+,,,
se02,sene ovat ovat,hl,+,,,
se02,stac alpi,hl,+,,,
se02,tili plat,hl,+,,,
se02,ulmu glab,hl,+,,,
se02,urti dioi dioi,hl,+,,,
se02,vinc hiru,hl,1,,,
se02,cory avel,sl,3,,,
se02,frax exce,sl,2a,,,
se02,acer pseu,tl1,2b,,,
se02,fagu sylv,tl1,2a,,,
se02,frax exce,tl1,2a,,,
se02,pice abie,tl1,2a,,,
se02,tili plat,tl1,2a,,,
se02,frax exce,tl2,2a,,,
se02,tili plat,tl2,3,,,
se03,aego poda,hl,+,,,
se03,alli ursi ursi,hl,3,,,
se03,arun dioi,hl,+,,,
se03,asar euro euro,hl,+,,,
se03,aspl scol scol,hl,1,,,
se03,aspl tric quad,hl,+,,,
se03,brac sylv,hl,+,,,
se03,care digi,hl,+,,,
se03,cory avel,hl,+,,,
se03,dryo affi aggr,hl,+,,,
se03,dryo fili,hl,+,,,
se03,euon euro,hl,+,,,
se03,frax exce,hl,+,,,
se03,gale mont,hl,2a,,,
se03,gali odor,hl,+,,,
se03,gera robe,hl,+,,,
se03,geum urba,hl,+,,,
se03,hede heli,hl,4,,,
se03,hell nige,hl,r,,,
se03,ligu vulg,hl,r,,,
se03,phyt spic,hl,r,,,
se03,poly acul,hl,+,,,
se03,poly vulg,hl,+,,,
se03,prim elat,hl,+,,,
se03,rubu sect rubu,hl,+,,,
se03,samb nigr,hl,+,,,
se03,stac alpi,hl,+,,,
se03,symp tube slat,hl,+,,,
se03,ulmu glab,hl,+,,,
se03,vibu opul,hl,+,,,
se03,neck cris,ml,1,,,
se03,acer plat,sl,+,,,
se03,corn sang slat,sl,+,,,
se03,cory avel,sl,1,,,
se03,fagu sylv,sl,+,,,
se03,hede heli,sl,+,,,
se03,loni xylo,sl,+,,,
se03,pice abie,sl,r,,,
se03,samb nigr,sl,2b,,,
se03,taxu bacc,sl,r,,,
se03,tili plat,sl,+,,,
se03,ulmu glab,sl,+,,,
se03,acer pseu,tl1,3,,,
se03,frax exce,tl1,2a,,,
se03,ulmu glab,tl1,2b,,,
se03,acer pseu,tl2,2a,,,
se03,carp betu,tl2,3,,,
se03,hede heli,tl2,1,,,
se03,ulmu glab,tl2,2a,,,
se04,abie alba,hl,+,,,
se04,acer pseu,hl,+,,,
se04,arab aren,hl,+,,,
se04,aspl ruta,hl,+,,,
se04,aspl tric quad,hl,+,,,
se04,aspl viri,hl,+,,,
se04,buph sali,hl,1,,,
se04,cala vari,hl,2a,,,
se04,camp pers,hl,+,,,
se04,camp rotu,hl,+,,,
se04,camp trac,hl,+,,,
se04,card defl viri,hl,1,,,
se04,card enne,hl,+,,,
se04,care digi,hl,+,,,
se04,carp betu,hl,+,,,
se04,ceph dama,hl,+,,,
se04,clem vita,hl,+,,,
se04,cycl purp,hl,+,,,
se04,dryo cart,hl,+,,,
se04,dryo fili,hl,+,,,
se04,epip atro,hl,+,,,
se04,fagu sylv,hl,+,,,
se04,fest amet amet,hl,+,,,
se04,fest pall,hl,r,,,
se04,frag vesc,hl,+,,,
se04,frax exce,hl,+,,,
se04,gali anis,hl,+,,,
se04,gali luci,hl,1,,,
se04,gali sylv,hl,+,,,
se04,hede heli,hl,+,,,
se04,hepa nobi,hl,+,,,
se04,hylo maxi,hl,+,,,
se04,hype hirs,hl,+,,,
se04,hype perf,hl,+,,,
se04,lact mura,hl,+,,,
se04,luzu luzu ides,hl,+,,,
se04,luzu sylv sylv,hl,+,,,
se04,merc pere,hl,+,,,
se04,moeh musc,hl,+,,,
se04,pice abie,hl,+,,,
se04,poly mult,hl,+,,,
se04,poly vulg,hl,+,,,
se04,quer robu,hl,+,,,
se04,rubu idae,hl,+,,,
se04,rubu sect rubu,hl,+,,,
se04,salv glut,hl,+,,,
se04,sese aust,hl,r,,,
se04,sesl caer,hl,3,,,
se04,soli virg virg,hl,+,,,
se04,sorb aria,hl,+,,,
se04,tili plat,hl,+,,,
se04,vacc myrt,hl,+,,,
se04,neck cris,ml,2a,,,
se04,corn sang slat,sl,+,,,
se04,cory avel,sl,3,,,
se04,frax exce,sl,+,,,
se04,sorb aria,sl,1,,,
se04,tili plat,tl1,2b,,,
se04,fagu sylv,tl2,2b,,,
se04,pice abie,tl2,1,,,
se04,sorb aria,tl2,2a,,,
se04,tili ×vul,tl2,1,,,
se04,tili plat,tl2,1,,,
se05,acer pseu,hl,+,,,
se05,arab aren,hl,+,,,
se05,asar euro cauc,hl,1,,,
se05,aspl ruta,hl,+,,,
se05,aspl tric quad,hl,+,,,
se05,aspl viri,hl,+,,,
se05,buph sali,hl,1,,,
se05,camp pers,hl,+,,,
se05,camp rotu,hl,+,,,
se05,camp trac,hl,+,,,
se05,card defl viri,hl,+,,,
se05,care alba,hl,2b,,,
se05,care digi,hl,+,,,
se05,care orni orni,hl,+,,,
se05,carp betu,hl,+,,,
se05,ceph dama,hl,+,,,
se05,clem vita,hl,+,,,
se05,corn sang slat,hl,+,,,
se05,cory avel,hl,+,,,
se05,cycl purp,hl,1,,,
se05,frax exce,hl,+,,,
se05,gali luci,hl,+,,,
se05,gali sylv,hl,+,,,
se05,gera robe,hl,+,,,
se05,hede heli,hl,+,,,
se05,hylo maxi,hl,+,,,
se05,hype hirs,hl,+,,,
se05,knau maxi,hl,+,,,
se05,merc pere,hl,+,,,
se05,moeh musc,hl,+,,,
se05,orig vulg,hl,1,,,
se05,poly acul,hl,+,,,
se05,poly vulg,hl,+,,,
se05,quer robu,hl,+,,,
se05,rubu sect rubu,hl,+,,,
se05,salv glut,hl,+,,,
se05,sene ovat ovat,hl,+,,,
se05,sesl caer,hl,4,,,
se05,hylo sple,ml,+,,,
se05,neck cris,ml,2b,,,
se05,corn sang slat,sl,1,,,
se05,cory avel,sl,4,,,
se05,frax exce,sl,1,,,
se05,fagu sylv,tl1,2a,,,
se05,frax exce,tl1,2a,,,
se05,tili plat,tl1,3,,,
se05,acer pseu,tl2,2a,,,
se05,fagu sylv,tl2,1,,,
se05,frax exce,tl2,2a,,,
se05,quer robu,tl2,1,,,
se05,tili plat,tl2,2a,,,
se06,acer plat,hl,+,,,
se06,arab aren,hl,+,,,
se06,aspl ruta,hl,+,,,
se06,aspl tric quad,hl,+,,,
se06,brac sylv,hl,+,,,
se06,buph sali,hl,+,,,
se06,cala vari,hl,3,,,
se06,camp pers,hl,+,,,
se06,camp rotu,hl,+,,,
se06,card defl viri,hl,1,,,
se06,care digi,hl,1,,,
se06,care orni orni,hl,1,,,
se06,clem vita,hl,+,,,
se06,clin alpi alpi,hl,1,,,
se06,clin vulg vulg,hl,+,,,
se06,corn sang slat,hl,+,,,
se06,cycl purp,hl,1,,,
se06,digi gran,hl,1,,,
se06,dryo fili,hl,+,,,
se06,eric carn,hl,1,,,
se06,fagu sylv,hl,r,,,
se06,frag mosc,hl,2a,,,
se06,frag vesc,hl,+,,,
se06,frax exce,hl,+,,,
se06,gali luci,hl,2a,,,
se06,gali sylv,hl,+,,,
se06,gera robe,hl,+,,,
se06,hepa nobi,hl,+,,,
se06,hier bifi,hl,+,,,
se06,hier spec ies,hl,r,2014-0119,,
se06,hylo maxi,hl,+,,,
se06,hype perf,hl,+,,,
se06,lase lati lati,hl,+,,,
se06,loni alpi,hl,1,,,
se06,mela sylv,hl,+,cf.,,
se06,meli nuta,hl,+,,,
se06,merc pere,hl,+,,,
se06,moeh musc,hl,+,,,
se06,orch masc spec,hl,+,,,
se06,orig vulg,hl,1,,,
se06,pulm offi,hl,+,,,
se06,rham cath,hl,+,,,
se06,rosa pend,hl,1,,,
se06,salv glut,hl,+,,,
se06,sedu albu,hl,+,,,
se06,sesl caer,hl,+,,,
se06,sorb aria,hl,+,,,
se06,sorb aucu aucu,hl,+,,,
se06,teuc cham,hl,1,,,
se06,tili plat,hl,+,,,
se06,vacc myrt,hl,+,,,
se06,vero cham cham,hl,1,,,
se06,vinc hiru,hl,1,,,
se06,homa lute,ml,+,,,
se06,hylo sple,ml,2a,,,
se06,pleu schr,ml,1,,,
se06,tort tort,ml,1,,,
se06,clem vita,sl,1,,,
se06,corn sang slat,sl,1,,,
se06,frax exce,sl,1,,,
se06,juni comm comm,sl,+,,,
se06,pice abie,sl,+,,,
se06,rham cath,sl,+,,,
se06,rosa pend,sl,2a,,,
se06,sorb aria,sl,+,,,
se06,frax exce,tl1,1,,,
se06,sorb aria,tl1,2b,,,
se06,tili plat,tl1,1,,,
se06,frax exce,tl2,1,,,
se06,sorb aria,tl2,3,,,
se06,tili ×vul,tl2,1,2014-0120,,
se07,acer pseu,hl,+,,,
se07,asar euro euro,hl,1,,,
se07,aspl scol scol,hl,2b,,,
se07,athy fili,hl,+,,,
se07,card bulb,hl,+,,,
se07,card enne,hl,2a,,,
se07,circ lute lute,hl,+,,,
se07,dryo cart,hl,+,,,
se07,dryo fili,hl,2b,,,
se07,frax exce,hl,+,,,
se07,gale mont,hl,2b,,,
se07,gera robe,hl,1,,,
se07,impa noli,hl,+,,,
se07,luna redi,hl,1,,,
se07,merc pere,hl,+,,,
se07,pari quad,hl,+,,,
se07,poly acul,hl,+,,,
se07,poly vert,hl,+,,,
se07,poly vulg,hl,+,,,
se07,pulm offi,hl,+,,,
se07,rubu sect rubu,hl,1,,,
