plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance.code;alliance;association;soil;comment;location;observer
stpl01;99;0;0;0;99;15;0;0;0;0,6;0,25;4;4;F;0;0;1;0;2022-05-09;13,421012;47,723642;5;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Strobl, Gschwendt;T. Eberl
stpl02;100;0;0;0;100;3;0;0;0;0,65;0,25;4;4;F;0;0;0;0;2022-05-10;13,420624;47,72423;5;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Strobl, Gschwendt;T. Eberl
stpl03;100;0;0;0;100;2;0;0;0;0,85;0,25;4;4;F;0;0;0;0;2022-05-10;13,421791;47,723976;5;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Strobl, Gschwendt;T. Eberl
stpl04;100;0;0;0;99;7;0;0;0;0,8;0,25;4;4;F;0;0;0;0;2022-05-10;13,421133;47,724082;5;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Strobl, Gschwendt;T. Eberl
stpl05;98;0;0;0;97;3;0;0;0;0,6;0,25;4;4;F;0;0;2;0;2022-05-10;13,420487;47,723892;5;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Strobl, Gschwendt;T. Eberl
stpl06;100;0;0;0;99;10;0;0;0;0,8;0,25;4;4;F;0;0;0;0;2022-05-10;13,420017;47,723984;5;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Strobl, Gschwendt;T. Eberl
stpl07;100;0;0;0;100;1;0;0;0;0,7;0,25;4;4;F;0;0;0;0;2022-05-10;13,421256;47,724389;5;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Strobl, Gschwendt;T. Eberl
stpl08;100;0;0;0;100;1;0;0;0;0,7;0,25;4;4;F;0;0;0;0;2022-05-10;13,421777;47,724179;5;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Strobl, Gschwendt;T. Eberl
stpl09;100;0;0;0;99;2;0;0;0;0,85;0,25;4;4;F;0;0;0;0;2022-05-10;13,421735;47,724419;5;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Strobl, Gschwendt;T. Eberl
stpl10;99;0;0;0;98;3;0;0;0;0,8;0,25;4;4;F;0;0;1;0;2022-05-10;13,421529;47,723659;5;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Strobl, Gschwendt;T. Eberl
stpl11;99;0;0;0;97;75;0;0;0;0,75;0,25;4;4;NE;7;0;1;0;2022-05-30;13,418624;47,722782;5;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Strobl, Gschwendt;T. Eberl
stpl12;99;0;0;0;97;90;0;0;0;0,8;0,25;4;4;ENE;5;0;1;0;2022-05-30;13,418393;47,722411;5;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Strobl, Gschwendt;T. Eberl
stpl13;99;0;0;0;97;60;0;0;0;0,8;0,3;4;4;NE;2;0;1;0;2022-05-30;13,418102;47,722736;5;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Strobl, Gschwendt;T. Eberl
stpl14;99;0;0;0;98;60;0;0;0;0,75;0,2;4;4;NE;8;0;1;0;2022-05-30;13,418895;47,722511;5;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Strobl, Gschwendt;T. Eberl
stpl15;99;0;0;0;98;15;0;0;0;0,85;0,25;4;4;NE;7;0;1;0;2022-05-30;13,418543;47,721965;5;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Strobl, Gschwendt;T. Eberl
stpl16;99;0;0;0;98;85;0;0;0;0,85;0,25;4;4;NE;5;0;1;0;2022-05-30;13,418089;47,722225;5;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Strobl, Gschwendt;T. Eberl
