plot,abbr,layer,cover,voucher,comment,history
stpl01,achi mill aggr,hl,1,,,
stpl01,alop prat,hl,1,,,
stpl01,anth odor,hl,2a,,,
stpl01,anth sylv,hl,+,,,
stpl01,bell pere,hl,1,,,
stpl01,care sylv,hl,r,,,
stpl01,cera holo,hl,+,,,
stpl01,crep bien,hl,+,,,
stpl01,cyno cris,hl,+,,,
stpl01,dact glom glom,hl,+,,,
stpl01,fest prat prat,hl,1,,,
stpl01,fest rubr,hl,2b,,,
stpl01,gali albu,hl,+,,,
stpl01,glec hede,hl,+,,,
stpl01,hera spho spho,hl,1,,,
stpl01,leuc ircu,hl,2b,,,
stpl01,lysi numm,hl,r,,,
stpl01,plan lanc,hl,2b,,,
stpl01,poa prat,hl,2a,,,
stpl01,poa triv,hl,+,,,
stpl01,prun vulg,hl,+,,,
stpl01,ranu acri acri,hl,2a,,,
stpl01,rume acet osa,hl,+,,,
stpl01,tara sect rude,hl,1,,,
stpl01,trif prat prat,hl,2b,,,
stpl01,trif repe repe,hl,2a,,,
stpl01,tris flav flav,hl,2b,,,
stpl01,vero arve,hl,r,,,
stpl01,vero cham cham,hl,1,,,
stpl01,vero fili,hl,+,,,
stpl01,vero serp serp,hl,+,,,
stpl01,vici sepi,hl,r,,,
stpl02,achi mill aggr,hl,+,,,
stpl02,alop prat,hl,+,,,
stpl02,anth odor,hl,2a,,,
stpl02,anth sylv,hl,+,,,
stpl02,bell pere,hl,+,,,
stpl02,cera holo,hl,+,,,
stpl02,crep bien,hl,1,,,
stpl02,cyno cris,hl,+,,,
stpl02,dact glom glom,hl,1,,,
stpl02,fest prat prat,hl,2a,,,
stpl02,fest rubr,hl,3,,,
stpl02,fica vern vern,hl,+,,,
stpl02,gali albu,hl,1,,,
stpl02,glec hede,hl,+,,,
stpl02,hera spho spho,hl,1,,,
stpl02,leuc ircu,hl,+,,,
stpl02,lysi numm,hl,+,,,
stpl02,pimp majo majo,hl,+,,,
stpl02,plan lanc,hl,2a,,,
stpl02,poa prat,hl,2b,,,
stpl02,poa triv,hl,+,,,
stpl02,prun vulg,hl,+,,,
stpl02,ranu acri acri,hl,2a,,,
stpl02,rume acet osa,hl,+,,,
stpl02,tara sect rude,hl,1,,,
stpl02,trif prat prat,hl,2b,,,
stpl02,trif repe repe,hl,2a,,,
stpl02,tris flav flav,hl,2b,,,
stpl02,vero cham cham,hl,1,,,
stpl02,vero fili,hl,+,,,
stpl02,vici sepi,hl,+,,,
stpl03,achi mill aggr,hl,1,,,
stpl03,alop prat,hl,2b,,,
stpl03,anth odor,hl,1,,,
stpl03,anth sylv,hl,1,,,
stpl03,bell pere,hl,+,,,
stpl03,card prat,hl,r,,,
stpl03,cera holo,hl,+,,,
stpl03,crep bien,hl,1,,,
stpl03,fest prat prat,hl,2a,,,
stpl03,fest rubr,hl,2a,,,
stpl03,glec hede,hl,+,,,
stpl03,hera spho spho,hl,2a,,,
stpl03,leuc ircu,hl,1,,,
stpl03,loli pere,hl,1,,,
stpl03,pimp majo majo,hl,+,,,
stpl03,plan lanc,hl,2a,,,
stpl03,poa prat,hl,2a,,,
stpl03,poa triv,hl,2b,,,
stpl03,prun vulg,hl,+,,,
stpl03,ranu acri acri,hl,2b,,,
stpl03,rume acet osa,hl,+,,,
stpl03,tara sect rude,hl,1,,,
stpl03,trag orie,hl,r,,,
stpl03,trif prat prat,hl,1,,,
stpl03,trif repe repe,hl,1,,,
stpl03,tris flav flav,hl,3,,,
stpl03,vero cham cham,hl,1,,,
stpl03,vero fili,hl,+,,,
stpl04,achi mill aggr,hl,1,,,
stpl04,alop prat,hl,2a,,,
stpl04,anth odor,hl,2a,,,
stpl04,anth sylv,hl,1,,,
stpl04,bell pere,hl,+,,,
stpl04,cera holo,hl,+,,,
stpl04,crep bien,hl,+,,,
stpl04,cyno cris,hl,+,,,
stpl04,dact glom glom,hl,1,,,
stpl04,fest prat prat,hl,1,,,
stpl04,fest rubr,hl,2b,,,
stpl04,gali albu,hl,1,,,
stpl04,glec hede,hl,+,,,
stpl04,hera spho spho,hl,2a,,,
stpl04,leuc ircu,hl,+,,,
stpl04,lysi numm,hl,1,,,
stpl04,plan lanc,hl,2a,,,
stpl04,poa prat,hl,1,,,
stpl04,poa triv,hl,1,,,
stpl04,prun vulg,hl,+,,,
stpl04,ranu acri acri,hl,2a,,,
stpl04,rume acet osa,hl,+,,,
stpl04,tara sect rude,hl,2a,,,
stpl04,trag orie,hl,r,,,
stpl04,trif prat prat,hl,2b,,,
stpl04,trif repe repe,hl,1,,,
stpl04,tris flav flav,hl,3,,,
stpl04,vero cham cham,hl,1,,,
stpl04,vero fili,hl,+,,,
stpl04,vero serp serp,hl,+,,,
stpl04,vici sepi,hl,+,,,
stpl05,achi mill aggr,hl,1,,,
stpl05,alop prat,hl,r,,,
stpl05,anth odor,hl,1,,,
stpl05,anth sylv,hl,+,,,
stpl05,bell pere,hl,1,,,
stpl05,camp patu patu,hl,r,,,
stpl05,care sylv,hl,r,,,
stpl05,cera holo,hl,+,,,
stpl05,crep bien,hl,1,,,
stpl05,cyno cris,hl,+,,,
stpl05,dact glom glom,hl,+,,,
stpl05,fest prat prat,hl,2a,,,
stpl05,fest rubr,hl,3,,,
stpl05,gali albu,hl,2a,,,
stpl05,glec hede,hl,1,,,
stpl05,hera spho spho,hl,1,,,
stpl05,leuc ircu,hl,2a,,,
stpl05,loli pere,hl,+,,,
stpl05,lysi numm,hl,+,,,
stpl05,plan lanc,hl,2a,,,
stpl05,poa prat,hl,2a,,,
stpl05,poa triv,hl,+,,,
stpl05,prun vulg,hl,+,,,
stpl05,ranu acri acri,hl,2a,,,
stpl05,rume acet osa,hl,+,,,
stpl05,tara sect rude,hl,1,,,
stpl05,trif prat prat,hl,2a,,,
stpl05,trif repe repe,hl,2a,,,
stpl05,tris flav flav,hl,2a,,,
stpl05,vero arve,hl,r,,,
stpl05,vero cham cham,hl,2a,,,
stpl05,vero fili,hl,+,,,
stpl05,vici sepi,hl,r,,,
stpl06,achi mill aggr,hl,1,,,
stpl06,ajug rept,hl,1,,,
stpl06,alch spec ies,hl,r,,,
stpl06,alop prat,hl,1,,,
stpl06,anem nemo,hl,r,,,
stpl06,anth odor,hl,2b,,,
stpl06,anth sylv,hl,1,,,
stpl06,bell pere,hl,+,,,
stpl06,card prat,hl,+,,,
stpl06,cera holo,hl,1,,,
stpl06,crep bien,hl,1,,,
stpl06,cyno cris,hl,+,,,
stpl06,dact glom glom,hl,1,,,
stpl06,fest prat prat,hl,2a,,,
stpl06,fest rubr,hl,2b,,,
stpl06,fica vern vern,hl,+,,,
stpl06,gali albu,hl,+,,,
stpl06,glec hede,hl,+,,,
stpl06,hera spho spho,hl,2a,,,
stpl06,lysi numm,hl,+,,,
stpl06,plan lanc,hl,2a,,,
stpl06,poa prat,hl,2a,,,
stpl06,poa triv,hl,+,,,
stpl06,prun vulg,hl,1,,,
stpl06,ranu acri acri,hl,2a,,,
stpl06,rume acet osa,hl,+,,,
stpl06,tara sect rude,hl,1,,,
stpl06,trif prat prat,hl,2b,,,
stpl06,trif repe repe,hl,2a,,,
stpl06,vero cham cham,hl,2a,,,
stpl06,vero fili,hl,+,,,
stpl06,vero serp serp,hl,2m,,,
stpl07,achi mill aggr,hl,+,,,
stpl07,alop prat,hl,+,,,
stpl07,anth odor,hl,2a,,,
stpl07,anth sylv,hl,1,,,
stpl07,bell pere,hl,r,,,
stpl07,cera holo,hl,1,,,
stpl07,crep bien,hl,+,,,
stpl07,dact glom glom,hl,2b,,,
stpl07,fest prat prat,hl,2b,,,
stpl07,fest rubr,hl,1,,,
stpl07,gali albu,hl,+,,,
stpl07,glec hede,hl,1,,,
stpl07,hera spho spho,hl,1,,,
stpl07,leuc ircu,hl,r,,,
stpl07,loli mult,hl,2a,x,,
stpl07,lysi numm,hl,+,,,
stpl07,phle prat,hl,1,,,
stpl07,plan lanc,hl,2a,,,
stpl07,poa prat,hl,+,,,
stpl07,poa triv,hl,3,,,
stpl07,ranu acri acri,hl,2a,,,
stpl07,ranu repe,hl,+,,,
stpl07,rume acet osa,hl,+,,,
stpl07,rume obtu obtu,hl,+,,,
