plot;abbr;layer;cover
1;achn cala;hl;2
1;care ferr;hl;1
1;clem vita;hl;+
1;cycl purp;hl;+
1;eupa cann;hl;1
1;frag vesc;hl;+
1;lase sile sile;hl;+
1;phyt spic spic;hl;+
1;poly cham;hl;+
1;salv glut;hl;+
1;sesl caer;hl;+
1;sorb aria;hl;+
1;vale trip;hl;+
1;vinc hiru;hl;+
2;achn cala;hl;2
2;apos foet;hl;1
2;aqui atra;hl;+
2;atro bell;hl;+
2;cala vari;hl;1
2;camp trac;hl;+
2;card defl viri;hl;+
2;care alba;hl;2
2;cirs oler;hl;+
2;cycl purp;hl;+
2;eupa cann;hl;+
2;euph cypa;hl;+
2;lact mura;hl;+
2;meli nuta;hl;+
2;merc pere;hl;+
2;phyt spic spic;hl;+
2;salv glut;hl;2
2;soli virg virg;hl;+
2;stac sylv;hl;+
2;urti dioi dioi;hl;+
2;vinc hiru;hl;+
2;berb vulg;sl;+
2;loni xylo;sl;+
