plot,abbr,layer,cover,voucher,comment,history
sz01,acer pseu,hl,+,,,
sz01,aego poda,hl,+,,,
sz01,ajug rept,hl,+,,,
sz01,apos foet,hl,1,,,
sz01,berb vulg,hl,r,,,
sz01,brac sylv,hl,1,,,
sz01,card trif,hl,+,,,
sz01,care alba,hl,+,,,
sz01,care orni,hl,+,,,
sz01,chae hirs,hl,+,,,
sz01,clem vita,hl,1,,,
sz01,corn sang sang,hl,r,,,
sz01,cory avel,hl,1,,,
sz01,cypr calc,hl,1,,,
sz01,daph meze,hl,r,,,
sz01,euon euro,hl,r,,,
sz01,frag vesc,hl,+,,,
sz01,fran alnu,hl,+,,,
sz01,frax exce,hl,+,,,
sz01,glec hede,hl,+,,,
sz01,hede heli,hl,+,,,
sz01,hell nige,hl,r,,,
sz01,hepa nobi,hl,+,,,
sz01,lact mura,hl,+,,,
sz01,ligu vulg,hl,+,,,
sz01,list ovat,hl,1,,,
sz01,loni xylo,hl,+,,,
sz01,meli nuta,hl,+,,,
sz01,merc pere,hl,3,,,
sz01,oxal acet,hl,3,,,
sz01,pari quad,hl,+,,,
sz01,peta albu,hl,+,,,
sz01,poly vert,hl,+,,,
sz01,prim elat,hl,+,,,
sz01,rosa arve,hl,r,,,
sz01,rubu idae,hl,2a,,,
sz01,salv glut,hl,1,,,
sz01,samb nigr,hl,+,,,
sz01,sene ovat ovat,hl,r,,,
sz01,sorb aria,hl,r,,,
sz01,sorb aucu aucu,hl,r,,,
sz01,tili plat,hl,r,,,
sz01,vale trip,hl,+,,,
sz01,vibu lant,hl,r,,,
sz01,vinc hiru,hl,r,,,
sz01,viol coll,hl,r,,,
sz01,viol reic,hl,+,,,
sz01,corn sang sang,sl,r,,,
sz01,cory avel,sl,1,,,
sz01,fran alnu,sl,1,,,
sz01,ligu vulg,sl,1,,,
sz01,loni xylo,sl,1,,,
sz01,samb nigr,sl,2a,,,
sz01,vibu lant,sl,r,,,
sz01,vibu opul,sl,r,,,
sz01,pice abie,tl1,5,,,
sz02,acer pseu,hl,+,,,
sz02,aego poda,hl,+,,,
sz02,apos foet,hl,1,,,
sz02,athy fili,hl,+,,,
sz02,berb vulg,hl,r,,,
