plot,abbr,layer,cover,voucher,comment,history
szwf01,acer pseu,hl,r,,,
szwf01,achi mill aggr,hl,+,,,
szwf01,agro capi,hl,+,,,
szwf01,anth vuln carp,hl,+,,,
szwf01,arrh elat,hl,r,,,
szwf01,briz medi,hl,2a,,,
szwf01,brom erec,hl,3,,,
szwf01,care cary,hl,+,,,
szwf01,care flac,hl,1,,,
szwf01,dact glom glom,hl,+,,,
szwf01,dauc caro caro,hl,+,,,
szwf01,gali albu,hl,r,,,
szwf01,holc lana,hl,+,,,
szwf01,hype perf,hl,r,,,
szwf01,lath sylv,hl,r,,,
szwf01,leon hisp hisp,hl,+,,,
szwf01,linu cath,hl,+,,,
szwf01,lotu corn,hl,1,,,
szwf01,medi falc,hl,1,,,
szwf01,pimp majo majo,hl,r,,,
szwf01,plan lanc,hl,1,,,
szwf01,poa angu,hl,1,,,
szwf01,prun vulg,hl,+,,,
szwf01,ranu acri acri,hl,+,,,
szwf01,rhin alec alec,hl,3,,,
szwf01,rhin mino,hl,+,,,
szwf01,rubu caes,hl,r,,,
szwf01,sang mino mino,hl,1,,,
szwf01,secu vari,hl,+,,,
szwf01,sile vulg vulg,hl,r,,,
szwf01,soli cana,hl,r,,,
szwf01,tara sect rude,hl,r,,,
szwf01,trag orie,hl,r,,,
szwf01,trif prat prat,hl,1,,,
szwf01,verb nigr,hl,r,,,
szwf02,acer pseu,hl,+,,,
szwf02,ajug rept,hl,+,,,
szwf02,anth odor,hl,+,,,
szwf02,briz medi,hl,+,,,
szwf02,brom erec,hl,4,,,
szwf02,care cary,hl,1,,,
szwf02,care flac,hl,1,,,
szwf02,care pall,hl,r,,,
szwf02,cent jace jace,hl,r,,,
szwf02,colc autu,hl,2a,,,
szwf02,dact glom glom,hl,+,,,
szwf02,fest prat prat,hl,r,,,
szwf02,fest rubr rubr,hl,+,,,
szwf02,frax exce,hl,1,,,
szwf02,gali albu,hl,1,,,
szwf02,holc lana,hl,+,,,
szwf02,homa pube pube,hl,+,,,
szwf02,hype perf,hl,r,,,
szwf02,lath prat prat,hl,+,,,
szwf02,luzu camp,hl,r,,,
szwf02,plan lanc,hl,+,,,
szwf02,poa angu,hl,1,,,
szwf02,prim elat,hl,+,,,
szwf02,prim veri veri,hl,+,,,
szwf02,ranu nemo,hl,r,,,
szwf02,rubu caes,hl,+,,,
szwf02,tris flav flav,hl,+,,,
szwf02,vale offi slat,hl,r,,,
szwf03,arrh elat,hl,r,,,
szwf03,brac rupe rupe,hl,+,,,
szwf03,briz medi,hl,+,,,
szwf03,buph sali,hl,2a,,,
szwf03,cala vari,hl,1,,,
szwf03,card defl viri,hl,r,,,
szwf03,care alba,hl,r,,,
szwf03,care cary,hl,+,,,
szwf03,care flac,hl,1,,,
szwf03,care orni orni,hl,r,,,
szwf03,carl vulg vulg,hl,+,,,
szwf03,dact macu slat,hl,r,,,
szwf03,eric carn,hl,2b,,,
szwf03,gymn odor,hl,r,,,
szwf03,hier bifi,hl,1,,,
szwf03,leon hisp hisp,hl,+,,,
szwf03,linu cath,hl,+,,,
szwf03,lotu corn,hl,1,,,
szwf03,moli arun,hl,3,,,
szwf03,ophr inse,hl,r,,,
szwf03,orig vulg,hl,+,,,
szwf03,parn palu,hl,r,,,
szwf03,poly amar ella,hl,r,,,
szwf03,pote erec,hl,r,,,
szwf03,ranu nemo,hl,+,,,
szwf03,sesl caer,hl,1,,,
szwf03,soli virg virg,hl,+,,,
szwf03,tofi caly,hl,r,,,
szwf03,vici crac,hl,r,,,
szwf04,alnu inca,hl,r,,,
szwf04,ange sylv sylv,hl,r,,,
szwf04,apos foet,hl,+,,,
szwf04,arrh elat,hl,r,,,
szwf04,brac rupe rupe,hl,3,,,
szwf04,briz medi,hl,1,,,
szwf04,buph sali,hl,r,,,
szwf04,cala vari,hl,+,,,
szwf04,card defl viri,hl,r,,,
szwf04,care cary,hl,1,,,
szwf04,care flac,hl,1,,,
szwf04,care orni orni,hl,+,,,
szwf04,carl vulg vulg,hl,+,,,
szwf04,epip palu,hl,r,,,
szwf04,eric carn,hl,+,,,
szwf04,euph offi pict,hl,r,,,
szwf04,gali albu,hl,+,,,
szwf04,gymn cono cono,hl,r,,,
szwf04,hera spho spho,hl,r,,,
szwf04,hier bifi,hl,+,,,
szwf04,leon hisp hisp,hl,1,,,
szwf04,linu cath,hl,+,,,
szwf04,list ovat,hl,r,,,
szwf04,lotu corn,hl,+,,,
szwf04,meli nuta,hl,+,,,
szwf04,ophr inse,hl,+,,,
szwf04,orig vulg,hl,+,,,
szwf04,peta para,hl,1,,,
szwf04,pimp majo majo,hl,r,,,
szwf04,poly amar ella,hl,r,,,
szwf04,pote erec,hl,+,,,
szwf04,rubu saxa,hl,r,,,
szwf04,sali capr,hl,r,,,
szwf04,soli virg virg,hl,+,,,
szwf04,vici crac,hl,r,,,
szwf05,achi mill aggr,hl,+,,,
szwf05,anth vuln carp,hl,1,,cf.,
szwf05,arab hirs,hl,r,,,
szwf05,aren serp,hl,r,,,
szwf05,briz medi,hl,2b,,,
szwf05,brom erec,hl,3,,,
szwf05,care cary,hl,1,,,
szwf05,care orni orni,hl,+,,,
szwf05,cera arve arve,hl,r,,,
szwf05,echi vulg,hl,r,,,
szwf05,erig annu slat,hl,r,,,
szwf05,euph cypa,hl,+,,,
szwf05,fest stri sulc,hl,1,,,
szwf05,fili vulg,hl,1,,,
szwf05,gali albu,hl,1,,,
szwf05,hier pilo ides,hl,r,,,
szwf05,knau arve arve,hl,+,,,
szwf05,lath prat prat,hl,+,,,
szwf05,lotu corn,hl,+,,,
szwf05,meli albu,hl,+,,,
szwf05,orig vulg,hl,1,,,
szwf05,poa angu,hl,r,,,
szwf05,rhin mino,hl,r,,,
szwf05,rubu caes,hl,r,,,
szwf05,salv vert,hl,r,,,
szwf05,soli cana,hl,r,,,
szwf05,thym pule pule,hl,1,,,
szwf05,verb nigr,hl,+,,,
szwf05,vero cham cham,hl,+,,,
szwf05,vero orch,hl,1,,,
szwf05,vici crac,hl,+,,,
szwf06,agri eupa eupa,hl,+,,,
szwf06,anch offi,hl,r,,,
szwf06,anth vuln carp,hl,+,,,
szwf06,arab hirs,hl,r,,,
szwf06,aren serp,hl,r,,,
szwf06,arrh elat,hl,2a,,,
szwf06,briz medi,hl,+,,,
szwf06,brom erec,hl,+,,,
szwf06,cala epig,hl,r,,,
szwf06,care cary,hl,+,,,
szwf06,clem vita,hl,r,,,
szwf06,dauc caro caro,hl,+,,,
szwf06,erig annu slat,hl,+,,,
szwf06,erig cana,hl,+,,,
szwf06,fest stri sulc,hl,2b,,,
szwf06,gali albu,hl,2a,,,
szwf06,hier pilo ella,hl,+,,,
szwf06,hier pilo ides,hl,r,,,
szwf06,hype perf,hl,+,,,
szwf06,knau arve arve,hl,r,,,
szwf06,lath prat prat,hl,+,,,
szwf06,lath sylv,hl,r,,,
szwf06,lotu corn,hl,1,,,
szwf06,medi lupu,hl,+,,,
szwf06,oeno bien aggr,hl,+,,,
szwf06,orig vulg,hl,2b,,,
szwf06,rese lute lute,hl,+,,,
szwf06,rhin mino,hl,r,,,
szwf06,rubu caes,hl,+,,,
szwf06,sali capr,hl,r,,,
szwf06,sali purp,hl,+,,,
szwf06,sang mino mino,hl,+,,,
szwf06,soli cana,hl,+,,,
szwf06,sonc aspe aspe,hl,+,,,
szwf06,thym pule pule,hl,1,,,
szwf06,trif prat prat,hl,r,,,
szwf06,verb nigr,hl,1,,,
szwf06,vero cham cham,hl,+,,,
szwf06,vero orch,hl,+,,,
szwf06,vici crac,hl,+,,,
szwf07,achi mill aggr,hl,+,,,
szwf07,alli oler,hl,1,,,
szwf07,anth vuln carp,hl,+,,,
szwf07,aren serp,hl,+,,,
szwf07,arrh elat,hl,2a,,,
szwf07,brom erec,hl,1,,,
szwf07,care cary,hl,1,,,
szwf07,care orni orni,hl,+,,,
szwf07,dauc caro caro,hl,+,,,
szwf07,echi vulg,hl,1,,,
szwf07,erig annu slat,hl,r,,,
szwf07,euph cypa,hl,2a,,,
szwf07,fest stri sulc,hl,2b,,,
szwf07,fili vulg,hl,r,,,
szwf07,frag vesc,hl,+,,,
szwf07,gali albu,hl,2a,,,
szwf07,hier muro,hl,r,,cf.,
szwf07,leon hisp hisp,hl,1,,,
szwf07,leuc vulg,hl,r,,,
