plot,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,latitude,longitude,accuracy,type,alliance.code,alliance,association,soil,comment,location,observer
szeg01,97,10,50,4,92,20,12,7,3,"0,4","0,1",16,16,E,40,0,3,0,2022-05-27,47.518008,13.157312,10,forest,ERI-01A,Erico carneae-Pinion Br.-Bl. in Br.-Bl. et al. 1939 nom. invers. propos.,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
szeg02,98,75,25,20,85,5,23,10,3,"0,8","0,15",16,16,NE,30,0,2,0,2022-06-21,47.515812,13.160241,10,forest,FAG-02B,Fagion sylvaticae Luquet 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
szeg03,98,80,30,0,4,1,26,18,0,"0,3","0,1",16,16,E,23,0,2,0,2022-06-21,47.516121,13.160165,10,forest,FAG-02B,Fagion sylvaticae Luquet 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
szeg04,85,0,5,17,75,40,0,5,2,"0,4","0,1",8,8,NE,40,0,0,15,2022-06-21,47.516470,13.159463,10,scree,ERI-01A,Erico carneae-Pinion Br.-Bl. in Br.-Bl. et al. 1939 nom. invers. propos.,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
szeg05,95,0,0,2,85,50,0,0,"1,5","0,6","0,1",4,4,NE,47,0,0,5,2022-06-21,47.516149,13.158576,10,scree,SES-01A,Seslerion caeruleae Br.-Bl. in Br.-Bl. et Jenny 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
szeg06,99,60,20,5,97,25,20,15,3,"0,9","0,15",16,16,E,45,0,1,0,2022-06-21,47.516454,13.158464,10,forest,FAG-02B,Fagion sylvaticae Luquet 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
szeg07,96,60,15,2,94,3,18,12,4,"0,9","0,1",32,8,E,50,2,0,2,2022-06-21,47.516373,13.157859,10,forest,ERI-01A,Erico carneae-Pinion Br.-Bl. in Br.-Bl. et al. 1939 nom. invers. propos.,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
szeg08,97,65,40,3,92,5,23,15,5,"0,8","0,15",16,16,E,40,1,2,0,2022-06-21,47.516471,13.157356,10,forest,FAG-02B,Fagion sylvaticae Luquet 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
szeg09,97,0,0,8,96,5,0,0,"1,5","0,9","0,15",4,4,NE,45,0,0,3,2022-06-21,47.516689,13.156828,10,scree,SES-01A,Seslerion caeruleae Br.-Bl. in Br.-Bl. et Jenny 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
szeg10,96,85,15,1,65,5,23,10,4,"0,7","0,15",16,16,E,33,0,4,0,2022-06-21,47.516679,13.157917,10,forest,FAG-02B,Fagion sylvaticae Luquet 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
