"plot";"longitude";"latitude";"accuracy";"locality"
1;"13.712928";"46.288925";100;"slope above the Zelena škrbina pass, on top of the gorge between Velika Montura and Velika Baba Mts. MTB: 9748/1, UTM: VM02; leg. & det.: B. Surina, 5.7.2002."
2;"13.711514";"46.287253";50;"just below the summit of Velika Montura. MTB: 9748/1, UTM: VM02; leg. & det.: D. Steševič & B. Surina, 29.7.2003."
3;"13.658853";"46.266497";5000;"stony ridge above the Škedenj ridge. MTB: 9748/1, UTM: UM92; leg. & det.: I. Dakskobler & B. Surina, 8.8.2002."
4;"13.685656";"46.274192";20;"the summit of Mt. Mali Šmohor. MTB: 9748/1, UTM: UM92; leg. & det.: B. Surina, 9.7.2002."
5;"13.706781";"46.255056";500;"eastern slope of peak Palec. MTB: 9748/1, UTM: VM02; leg. & det.: I. Dakskobler & B. Surina, 8.8.2002."
6;"13.580450";"46.292081";50;"Polovnik ridge, between the peaks Krasji vrh and Veliki vrh. MTB: 9747/2, UTM: UM92; leg. & det.: I. Dakskobler & B. Surina, 18.7.2003."
7;"13.695431";"46.251761";200;"between Škofič and Rdeči rob Mts. MTB: 9748/1, UTM: UM92; leg. & det.: I. Dakskobler & B. Surina, 12.6.2002."
8;"13.651153";"46.282114";500;"north-eastern slope of Mt. Krnčica. MTB: 9747/2, UTM: UM92; leg. & det.: B. Surina, 23.7.2003."
9;"13.688797";"46.255206";2000;"ridge of Mt. Škofič above Gorenja Lašca. MTB: 9748/1, UTM: UM92; leg. & det.: I. Dakskobler & B. Surina, 15.7.2003."
10;"13.647806";"46.287339";200;"north-eastern slope of Mt. Lopatnik. MTB: 9747/2, UTM: UM92; leg. & det.: B. Surina, 22.7.2003."
11;"13.651153";"46.282114";500;"north-western slope of Mt. Krnčica (the vegetation was overgrazed by sheep). MTB: 9747/2, UTM: UM92; leg. & det.: B. Surina, 23.7.2003."
12;"13.657675";"46.270758";250;"ridge between Krn and Srednji vrh Mts. MTB: 9747/2, UTM: UM92; leg. & det.: B. Surina, 22.8.2003."
13;"13.651153";"46.282114";500;"rocky ledge on south-western slope of Mt. Krnčica by »via ferrata« from Vratca pass to the summit of Mt. Krnčica (remnants from World War L). MTB: 9747/2, UTM: UM92; leg. & det.: B. Surina, 23.7.2003."
14;"13.693936";"46.249153";500;"rocky grassland on north-western slope of Mt. Rdeči rob. MTB: 9748/1, UTM: UM92; leg. & det.: I. Dakskobler & B. Surina, 15.7.2003."
15;"13.571008";"46.295039";500;"Polovnik ridge, gorge in the ridge of peak Veliki vrh. MTB: 9747/1, UTM: UM82; leg. & det.: I. Dakskobler & B. Surina, 18.7.2003."
16;"13.571008";"46.295039";500;"Polovnik ridge, gorge in the ridge of peak Veliki vrh. MTB: 9747/1, UTM: UM82; leg. & det.: I. Dakskobler & B. Surina, 18.7.2003."
17;"13.571008";"46.295039";500;"Polovnik ridge, gorge in the ridge of peak Veliki vrh. MTB: 9747/1, UTM: UM82; leg. & det.: I. Dakskobler & B. Surina, 18.7.2003."
18;"13.571008";"46.295039";500;"Polovnik ridge, gorge in the ridge of peak Veliki vrh. MTB: 9747/1, UTM: UM82; leg. & det.: I. Dakskobler & B. Surina, 18.7.2003."
19;"13.700314";"46.293483";500;"Planina Duplje pasture, scree above the lake at Planina Duplje beneath the paths from Koča pri Krnskih jezerih mountain chalet to Lepoče. MTB: 9748/1, UTM: UM92; leg. & det.: B. Surina, 24.6.2002."
20;"13.701031";"46.257808";1000;"Gorenja Lašca. MTB: 9748/1, UTM: UM92; leg. & det.: I. Dakskobler & B. Surina, 8.8.2002."
21;"13.701031";"46.257808";1000;"Gorenja Lašca. MTB: 9748/1, UTM: UM92; leg. & det.: I. Dakskobler & B. Surina, 8.8.2002."
22;"13.688931";"46.259944";500;"Peak Mali Peski, northwest from the monument. MTB: 9748/1, UTM: UM92; leg. & det.: B. Surina, 30.8.2002."
23;"13.676339";"46.265039";250;"Western slope of Mt. Vrh nad Peski, above Batogniška škrbina pass. MTB: 9748/1, UTM: UM92; leg. & det.: D. Steševič & B. Surina, 30.7.2003."
24;"13.688858";"46.255450";100;"Peak Škofič. MTB: 9748/1, UTM: UM92; leg. & det.: B. Surina, 30.8.2002."
25;"13.701031";"46.257808";1000;"Gorenja Lašca, scree below the path from Mt. Veliki Peski to Lašca pasture. MTB: 9748/1, UTM: UM92; leg. & det.: I. Dakskobler & B. Surina."
26;"13.686939";"46.258997";500;"ridge between the peaks Mali Peski and Škofič. MTB: 9748/1, UTM: UM92; leg. & det.: B. Surina, 30.8.2002."
27;"13.686939";"46.258997";500;"ridge between the peaks Mali Peski and Škofič. MTB: 9748/1, UTM: UM92; leg. & det.: B. Surina, 30.8.2002."
28;"13.688792";"46.2553110";1000;"Peak Škofič, pass between Lašca and Peski. MTB: 9748/1, UTM: UM92; leg. & det.: B. Surina, 30.8.2002."
