plot;cov;t1cov;t2cov;t3cov;s1cov;s2cov;hcov;mcov;htl1;htl2;htl3;hsl1;hsl2;hhl1;hhl2;plrad;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;marks;heights;comment;alliance;association;soil;location;type;observer;total.gap;canopy.openness;canopy.closure
ta01;99;70;3;0;10;1;80;90;30;15;0;7;4;0,8;0,1;11;F;0;0;0;0;2020-07-20;47.743372;13.258001;5;5,3m 164° Fichten-Stumpf;pice abie 36m, abie alba 31m, abie alba 30m, acer pseu 32m, acer pseu 30m, pice abie 38m;;;;;Taugl-Au Abschnitt Nord;;T. Eberl & R. Kaiser;0,271;0,169;0,831
ta02;98;15;40;0;4;10;94;25;32;22;0;7;3;0,9;0,1;11;F;0;0;0;0;2020-07-25;47.744268;13.257735;5;1,5m 168° Fichten-Stumpf;acer pseu 32m, acer pseu 23m, acer pseu 19m;;;;;Taugl-Au Abschnitt Nord;;T. Eberl & R. Kaiser;0,44;0,315;0,685
ta03;97;55;15;20;20;10;80;55;33;25;12;6;2;0,9;0,1;11;F;0;0;0;0;2020-07-25;47.741481;13.259656;5;2,5m 280° Fichten-Stumpf;pice abie 35m, pice abie 32m, pice abie 33m;;;;;Taugl-Au Abschnitt Nord;;T. Eberl & R. Kaiser;0,33;0,211;0,789
ta04;98;55;10;40;25;0;70;70;37;20;11;5;0;0,5;0,1;11;F;0;0;0;0;2020-07-25;47.739904;13.259836;5;6,0m 240° Fichten-Stumpf;pice abie 37m, pice abie 38m, ulmu glab 12, acer pseu 20m, acer pseu 21m;;;;;Taugl-Au Abschnitt Nord;;T. Eberl & R. Kaiser;0,104;0,118;0,882
ta05;100;0;7;80;20;35;90;70;0;23;10;5;2;1,1;0,1;11;F;0;0;0;0;2020-07-25;47.739762;13.260906;5;7,9m 250° Berg-Ahorn BHD 35-40cm;acer pseu 23m;;;;;Taugl-Au Abschnitt Nord;;T. Eberl & R. Kaiser;0,178;0,132;0,868
ta06;99;70;3;3;7;30;95;60;31;24;13;5;2,5;1,1;0,1;11;F;0;0;0;0;2020-07-25;47.737674;13.261411;5;9,4m 146° Fichten-Stumpf leicht verkippt;pice abie 28m, pice abie 32m, pice abie 31,5m, ulmu glab 12,5m, acer pseu 24,5m;;;;;Taugl-Au Abschnitt Nord;;T. Eberl & R. Kaiser;0,247;0,171;0,829
ta07;99;55;35;13;3;8;93;1;35;26;13;7;1,5;0,8;0,05;11;F;0;0;0;0;2020-08-10;47.738835;13.263098;5;20,2m 74° Tanne BHD 46,5cm;pice abie 31m, fagu sylv 13m, acer pseu 24m, acer plat 24m, pice abie 38m, fagu sylv 29m;;;;;Taugl-Au Abschnitt Nord;;T. Eberl & R. Kaiser;0,144;0,131;0,869
ta08;99;0;70;30;10;3;85;70;0;20;13;6;1,5;0,7;0,05;11;F;0;0;0;0;2020-08-10;47.737837;13.262618;5;18,6m 238° Berg-Ahorn BHD 46cm an der Niederterrassenböschung;pice abie 21m, pice abie 17m, pice abie 18m, alnu inca 12m, frax exce 18m, sali elea 17m, sali elea 15m, acer pseu 12m;;;;;Taugl-Au Abschnitt Nord;;T. Eberl & R. Kaiser;0,189;0,141;0,859
ta09;99;0;25;85;20;12;17;65;0;15;10;6;2;0,7;0,05;11;F;0;0;0;0;2020-08-10;47.733600;13.270434;5;"16,9m 58° von Berg-Ahorn zweistämmig BHD 18,5m und 7cm; 13,4m 215° Esche BHD 28cm an Terrasse; 20,0m 210° Berg-Ulme an Terrasse BHD 52cm";alnu inca 9m, pice abie 11m, pice abie 15m;;;;;Taugl-Au Abschnitt Mitte;;T. Eberl & R. Kaiser;0,111;0,093;0,907
ta10;100;8;0;0;98;25;60;50;26;0;0;6;2;1;0,1;11;F;0;0;0;0;2020-08-10;47.731328;13.272531;5;"13,0m 42° Berg-Ahorn BHD 48,5cm; 2,3m 95° sehr großer morscher Baumstumpf mit Haselbusch";;;;;;Taugl-Au Abschnitt Mitte;;T. Eberl & R. Kaiser;0,048;0,06;0,94
ta11;99;0;80;25;18;15;80;95;0;15;8;5;2,5;1;0,05;11;F;0;0;0;0;2020-08-10;47.732185;13.272773;5;14,7m 20° Buche BHD 14,5cm mit alter Blechdose;acer pseu 16m, sali elea 15m, alnu inca 16m, acer pseu 12m, pice abie 8m, sali elea 11m, frax exce 17m, alnu inca 12m, sali elea 13m, alnu inca 14m;;;;;Taugl-Au Abschnitt Mitte;;T. Eberl & R. Kaiser;0,093;0,11;0,89
ta12;98;7;50;45;15;7;60;70;24;18;12;6;2;0,7;0,05;11;F;0;0;0;0;2020-08-10;47.731407;13.273922;5;14,0m 58° Berg-Ahorn BHD 32cm an der niedrigen Terrassenböschung;frax exce 24m, alnu inca 18m, acer pseu 16m, frax exce 20m, pice abie 16m, pice abie 12m, pice abie 19m, alnu inca 17m, acer pseu 18m;;;;;Taugl-Au Abschnitt Mitte;;T. Eberl & R. Kaiser;0,13;0,094;0,906
ta13;98;0;0;20;85;17;7;1;0;0;11;7;3;0,5;0,05;11;F;0;0;0;0;2020-08-11;47.723431;13.280033;5;"11,7m 240° Buche BHD 22,5cm; 25,9m 230° Berg-Ahorn BHD 42,5cm";fagu sylv 12m, fagu sylv 7m, fagu sylv 10m;;;;;Taugl-Au Abschnitt Mitte;;T. Eberl & R. Kaiser;0,063;0,073;0,927
