"";"x"
"1";"Abies alba"
"2";"Acer platanoides"
"3";"Acer pseudoplatanus"
"4";"Aconitum lycoctonum ssp. vulparia"
"5";"Actaea spicata"
"6";"Adenostyles alliariae"
"7";"Adenostyles alpina"
"8";"Aegopodium podagraria"
"9";"Ajuga reptans"
"10";"Allium ursinum ssp. ursinum"
"11";"Alnus incana"
"12";"Anemone nemorosa"
"13";"Angelica sylvestris ssp. sylvestris"
"14";"Anthriscus nitidus"
"15";"Anthriscus sylvestris s.str."
"16";"Aposeris foetida"
"17";"Aquilegia atrata"
"18";"Arctium minus s.str."
"19";"Arctium sp."
"20";"Aruncus dioicus"
"21";"Asarum europaeum ssp. europaeum"
"22";"Astilbe japonica"
"23";"Astrantia major"
"24";"Athyrium filix-femina"
"25";"Berberis vulgaris"
"26";"Brachypodium sylvaticum"
"27";"Bromus benekenii"
"28";"Calamagrostis varia"
"29";"Campanula rapunculus"
"30";"Campanula trachelium"
"31";"Cardamine bulbifera"
"32";"Cardamine enneaphyllos"
"33";"Cardamine flexuosa"
"34";"Carduus personata ssp. personata"
"35";"Cardamine trifolia"
"36";"Carex alba"
"37";"Carex digitata"
"38";"Carex flacca ssp. flacca"
"39";"Carex pendula"
"40";"Carex sylvatica ssp. sylvatica"
"41";"Cephalanthera longifolia"
"42";"Chaerophyllum hirsutum s.str."
"43";"Chrysosplenium alternifolium"
"44";"Circaea alpina"
"45";"Circaea × intermedia"
"46";"Circaea lutetiana ssp. lutetiana"
"47";"Cirsium oleraceum"
"48";"Cirsium palustre"
"49";"Clematis vitalba"
"50";"Clinopodium vulgare ssp. vulgare"
"51";"Corylus avellana"
"52";"Cotoneaster tomentosus"
"53";"Crataegus monogyna"
"54";"Crepis paludosa"
"55";"Dactylorhiza maculata s.lat."
"56";"Daphne mezereum"
"57";"Deschampsia cespitosa"
"58";"Dryopteris borreri"
"59";"Dryopteris carthusiana s.str."
"60";"Dryopteris dilatata"
"61";"Dryopteris filix-mas s.str."
"62";"Elymus caninus"
"63";"Epilobium montanum"
"64";"Epipactis atrorubens"
"65";"Epipactis helleborine s.lat."
"66";"Euonymus europaeus"
"67";"Eupatorium cannabinum"
"68";"Euphorbia amygdaloides ssp. amygdaloides"
"69";"Fagus sylvatica"
"70";"Festuca gigantea"
"71";"Filipendula ulmaria ssp. ulmaria"
"72";"Fragaria moschata"
"73";"Fragaria vesca"
"74";"Frangula alnus"
"75";"Fraxinus excelsior"
"76";"Galeobdolon montanum"
"77";"Galeopsis sp."
"78";"Galeopsis speciosa"
"79";"Galeopsis tetrahit s.str."
"80";"Galium album s.str."
"81";"Galium odoratum"
"82";"Gentiana asclepiadea"
"83";"Geranium palustre"
"84";"Geranium robertianum s.str."
