plot;cov;t1cov;t2cov;t3cov;s1cov;s2cov;hcov;mcov;htl1;htl2;htl3;hsl1;hsl2;hhl1;hhl2;plrad;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;elevation;marks;heights;comment;alliance;association;soil;location;type;observer;total.gap;canopy.openness;canopy.closure
tb01;99;40;0;0;7;30;96;5;30;0;0;7;4;1;0,05;11;WSW;35;0;0;0;2020-07-27;47.668435;13.284749;5;995;"1,0m 90° von morschem Baumstumpf; 19,75m 65° von Tanne BHD 50cm";fagu sylv 29m;;;;;Kalmerriedel;open canopy;T. Eberl & R. Kaiser;0,217;0,24;0,76
tb02;98;0;0;70;15;8;92;3;0;0;10;6;2,5;1;0,05;11;W;35;0;0;0;2020-07-27;47.668497;13.285972;5;1055;"1,0m 40° von Stein mit marktierter abgeschnittener Lärche; 2m um Stein Rosa tomentosa";;;;;;Kalmerriedel;plantation;T. Eberl & R. Kaiser;0,336;0,255;0,745
tb03;97;12;43;0;14;15;96;3;28;18;0;7;3,5;1,1;0,05;11;W;30;0;0;0;2020-07-27;47.668766;13.286809;5;1105;"16,5m 285° von Tanne bei Buche (Zwilling); neben Markierung junge Fichte";fagu sylv 28m, fagu sylv 20m, acer pseu 15m;;;;;Kalmerriedel;plantation;T. Eberl & R. Kaiser;0,229;0,178;0,822
tb04;96;75;20;12;0;0;8;2;38;26;15;0;0;0,7;0,05;11;SW;35;0;0;0;2020-07-27;47.668087;13.287163;5;1100;13,75m 115° von Tanne BHD 49cm;fagu sylv 35m, abie alba 40m, abie alba 27m, abie alba 15m;;;;;Kalmerriedel;natural forest;T. Eberl & R. Kaiser;0,091;0,089;0,911
tb05;100;0;7;6;4;15;98;2;0;24;10;6;3;1;0,1;11;SW;35;0;0;0;2020-07-27;47.668499;13.288402;5;1170;18,0m 115° von Tanne BHD 83cm;abie alba 23,5m;;;;;Kalmerriedel;open canopy;T. Eberl & R. Kaiser;0,515;0,409;0,591
tb06;98;85;5;2;0;5;45;2;27;15;8;0;1,5;0,7;0,1;11;SW;35;1;0;0;2020-07-27;47.668631;13.291775;5;1305;11,5m 143° von Tanne BHD 52cm;fagu sylv 28m, fagu sylv 25m, fagu sylv 15m;;;;;Kalmerriedel;natural forest;T. Eberl & R. Kaiser;0,092;0,114;0,886
tb07;90;0;0;70;15;23;20;8;0;0;8;5;3;0,7;0,1;11;WNW;35;2;0;0;2020-07-28;47.668943;13.289774;5;1225;"1,0m 340° von markierter abgeschnittener Fichte; 0,5m 115° markierter Stein; 1,5m oberhalb großem morschen Baumstumpf";pice abie 8m;;;;;Kalmerriedel;plantation;T. Eberl & R. Kaiser;0,299;0,317;0,683
tb08;97;93;10;5;3;2;12;1;23;15;10;6;2;0,5;0,05;11;WNW;35;1;0;0;2020-07-28;47.669174;13.291467;5;1285;"23,1m 182° von Tanne BHD 33 leicht zum Hang lehnend; 70cm unterhalb markierter Stein";fagu sylv 23m, fagu sylv 21m, fagu sylv 15m, acer pseu 12m;;;;;Kalmerriedel;natural forest;T. Eberl & R. Kaiser;0,111;0,122;0,878
tb09;99;0;93;0;0;3;25;3;0;19;0;0;2;0,7;0,05;11;NW;35;0;0;0;2020-07-28;47.669197;13.288630;5;1165;10,0m 242° von Lärche BHD 24cm;acer pseu 19m, pice abie 20m, lari deci 17m;;;;;Kalmerriedel;plantation;T. Eberl & R. Kaiser;0,14;0,125;0,875
tb10;98;0;97;0;3;1;3;1;0;16;0;7;2;0,2;0,05;11;NW;30;0;0;0;2020-07-28;47.669349;13.285819;5;1035;Markierung direkt am Weg 0,75m hangaufwärts;pice abie 18m, pice abie 16m, ulmu glab 16m, acer pseu 14m;;;;;Kalmerriedel;plantation;T. Eberl & R. Kaiser;0,101;0,095;0,905
