plot,abbr,layer,cov,voucher,comment,history
tb01,abie alba,hl,+,,,
tb01,abie alba,sl2,r,,,
tb01,abie alba,tl1,2a,,,
tb01,acer pseu,hl,+,,,
tb01,acer pseu,tl1,2b,,,
tb01,athy fili,hl,1,,,
tb01,atro bell,hl,1,,,
tb01,brac sylv,hl,2a,,,
tb01,buph sali,hl,r,,,
tb01,cala vari,hl,2b,,,
tb01,camp trac,hl,r,,,
tb01,card trif,hl,+,,,
tb01,care pend,hl,r,,,
tb01,care sylv,hl,1,,,
tb01,circ lute lute,hl,+,,,
tb01,cirs arve,hl,r,,,
tb01,cirs oler,hl,+,,,
tb01,clem vita,hl,+,,,
tb01,clem vita,sl2,+,,,
tb01,cory avel,sl2,2a,,,
tb01,daph meze,hl,+,,,
tb01,dryo dila,hl,+,,,
tb01,dryo fili,hl,+,,,
tb01,eupa cann,hl,2a,,,
tb01,fagu sylv,hl,2a,,,
tb01,fagu sylv,sl1,1,,,
tb01,fagu sylv,sl2,2b,,,
tb01,fagu sylv,tl1,2b,,,
tb01,frag mosc,hl,r,,,
tb01,frag vesc,hl,+,,,
tb01,frax exce,hl,r,,,
tb01,gale mont,hl,+,,,
tb01,gali albu,hl,+,,,
tb01,gali odor,hl,+,,,
tb01,gali rotu,hl,r,,,
tb01,gymn robe,hl,+,,,
tb01,hype hirs,hl,r,,,
tb01,lact mura,hl,r,,,
tb01,lari deci deci,sl1,+,,,
tb01,lysi nemo,hl,+,,,
tb01,merc pere,hl,+,,,
tb01,orig vulg,hl,+,,,
tb01,peta albu,hl,2a,,,
tb01,pice abie,hl,r,,,
tb01,pice abie,sl2,1,,,
tb01,poly acul,hl,+,,,
tb01,pren purp,hl,1,,,
tb01,rosa arve,hl,1,,,
tb01,rosa tome,hl,r,,,
tb01,rubu idae,hl,+,,,
tb01,rubu sect rubu,hl,1,,,
tb01,salv glut,hl,1,,,
tb01,samb nigr,sl2,1,,,
tb01,sene nemo slat,hl,1,,,
tb01,soli virg virg,hl,+,,,
tb01,sorb aria,hl,r,,,
tb01,sorb aria,sl2,r,,,
tb01,stac sylv,hl,r,,,
tb01,tuss farf,hl,+,,,
tb01,ulmu glab,hl,+,,,
tb01,ulmu glab,sl1,+,,,
tb01,vero urti,hl,+,,,
tb01,viol reic,hl,+,,,
tb02,acer pseu,hl,+,,,
tb02,acer pseu,sl1,2a,,,
tb02,acer pseu,sl2,r,,,
tb02,acer pseu,tl3,1,,,
tb02,aego poda,hl,+,,,
tb02,ange sylv sylv,hl,+,,,
tb02,athy fili,hl,1,,,
tb02,atro bell,hl,+,,,
tb02,brac sylv,hl,2a,,,
tb02,cala vari,hl,2a,,,
tb02,camp trac,hl,+,,,
tb02,card defl viri,hl,r,,,
tb02,card trif,hl,+,,,
tb02,care sylv,hl,1,,,
tb02,cirs arve,hl,1,,,
tb02,cirs oler,hl,+,,,
tb02,cirs palu,hl,r,,,
tb02,cirs vulg,hl,r,,,
tb02,clem vita,hl,1,,,
tb02,clem vita,sl2,1,,,
tb02,clin vulg vulg,hl,1,,,
tb02,cory avel,sl1,1,,,
tb02,cory avel,sl2,1,,,
tb02,digi gran,hl,r,,,
tb02,dryo fili,hl,+,,,
tb02,eupa cann,hl,1,,,
tb02,fagu sylv,hl,r,,,
tb02,fagu sylv,sl1,1,,,
tb02,fagu sylv,sl2,1,,,
tb02,frag vesc,hl,1,,,
tb02,frax exce,hl,r,,,
tb02,frax exce,sl2,r,,,
tb02,gale flav,hl,+,,,
tb02,gale mont,hl,+,,,
tb02,gale psis spec ies,hl,+,,,
tb02,gali albu,hl,+,,,
tb02,gali odor,hl,1,,,
tb02,hype hirs,hl,+,,,
tb02,impa noli,hl,+,,,
tb02,lact mura,hl,+,,,
tb02,lari deci deci,tl3,2b,,,
tb02,lysi nemo,hl,+,,,
tb02,merc pere,hl,+,,,
tb02,orig vulg,hl,1,,,
tb02,oxal acet,hl,+,,,
tb02,peta albu,hl,2a,,,
tb02,pice abie,hl,r,,,
tb02,pice abie,sl1,2a,,,
tb02,pice abie,sl2,1,,,
tb02,pice abie,tl3,3,,,
tb02,poly acul,hl,+,,,
tb02,pren purp,hl,+,,,
tb02,rosa tome,sl2,r,,,
tb02,rubu idae,hl,1,,,
tb02,rubu sect rubu,hl,1,,,
tb02,salv glut,hl,2a,,,
tb02,scro nodo,hl,1,,,
tb02,sene nemo slat,hl,1,,,
tb02,sene ovat ovat,hl,+,,,
tb02,soli virg virg,hl,+,,,
tb02,stac sylv,hl,1,,,
tb02,thel limb,hl,+,,,
tb02,ulmu glab,hl,+,,,
tb02,ulmu glab,sl1,1,,,
tb02,ulmu glab,sl2,1,,,
tb02,ulmu glab,tl3,2a,,,
tb02,urti dioi dioi,hl,+,,,
tb02,verb thap,hl,r,,,
tb02,vero urti,hl,+,,,
tb02,vici sylv,hl,1,,,
tb02,viol reic,hl,+,,,
tb03,abie alba,hl,+,,,
tb03,acer pseu,hl,+,,,
tb03,acer pseu,tl2,2b,,,
tb03,athy fili,hl,1,,,
tb03,atro bell,hl,+,,,
tb03,brac sylv,hl,1,,,
tb03,cala vari,hl,3,,,
tb03,camp rotu,hl,r,,,
tb03,card trif,hl,+,,,
tb03,care sylv,hl,+,,,
tb03,cirs arve,hl,+,,,
tb03,cirs oler,hl,+,,,
tb03,cirs palu,hl,+,,,
tb03,clem vita,hl,+,,,
tb03,clin vulg vulg,hl,1,,,
tb03,desc cesp,hl,r,,,
tb03,dryo cart,hl,r,,,
tb03,epil mont,hl,+,,,
tb03,eupa cann,hl,1,,,
tb03,fagu sylv,hl,1,,,
tb03,fagu sylv,sl1,1,,,
tb03,fagu sylv,sl2,2a,,,
tb03,fagu sylv,tl1,2a,,,
tb03,fagu sylv,tl2,3,,,
tb03,frag vesc,hl,1,,,
tb03,gali albu,hl,+,,,
tb03,gali rotu,hl,+,,,
tb03,hier lach,hl,+,,,
tb03,hier muro,hl,+,,,
tb03,hupe sela,hl,+,,,
tb03,hype perf,hl,+,,,
tb03,lact mura,hl,+,,,
tb03,lari deci deci,hl,r,,,
tb03,lari deci deci,sl1,2a,,,
tb03,lari deci deci,sl2,r,,,
tb03,leon hisp hisp,hl,+,,,
tb03,lysi nemo,hl,+,,,
tb03,orig vulg,hl,1,,,
tb03,oxal acet,hl,1,,,
tb03,peta albu,hl,2a,,,
tb03,pice abie,hl,+,,,
tb03,pice abie,sl1,2a,,,
tb03,pice abie,sl2,2a,,,
tb03,pren purp,hl,+,,,
tb03,rubu idae,hl,+,,,
tb03,rubu sect rubu,hl,1,,,
tb03,salv glut,hl,1,,,
tb03,scro nodo,hl,1,,,
tb03,sene nemo slat,hl,1,,,
tb03,soli virg virg,hl,+,,,
tb03,sorb aria,hl,r,,,
tb03,sorb aucu aucu,hl,r,,,
tb03,thel limb,hl,3,,,
tb03,tuss farf,hl,+,,,
tb03,ulmu glab,hl,+,,,
tb03,vacc myrt,hl,+,,,
tb03,vero offi,hl,+,,,
tb03,vero urti,hl,r,,,
tb03,viol reic,hl,+,,,
tb04,abie alba,hl,r,,,
tb04,abie alba,tl1,2b,,,
tb04,abie alba,tl2,2b,,,
tb04,abie alba,tl3,2a,,,
tb04,acer pseu,hl,r,,,
tb04,athy fili,hl,+,,,
tb04,brac sylv,hl,+,,,
tb04,cala vari,hl,+,,,
tb04,card trif,hl,+,,,
tb04,dryo cart,hl,r,,,
tb04,dryo fili,hl,+,,,
tb04,fagu sylv,hl,+,,,
tb04,fagu sylv,tl1,4,,,
tb04,fagu sylv,tl2,1,,,
tb04,fagu sylv,tl3,1,,,
tb04,frag vesc,hl,+,,,
tb04,frax exce,hl,r,,,
tb04,gali rotu,hl,1,,,
tb04,gymn dryo,hl,r,,,
tb04,impa noli,hl,+,,,
tb04,lact mura,hl,+,,,
tb04,oxal acet,hl,+,,,
tb04,peta albu,hl,+,,,
tb04,phyt spic spic,hl,r,,,
tb04,pren purp,hl,+,,,
tb04,rubu sect rubu,hl,+,,,
tb04,salv glut,hl,+,,,
tb04,samb nigr,hl,r,,,
tb04,sene nemo slat,hl,1,,,
tb04,thel limb,hl,1,,,
tb04,vero urti,hl,r,,,
tb04,vici sylv,hl,r,,,
tb04,viol reic,hl,+,,,
tb05,abie alba,hl,r,,,
tb05,abie alba,tl2,2a,,,
tb05,acer pseu,hl,+,,,
tb05,ajug rept,hl,1,,,
tb05,athy fili,hl,+,,,
tb05,atro bell,hl,+,,,
tb05,brac sylv,hl,1,,,
tb05,cala vari,hl,3,,,
tb05,card defl viri,hl,+,,,
tb05,card impa,hl,r,,,
tb05,care sylv,hl,1,,,
tb05,cirs arve,hl,1,,,
tb05,cirs palu,hl,+,,,
tb05,clin vulg vulg,hl,+,,,
