"";"x"
"1";"Abies alba"
"2";"Acer pseudoplatanus"
"3";"Actaea spicata"
"4";"Adenostyles alpina"
"5";"Aegopodium podagraria"
"6";"Ajuga reptans"
"7";"Anemone nemorosa"
"8";"Angelica sylvestris ssp. sylvestris"
"9";"Aposeris foetida"
"10";"Aruncus dioicus"
"11";"Asarum europaeum ssp. europaeum"
"12";"Asplenium trichomanes ssp. quadrivalens"
"13";"Asplenium viride"
"14";"Athyrium filix-femina"
"15";"Atropa bella-donna"
"16";"Bellidiastrum michelii"
"17";"Betonica alopecuros"
"18";"Blechnum spicant"
"19";"Brachypodium sylvaticum"
"20";"Buphthalmum salicifolium"
"21";"Calamagrostis varia"
"22";"Campanula cochleariifolia"
"23";"Campanula rotundifolia s.str."
"24";"Campanula trachelium"
"25";"Cardamine bulbifera"
"26";"Carduus defloratus ssp. viridis"
"27";"Cardamine enneaphyllos"
"28";"Cardamine flexuosa"
"29";"Cardamine impatiens"
"30";"Cardamine trifolia"
"31";"Carex digitata"
"32";"Carex ferruginea s.str."
"33";"Carex montana"
"34";"Carex pendula"
"35";"Carex sylvatica ssp. sylvatica"
"36";"Carpinus betulus"
"37";"Cephalanthera longifolia"
"38";"Chaerophyllum villarsii"
"39";"Circaea alpina"
"40";"Circaea lutetiana ssp. lutetiana"
"41";"Cirsium arvense"
"42";"Cirsium oleraceum"
"43";"Cirsium palustre"
"44";"Cirsium vulgare"
"45";"Clematis vitalba"
"46";"Clinopodium vulgare ssp. vulgare"
"47";"Corylus avellana"
"48";"Dactylis glomerata ssp. glomerata"
"49";"Daphne mezereum"
"50";"Deschampsia cespitosa"
"51";"Digitalis grandiflora"
"52";"Dryopteris borreri"
"53";"Dryopteris carthusiana s.str."
"54";"Dryopteris dilatata"
"55";"Dryopteris filix-mas s.str."
"56";"Elymus caninus"
"57";"Epilobium montanum"
"58";"Epipactis helleborine ssp. helleborine"
"59";"Eupatorium cannabinum"
"60";"Euphorbia amygdaloides ssp. amygdaloides"
"61";"Euphorbia cyparissias"
"62";"Fagus sylvatica"
"63";"Fragaria moschata"
"64";"Fragaria vesca"
"65";"Fraxinus excelsior"
"66";"Galeobdolon flavidum"
"67";"Galeobdolon montanum"
"68";"Galeopsis sp."
"69";"Galeopsis speciosa"
"70";"Galium album s.str."
"71";"Galium anisophyllon"
"72";"Galium odoratum"
"73";"Galium rotundifolium"
"74";"Gentiana asclepiadea"
"75";"Geranium robertianum s.str."
"76";"Gymnocarpium dryopteris"
"77";"Gymnocarpium robertianum"
"78";"Hepatica nobilis"
"79";"Hieracium bifidum"
"80";"Hieracium lachenalii"
"81";"Hieracium murorum"
"82";"Hordelymus europaeus"
"83";"Huperzia selago ssp. selago"
"84";"Hypericum hirsutum"
"85";"Hypericum perforatum"
"86";"Ilex aquifolium"
"87";"Impatiens noli-tangere"
"88";"Knautia maxima ssp. maxima"
"89";"Lactuca muralis"
"90";"Larix decidua"
"91";"Laserpitium latifolium ssp. latifolium"
"92";"Leontodon hispidus ssp. hispidus"
"93";"Lilium martagon"
"94";"Lonicera alpigena"
"95";"Lotus corniculatus s.str."
"96";"Luzula pilosa"
"97";"Luzula sylvatica ssp. sylvatica"
"98";"Lycopodium annotinum"
"99";"Lysimachia nemorum"
"100";"Melampyrum sylvaticum s.str."
"101";"Melica nutans s.str."
"102";"Mercurialis perennis s.str."
"103";"Neottia nidus-avis"
"104";"Origanum vulgare ssp. vulgare"
"105";"Orobanche salviae"
"106";"Oxalis acetosella"
"107";"Paris quadrifolia"
"108";"Petasites albus"
"109";"Phegopteris connectilis"
"110";"Phyteuma orbiculare s.str."
"111";"Phyteuma spicatum ssp. spicatum"
"112";"Picea abies"
"113";"Pimpinella major var. major"
"114";"Poa nemoralis"
"115";"Polystichum aculeatum s.str."
"116";"Polystichum lonchitis"
"117";"Polygonatum verticillatum"
"118";"Polypodium vulgare s.str."
"119";"Prenanthes purpurea"
"120";"Prunus avium s.lat."
"121";"Prunella vulgaris"
"122";"Ranunculus montanus s.str."
"123";"Ranunculus nemorosus"
"124";"Rosa arvensis"
"125";"Rosa tomentosa"
"126";"Rubus idaeus"
"127";"Rubus sect. Rubus"
"128";"Salix appendiculata s.str."
"129";"Salix caprea"
"130";"Salvia glutinosa"
"131";"Sambucus nigra"
"132";"Sambucus racemosa"
"133";"Sanicula europaea"
"134";"Scrophularia nodosa"
"135";"Senecio nemorensis s.lat."
"136";"Senecio ovatus ssp. ovatus"
"137";"Solidago virgaurea ssp. virgaurea"
"138";"Sorbus aria s.str."
"139";"Sorbus aucuparia ssp. aucuparia"
"140";"Stachys sylvatica"
"141";"Stellaria media s.str."
"142";"Thelypteris limbosperma"
"143";"Tussilago farfara"
"144";"Ulmus glabra"
"145";"Urtica dioica ssp. dioica"
"146";"Vaccinium myrtillus"
"147";"Valeriana montana"
"148";"Valeriana tripteris"
"149";"Veratrum album ssp. album"
"150";"Verbascum thapsus s.str."
"151";"Veronica officinalis"
"152";"Veronica urticifolia"
"153";"Vicia cracca s.str."
"154";"Vicia sylvatica"
"155";"Vincetoxicum hirundinaria"
"156";"Viola biflora"
"157";"Viola reichenbachiana"
"158";"Viscum laxum ssp. abietis"
