plot;site;pole.nr;pole.nr.ok;date;tree.species;tree.diameter;bark.type;cov;bearing;distance;expo;bhd.height;latitude.tree;longitude.tree;elevation.tree;accuracy.tree;latitude.site;longitude.site;accuracy;observer;comment
tb01-01;tb01;1;yes;2020-08-20;Fagus sylvatica;75;flachrissig;11,1;45;3;W;1,3;47.65847;13.28463;1002;15;47.668435;13.284749;5;W. Mayer & R. Reiter;
tb01-02;tb01;2;yes;2020-08-20;Fagus sylvatica;65;flachrissig;69,5;280;16,6;E;2,1;46.66828;13.28474;1000;15;47.668435;13.284749;5;W. Mayer & R. Reiter;Parmelia sulcata markiert
tb01-03;tb01;3;yes;2020-08-20;Abies alba;50;mittelrissig;0,3;210;16,4;N;1,3;47.66829;13.28471;994;15;47.668435;13.284749;5;W. Mayer & R. Reiter;
tb01-04;tb01;4;yes;2020-09-20;Picea abies;40;mittelrissig;3;225;19,8;E;1,3;47.66829;13.28470;1000;15;47.668435;13.284749;5;W. Mayer & R. Reiter;
tb02-01;tb02;5;yes;2020-08-20;Fagus sylvatica;70;glatt;4,4;45;23;E;1,3;47.66828;13.28620;1061;15;47.668497;13.285972;5;W. Mayer & R. Reiter;
tb02-02;tb02;6;yes;2020-08-20;Fagus sylvatica;60;glatt;3,3;50;21;NE;1,3;47.66821;13.28618;1057;15;47.668497;13.285972;5;W. Mayer & R. Reiter;
tb03-01;tb03;7;yes;2020-08-20;Fagus sylvatica;43;glatt;4,5;315;4;NW;1,3;47.66877;13.28671;1105;15;47.668766;13.286809;5;W. Mayer & R. Reiter;
tb03-02;tb03;8;yes;2020-09-20;Fagus sylvatica;72;glatt;6,2;225;12;E;1,3;47.66867;13.28675;1100;15;47.668766;13.286809;5;W. Mayer & R. Reiter;
tb03-03;tb03;9;yes;2020-08-20;Abies alba;45;mittelrissig;2,4;45;2,8;W;1,3;47.66882;13.28688;1104;15;47.668766;13.286809;5;W. Mayer & R. Reiter;
tb03-04;tb03;10;yes;2020-08-20;Acer pseudoplatanus;32;mittelrissig;60,4;260;2;NW;1,3;47.66875;13.28690;1094;15;47.668766;13.286809;5;W. Mayer & R. Reiter;
tb04-01;tb04;46;yes;2020-10-23;Fagus sylvatica;69;glatt;0,9;208;10,3;NW;1,3;47.66830;13.28729;1143;15;47.668087;13.287163;5;R. Reiter;
tb04-02;tb04;47;yes;2020-10-23;Fagus sylvatica;78;glatt;32,9;148;18,2;NNW;1,3;47.66832;13.28724;1135;15;47.668087;13.287163;5;R. Reiter;im oberen Stambereich sind die Flechten sehr gut entwicklet und häufig (50% Deckennung)
tb04-03;tb04;48;yes;2020-10-23;Abies alba;88;mittelrissig;15,2;360;8;NA;1,3;47.66808;13.28724;NA;15;47.668087;13.287163;5;R. Reiter;
tb04-04;tb04;49;yes;2020-10-23;Abies alba;50;mittelrissig;0,3;292;11,9;N;1,3;47.66810;13.28735;1190;15;47.668087;13.287163;5;R. Reiter;
tb04-05;tb04;50;yes;2020-10-23;Fagus sylvatica;64;glatt;1,3;174;11,9;NA;1,3;47.66830;13.28733;1120;15;47.668087;13.287163;5;R. Reiter;Parmelia sulcata im oberen Stammbereich sehr häufig
tb04-06;tb04;51;yes;2020-10-23;Acer pseudoplatanus;58;mittelrissig (abblätternd);2,3;70;23,8;NA;1,3;47.66808;13.28702;1100;15;47.668087;13.287163;5;R. Reiter;schief stehend aber auf grund diversität inkludiert
