plot,abbr,layer,cov,diameter,damage.class,comment
tb01-01,cand refl,el,0.1,,,
tb01-01,clad fimb,el,0.5,,,
tb01-01,grap scri,el,2,,,
tb01-01,leca arge,el,0.1,,,
tb01-01,leca chla,el,0.5,,,
tb01-01,lepr spec ies,el,0.1,,,
tb01-01,mela fuli glab,el,4,,,
tb01-01,opeg vari,el,0.5,,,
tb01-01,phly arge,el,2,,,
tb01-01,unde bryo,el,1.3,,,
tb01-02,clad fimb,el,3,,,
tb01-02,grap scri,el,1,,,
tb01-02,leca chla,el,4,,,
tb01-02,lepr spec ies,el,1,,,
tb01-02,mela fuli glab,el,2.5,4,3,
tb01-02,parm sulc,el,1,6,2,
tb01-02,phly arge,el,2,,,
tb01-02,unde bryo,el,55,,,
tb01-03,lepr spec ies,el,0.1,,,
tb01-03,unde bryo,el,0.2,,,
tb01-04,unde bryo,el,3,,,
tb02-01,cand refl,el,0.1,,,
tb02-01,grap scri,el,1,,,
tb02-01,lepr spec ies,el,0.1,,,
tb02-01,opeg vari,el,0.1,,,
tb02-01,phly arge,el,0.1,,,
tb02-01,unde bryo,el,3,,,
tb02-02,cand refl,el,0.1,,,
tb02-02,grap scri,el,0.5,,,
tb02-02,leca chla,el,0.5,,,
tb02-02,norm pulc,el,0.1,,,
tb02-02,opeg vari,el,0.1,,,
tb02-02,phly arge,el,0.5,,,
tb02-02,unde bryo,el,1.5,,,
tb03-01,cand refl,el,0.1,,,
tb03-01,grap scri,el,0.2,,,
tb03-01,leca chla,el,0.1,,,
tb03-01,mela fuli glab,el,0.5,3,3,
tb03-01,norm pulc,el,0.1,,,
tb03-01,pert spec ies,el,1,,,
tb03-01,phly arge,el,0.5,,,
tb03-01,unde bryo,el,2,,,
tb03-02,calo spec ies,el,0.1,,,cf.
tb03-02,cand refl,el,0.1,,,
tb03-02,leca chla,el,0.1,,,
tb03-02,mela fuli glab,el,0.5,6,3,
tb03-02,norm pulc,el,0.2,,,
tb03-02,opeg vari,el,0.2,,,
tb03-02,parm saxa,el,1,9,3,
tb03-02,unde bryo,el,4,,,
tb03-03,clad spec ies,el,0.2,,,nur Grundschuppen
tb03-03,lepr spec ies,el,1,,,
tb03-03,mela fuli glab,el,0.2,,,
tb03-03,unde bryo,el,1,,,
tb03-04,clad fimb,el,0.1,,,
tb03-04,lepr spec ies,el,0.1,,,
tb03-04,norm pulc,el,0.2,,,
tb03-04,pert spec ies,el,2,,,
tb03-04,unde bryo,el,58,,,
tb04-01,clad spec ies,el,0.1,,,nur Grundschuppen
tb04-01,leca chla,el,0.2,,,
tb04-01,lepr spec ies,el,0.1,,,
tb04-01,phly arge,el,0.1,,,
tb04-01,tren spec ies,el,0.2,,,
tb04-01,unde bryo,el,0.2,,,
tb04-02,cand refl,el,0.1,,,
tb04-02,cete cetr,el,20,20,4,
tb04-02,grap scri,el,0.2,,,
tb04-02,leca chla,el,0.2,,,
tb04-02,lepr spec ies,el,0.1,,,
tb04-02,mela fuli glab,el,2,,,
tb04-02,norm pulc,el,0.1,,,
tb04-02,parm sulc,el,5,,,
tb04-02,pert spec ies,el,0.2,,,
tb04-02,unde bryo,el,5,,,
tb04-03,loxo elat,el,0.2,,,
tb04-03,unde bryo,el,15,,,am Stammfuß
tb04-04,loxo elat,el,0.1,,,
tb04-04,treb spec ies,el,0.1,,,
tb04-04,unde bryo,el,0.1,,,am Stammfuß
tb04-05,leca chla,el,0.3,,,
tb04-05,lepr spec ies,el,0.1,,,
tb04-05,mela fuli glab,el,0.2,4,4,
tb04-05,norm pulc,el,0.1,,,
tb04-05,parm hype,el,0.1,,,
tb04-05,parm sulc,el,0.2,3,4,
tb04-05,pert spec ies,el,0.2,,,
tb04-05,pyre spec ies,el,0.1,,,
tb04-06,lepr spec ies,el,0.1,,,
tb04-06,opeg vari,el,0.1,,,
tb04-06,phly arge,el,0.1,,,
tb04-06,unde bryo,el,2,,,
tb04-07,lepr spec ies,el,0.1,,,
tb04-07,phly arge,el,0.1,,,
tb04-07,unde bryo,el,50,,,
tb04-07,unde lich,el,0.1,,,rote Fruchtkörper auf Moos
tb05-01,cand refl,el,0.1,,,
tb05-01,clad spec ies,el,0.1,,,nur Grundschuppen
tb05-01,leca arge,el,0.1,,,
tb05-01,lepr spec ies,el,0.5,,,
tb05-01,mela fuli glab,el,0.1,"2,5",5,
tb05-01,phly arge,el,0.1,,,
tb05-01,pyre spec ies,el,0.1,,,
tb05-01,tren spec ies,el,1,,,
tb05-01,unde bryo,el,1,,,
tb05-02,cand refl,el,0.1,,,
tb05-02,clad coni,el,0.1,,,
tb05-02,clad spec ies,el,0.1,,,nur Grundschuppen
tb05-02,lepr spec ies,el,0.1,,,
tb05-02,phly arge,el,1.5,,,
tb05-02,tren spec ies,el,0.5,,,
tb05-02,unde bryo,el,1,,,
tb05-03,cand refl,el,0.1,,,
tb05-03,leca chla,el,0.1,,,
tb05-03,lepr spec ies,el,0.1,,,
tb05-03,loxo elat,el,0.1,,,
tb05-03,parm saxa,el,0.1,3,4,
tb05-03,treb spec ies,el,1,,,
tb05-04,clad spec ies,el,0.1,,,
tb05-04,lepr spec ies,el,0.5,,,
tb05-04,parm saxa,el,0.1,5,3,
tb05-04,phly arge,el,0.1,,,
tb05-04,unde bryo,el,0.5,,,
tb05-05,cand refl,el,0.1,,,
tb05-05,leca chla,el,0.1,,,
tb05-05,mela fuli glab,el,0.5,4,2,
tb05-05,parm saxa,el,0.1,"0,5",3,
tb05-05,pelt prae,el,0.1,,,
tb05-05,phae orbi,el,0.5,,,
tb05-05,phly arge,el,0.1,,,
tb05-05,unde bryo,el,2,,,
tb05-06,arth radi,el,0.1,,,
tb05-06,calo spec ies,el,0.1,,,cf.
tb05-06,cand refl,el,0.1,,,
tb05-06,leca chla,el,0.1,,,
tb05-06,lepr spec ies,el,0.1,,,
tb05-06,mela fuli glab,el,1,5,3,
tb05-06,phly arge,el,0.1,,,
tb05-06,phys adsc,el,0.1,3,2,
tb05-06,phys onia spec ies,el,0.1,3,2,
tb05-06,unde bryo,el,5,,,
tb06-01,cand refl,el,0.1,,,
tb06-01,leca chla,el,0.1,,,
tb06-01,lepr spec ies,el,0.1,,,
tb06-01,opeg vari,el,4,,,
tb06-01,pert spec ies,el,2,,,
tb06-01,phly arge,el,1,,,
tb06-01,unde bryo,el,1,,,
tb06-02,cand refl,el,0.1,,,
tb06-02,clad spec ies,el,1,,,nur Grundschuppen
tb06-02,lepr spec ies,el,2,,,
tb06-02,mela fuli glab,el,1,,,
tb06-02,parm saxa,el,10,4,5,
tb06-02,pert leio,el,0.1,,,
tb06-02,phae orbi,el,0.1,2,2,
tb06-02,phly arge,el,0.5,,,
tb06-02,unde bryo,el,55,,,
tb06-03,clad digi,el,0.5,,,
tb06-03,lepr spec ies,el,0.1,,,
tb06-03,parm ambi,el,1,,,
tb06-03,treb spec ies,el,2,,,
tb06-03,unde bryo,el,0.5,,,
tb06-04,lepr spec ies,el,0.1,,,
tb06-04,parm crin,el,0.1,"4,5",2,
tb06-04,unde bryo,el,0.1,,,
tb06-05,cand refl,el,0.1,,,
tb06-05,clad spec ies,el,0.1,,,nur Grundschuppen
tb06-05,lepr spec ies,el,0.1,,,
tb06-05,mela fuli glab,el,0.1,4,3,
tb06-05,pelt prae,el,0.2,,,
tb06-05,phly arge,el,0.1,,,
tb06-05,unde bryo,el,0.1,,,
tb06-06,phly arge,el,0.3,,,
tb06-07,clad spec ies,el,0.1,,,nur Grundschuppen
tb07-01,cand refl,el,0.1,,,
tb07-01,clad spec ies,el,0.2,,,nur Grundschuppen
tb07-01,lepr spec ies,el,0.5,,,
tb07-01,phly arge,el,0.5,,,
tb07-01,unde bryo,el,0.1,,,
tb08-01,clad spec ies,el,0.1,,,nur Grundschuppen
tb08-01,lepr spec ies,el,0.1,,,
tb08-01,phly arge,el,20,,,
tb08-01,tren spec ies,el,5,,,
tb08-01,unde bryo,el,40,,,
tb08-02,clad spec ies,el,1,,,nur Grundschuppen
tb08-02,lepr spec ies,el,2,,,
tb08-02,opeg vari,el,0.1,,,
tb08-02,phly arge,el,1,,,
tb08-02,tren spec ies,el,1,,,
tb08-02,unde bryo,el,1,,,
tb08-03,clad spec ies,el,0.1,,,nur Grundschuppen
tb08-03,hypo phys,el,0.1,4,4,
tb08-03,lepr spec ies,el,0.1,,,
tb08-03,mela fuli glab,el,0.1,4,3,
tb08-03,parm ambi,el,2,"2,5",3,
tb08-03,parm hype,el,0.1,2,3,
tb08-03,parm sulc,el,0.1,4,4,
tb08-03,tren spec ies,el,0.1,,,
tb08-04,clad spec ies,el,0.1,,,nur Grundschuppen
tb08-04,lepr spec ies,el,0.1,,,
tb08-04,parm ambi,el,3,3,2,
tb08-04,parm hype,el,0.1,"1,5",3,
