plot,abbr,layer,cover,voucher,comment,history
th01,ajug rept,hl,+,,,
th01,alch sect alch,hl,+,,,
th01,anem nemo,hl,+,,,
th01,anth odor,hl,1,,,
th01,arrh elat,hl,1,,,
th01,briz medi,hl,1,,,
th01,care digi,hl,+,,,
th01,care flac,hl,+,,,
th01,care mont,hl,1,,,
th01,care pani,hl,+,,,
th01,carp betu,hl,r,,,
th01,cyno cris,hl,+,,,
th01,dact glom glom,hl,1,,,
th01,fest arun slat,hl,2a,,,
th01,fest nigr cens,hl,1,,,
th01,fest prat prat,hl,+,,,
th01,fest rubr slat,hl,1,,,
th01,fili ulma,hl,+,,,
th01,frax exce,hl,r,,,
th01,gali albu,hl,1,,,
th01,glec hede,hl,r,,,
th01,holc lana,hl,2a,,,
th01,homa pube pube,hl,+,,,
th01,hype macu,hl,+,,,
th01,lotu corn,hl,1,,,
th01,lysi nemo,hl,+,,,
th01,moli caer aggr,hl,3,,M. caerulea,
th01,plan lanc,hl,+,,,
th01,pote erec,hl,+,,,
th01,prim elat,hl,+,,,
th01,sali capr,hl,r,,,
th01,sang offi,hl,r,,,
th01,scab colu,hl,2m,,,
th01,trif prat prat,hl,+,,,
th01,tris flav flav,hl,1,,,
th01,vale dioi dioi,hl,r,,,
th02,acer pseu,hl,r,,,
th02,anem nemo,hl,+,,,
th02,anth odor,hl,1,,,
th02,arrh elat,hl,1,,,
th02,betu pend,hl,r,,,
th02,briz medi,hl,2a,,,
th02,care flac,hl,+,,,
th02,care pall,hl,+,,,
th02,care pilu pilu,hl,+,,,
th02,carp betu,hl,+,,,
th02,colc autu,hl,r,,,
th02,crep bien,hl,+,,,
th02,dact glom glom,hl,1,,,
th02,euph cypa,hl,1,,,
th02,fest arun slat,hl,1,,,
th02,fest nigr cens,hl,+,,,
th02,fest prat prat,hl,1,,,
th02,fest rubr slat,hl,1,,,
th02,frag vesc,hl,+,,,
th02,gali albu,hl,2a,,,
th02,gali pumi,hl,+,,,
th02,hera spho spho,hl,+,,,
th02,holc lana,hl,1,,,
th02,hype mont,hl,+,,,
th02,knau maxi,hl,+,,,
th02,lotu corn,hl,2a,,,
th02,moli caer aggr,hl,3,,M. caerulea,
th02,phyt spic spic,hl,+,,,
th02,plan lanc,hl,1,,,
th02,poly vulg,hl,+,,,
th02,pote erec,hl,2m,,,
th02,quer robu,hl,+,,,
th02,rosa arve,hl,r,,,
th02,scab colu,hl,1,,,
th02,tara sect rude,hl,+,,,
th02,trag orie,hl,+,,,
th02,trif medi medi,hl,+,,,
th02,trif prat prat,hl,+,,,
th02,tris flav flav,hl,2a,,,
th02,viol reic,hl,+,,,
th03,ajug rept,hl,1,,,
th03,anth odor,hl,1,,,
th03,arrh elat,hl,2a,,,
th03,beto offi offi,hl,r,,,
th03,brac pinn,hl,2b,,,
th03,briz medi,hl,1,,,
th03,care flac,hl,+,,,
th03,care mont,hl,2b,,,
th03,care pilu pilu,hl,+,,,
th03,crep bien,hl,+,,,
th03,dact glom glom,hl,+,,,
th03,dant decu decu,hl,r,,,
th03,fest arun slat,hl,1,,,
th03,fest prat prat,hl,1,,,
th03,frax exce,hl,+,,,
th03,gali albu,hl,1,,,
th03,homa pube pube,hl,+,,,
th03,knau arve arve,hl,r,,,
th03,leon hisp slat,hl,1,,,
th03,linu cath,hl,+,,,
th03,lotu corn,hl,1,,,
th03,moli caer aggr,hl,2b,,M. caerulea,
th03,plan lanc,hl,1,,,
th03,pote erec,hl,2m,,,
th03,rhin mino,hl,+,,,
th03,rosa cani,hl,r,,,
th03,sang mino mino,hl,+,,,
th03,scab colu,hl,2m,,,
th03,trag orie,hl,+,,,
th03,trif prat prat,hl,+,,,
th04,ajug rept,hl,+,,,
th04,anth odor,hl,+,,,
th04,arrh elat,hl,2a,,,
th04,brac pinn,hl,+,,,
th04,briz medi,hl,1,,,
th04,care cary,hl,+,,,
th04,care flac,hl,+,,,
th04,care hirt,hl,+,,,
th04,care mont,hl,2b,,,
th04,care pilu pilu,hl,1,,,
th04,dant decu decu,hl,r,,,
th04,fest arun slat,hl,2b,,,
th04,fest rubr slat,hl,+,,,
th04,frag vesc,hl,+,,,
th04,frax exce,hl,+,,,
th04,gali albu,hl,1,,,
th04,hier pilo ella,hl,+,,,
th04,holc lana,hl,1,,,
th04,linu cath,hl,+,,,
th04,lotu corn,hl,1,,,
th04,moli caer aggr,hl,2b,,M. caerulea,
th04,past sati sati,hl,r,,,
th04,plan lanc,hl,1,,,
th04,pote erec,hl,2m,,,
th04,rhin mino,hl,+,,,
th04,sang mino mino,hl,+,,,
th04,sang offi,hl,+,,,
th04,scab colu,hl,+,,,
th04,trif prat prat,hl,+,,,
th04,vici crac,hl,+,,,
