plot;variable;value
tc10a;plsx;20
tc10a;plsy;10
tc10a;exp;SE
tc10a;slope;45
tc10a;htl;8
tc10a;hss;3
tc10a;hhl;0,7
tc10a;cov;70
tc10a;tcov;45
tc10a;scov;25
tc10a;hcov;35
tc10a;mcov;5
tc10a;longitude;10,870254
tc10a;latitude;47,257944
tc10a;location;Tschirgant
tc10a;location.verbose;
tc10a;soil;
tc10a;comment;
tc11a;plsx;2,5
tc11a;plsy;6
tc11a;exp;NW
tc11a;slope;25
tc11a;htl;0
tc11a;hss;0
tc11a;hhl;1
tc11a;cov;85
tc11a;tcov;0
tc11a;scov;0
tc11a;hcov;85
tc11a;mcov;35
tc11a;longitude;10,840998
tc11a;latitude;47,293543
tc11a;location;Tschirgant
tc11a;location.verbose;
tc11a;soil;
tc11a;comment;
tc12a;plsx;3
tc12a;plsy;4
tc12a;exp;NW
tc12a;slope;5
tc12a;htl;0
tc12a;hss;0
tc12a;hhl;1
tc12a;cov;95
tc12a;tcov;0
tc12a;scov;0
tc12a;hcov;95
tc12a;mcov;5
tc12a;longitude;10,841127
tc12a;latitude;47,291833
tc12a;location;Tschirgant
tc12a;location.verbose;
tc12a;soil;
tc12a;comment;
tc13a;plsx;3
tc13a;plsy;4
tc13a;exp;NW
tc13a;slope;5
tc13a;htl;0
tc13a;hss;0
tc13a;hhl;0,6
tc13a;cov;90
tc13a;tcov;0
tc13a;scov;0
tc13a;hcov;90
tc13a;mcov;5
tc13a;longitude;10,840624
tc13a;latitude;47,291737
tc13a;location;Tschirgant
tc13a;location.verbose;
tc13a;soil;
tc13a;comment;zweiter Aufwuchs
tc14a;plsx;3
tc14a;plsy;4
tc14a;exp;F
tc14a;slope;0
tc14a;htl;0
tc14a;hss;0
tc14a;hhl;1,8
tc14a;cov;100
tc14a;tcov;0
tc14a;scov;0
tc14a;hcov;70
tc14a;mcov;80
tc14a;longitude;10,839599
tc14a;latitude;47,292416
tc14a;location;Tschirgant
tc14a;location.verbose;
tc14a;soil;
tc14a;comment;
tc14b;plsx;3
tc14b;plsy;3
tc14b;exp;F
tc14b;slope;0
tc14b;htl;0
tc14b;hss;0
tc14b;hhl;0,8
tc14b;cov;100
tc14b;tcov;0
tc14b;scov;0
tc14b;hcov;90
tc14b;mcov;80
tc14b;longitude;10,838739
tc14b;latitude;47,29233
tc14b;location;Tschirgant
tc14b;location.verbose;Erhebung in Wiese
tc14b;soil;
tc14b;comment;
tc15a;plsx;5
tc15a;plsy;5
tc15a;exp;NW
tc15a;slope;3
tc15a;htl;0
tc15a;hss;0
tc15a;hhl;0,75
tc15a;cov;95
tc15a;tcov;0
tc15a;scov;0
tc15a;hcov;90
tc15a;mcov;30
tc15a;longitude;10,839325
tc15a;latitude;47,289979
tc15a;location;Tschirgant
tc15a;location.verbose;
tc15a;soil;
tc15a;comment;
tc15b;plsx;2
tc15b;plsy;4
tc15b;exp;N
tc15b;slope;20
tc15b;htl;0
tc15b;hss;0
tc15b;hhl;0,65
tc15b;cov;95
tc15b;tcov;0
tc15b;scov;0
tc15b;hcov;80
tc15b;mcov;80
tc15b;longitude;10,838392
tc15b;latitude;47,28921
tc15b;location;Tschirgant
tc15b;location.verbose;an der Boeschung suedwestlich Stadel
tc15b;soil;
tc15b;comment;
tc16a;plsx;4
tc16a;plsy;4
tc16a;exp;NW
tc16a;slope;4
tc16a;htl;0
tc16a;hss;0
tc16a;hhl;0,75
tc16a;cov;90
tc16a;tcov;0
tc16a;scov;0
tc16a;hcov;90
tc16a;mcov;5
tc16a;longitude;10,840424
tc16a;latitude;47,288778
tc16a;location;Tschirgant
tc16a;location.verbose;
tc16a;soil;
tc16a;comment;
tc17a;plsx;5
tc17a;plsy;5
tc17a;exp;NW
tc17a;slope;6
tc17a;htl;0
tc17a;hss;0
tc17a;hhl;0,75
tc17a;cov;95
tc17a;tcov;0
tc17a;scov;0
tc17a;hcov;95
tc17a;mcov;50
tc17a;longitude;10,839665
tc17a;latitude;47,288161
tc17a;location;Tschirgant
tc17a;location.verbose;
tc17a;soil;
tc17a;comment;
tc18a;plsx;20
tc18a;plsy;20
tc18a;exp;NW
tc18a;slope;4
tc18a;htl;12
tc18a;hss;2
tc18a;hhl;0,5
tc18a;cov;95
tc18a;tcov;60
tc18a;scov;15
tc18a;hcov;80
tc18a;mcov;60
tc18a;longitude;10,840269
tc18a;latitude;47,290524
tc18a;location;Tschirgant
tc18a;location.verbose;
tc18a;soil;
tc18a;comment;
tc18b;plsx;20
tc18b;plsy;20
tc18b;exp;W
tc18b;slope;5
tc18b;htl;14
tc18b;hss;3
tc18b;hhl;1
tc18b;cov;98
tc18b;tcov;65
tc18b;scov;30
tc18b;hcov;95
tc18b;mcov;60
tc18b;longitude;10,842688
tc18b;latitude;47,293302
tc18b;location;Tschirgant
tc18b;location.verbose;
tc18b;soil;
tc18b;comment;
tc18c;plsx;20
tc18c;plsy;20
tc18c;exp;N
tc18c;slope;3
tc18c;htl;9
tc18c;hss;3
tc18c;hhl;0,75
tc18c;cov;100
tc18c;tcov;70
tc18c;scov;3
tc18c;hcov;95
tc18c;mcov;80
tc18c;longitude;10,845265
tc18c;latitude;47,293137
tc18c;location;Tschirgant
tc18c;location.verbose;suedlich Rueckeweg
tc18c;soil;
tc18c;comment;
tc1a;plsx;4
tc1a;plsy;4
tc1a;exp;F
tc1a;slope;0
tc1a;htl;0
tc1a;hss;0
