plot;abbr;layer;cov;voucher.flag;voucher;sheets;history
tc10a;achn cala;hl;1;;;;
tc10a;ajug rept;hl;1;;;;
tc10a;alnu inca;sl;1;;;;
tc10a;alnu inca;tl;2a;;;;
tc10a;amel oval;hl;+;;;;
tc10a;amel oval;sl;1;;;;
tc10a;berb vulg;hl;1;;;;
tc10a;berb vulg;sl;+;;;;
tc10a;betu pend;hl;+;;;;
tc10a;betu pend;sl;+;;;;
tc10a;buph sali;hl;1;;;;
tc10a;card defl viri;hl;1;;;; | Changed card defl To card defl viri 2012-11-27 16:08:03
tc10a;carl vulg vulg;hl;+;;;; | Changed carl vulg To carl vulg vulg 2012-11-27 16:08:03
tc10a;cich inty;hl;+;;;;
tc10a;cirs vulg;hl;+;;;;
tc10a;clem vita;hl;2a;;;;
tc10a;clem vita;sl;+;;;;
tc10a;corn sang slat;hl;1;;;; | Changed corn sang To corn sang slat 2012-11-27 16:08:03
tc10a;corn sang slat;sl;1;;;; | Changed corn sang To corn sang slat 2012-11-27 16:08:03
tc10a;dact glom glom;hl;+;;;; | Changed dact glom To dact glom glom 2012-11-27 16:12:26
tc10a;dauc caro caro;hl;+;;;; | Changed dauc caro To dauc caro caro 2012-11-27 14:15:27
tc10a;epip hell slat;hl;+;;;; | Changed epip hell To epip hell slat 2012-11-27 16:08:03
tc10a;eric carn;hl;1;;;; | Changed eric herb To eric carn 2012-11-27 16:08:03
tc10a;erig acri acri;hl;+;;;; | Changed erig acri ac To erig acri acri 2012-11-27 16:08:03
tc10a;erig annu slat;hl;+;;;; | Changed erig annu To erig annu slat 2012-11-27 16:08:03
tc10a;fran alnu;hl;1;;;;
tc10a;fran alnu;sl;2a;;;;
tc10a;hier muro;hl;1;;;; | Changed hier sylv To hier muro 2012-11-27 16:08:03
tc10a;juni comm comm;hl;+;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc10a;juni comm comm;sl;+;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc10a;lari deci deci;hl;+;;;; | Changed lari deci To lari deci deci 2012-11-27 16:08:03
tc10a;lari deci deci;sl;1;;;; | Changed lari deci To lari deci deci 2012-11-27 16:08:03
tc10a;lari deci deci;tl;2a;;;; | Changed lari deci To lari deci deci 2012-11-27 16:08:03
tc10a;leon inca;hl;+;;;;
tc10a;loni xylo;hl;+;;;;
tc10a;loni xylo;sl;+;;;;
tc10a;pinu sylv;sl;2a;;;;
tc10a;pinu sylv;tl;3;;;;
tc10a;popu trem;hl;+;;;;
tc10a;popu trem;sl;1;;;;
tc10a;popu trem;tl;1;;;;
tc10a;prun aviu slat;hl;+;;;; | Changed prun aviu To prun aviu slat 2012-11-27 16:08:03
tc10a;prun aviu slat;sl;+;;;; | Changed prun aviu To prun aviu slat 2012-11-27 16:08:03
tc10a;rham cath;hl;+;;;;
tc10a;robi pseu;hl;+;;;;
tc10a;robi pseu;sl;1;;;;
tc10a;robi pseu;tl;2a;;;;
tc10a;sali capr;hl;+;;;;
tc10a;sali capr;sl;+;;;;
tc10a;sali purp;sl;2a;;;;
tc10a;soli cana;hl;1;;;;
tc10a;soli virg virg;hl;+;;;; | Changed soli virg To soli virg virg 2012-11-27 16:08:03
tc10a;sorb aria;hl;+;;;;
tc10a;sorb aria;sl;+;;;;
tc10a;tuss farf;hl;+;;;;
tc10a;vici crac;hl;+;;;;
tc10a;vinc hiru;hl;+;;;;
tc11a;achi mill aggr;hl;+;;;; | Changed achi mill m To achi mill aggr 2012-11-27 16:08:03
tc11a;agro capi;hl;+;;;; | Changed agro tenu To agro capi 2012-11-27 16:08:03
tc11a;anth vuln slat;hl;+;;;; | Changed anth vuln To anth vuln slat 2012-11-27 16:08:03
tc11a;arrh elat;hl;2m;;;;
tc11a;homa pube pube;hl;+;;;; | Changed aven pube To homa pube pube 2012-11-27 16:08:03
tc11a;briz medi;hl;1;;;;
tc11a;brom erec;hl;4;;;;
tc11a;care cary;hl;2b;;;;
tc11a;cent jace jace;hl;+;;;; | Changed cent jace To cent jace jace 2012-11-27 16:08:04
tc11a;cent scab scab;hl;1;;;; | Changed cent scab To cent scab scab 2012-11-27 16:08:04
tc11a;dact glom glom;hl;1;;;; | Changed dact glom To dact glom glom 2012-11-27 16:12:26
tc11a;dauc caro caro;hl;2m;;;; | Changed dauc caro To dauc caro caro 2012-11-27 14:15:27
tc11a;fest brev;hl;+;;;;
tc11a;fest prat prat;hl;+;;;; | Changed fest prat To fest prat prat 2012-11-27 16:08:04
tc11a;gali albu;hl;1;;;;
tc11a;knau arve arve;hl;1;;;; | Changed knau arve To knau arve arve 2012-11-27 16:08:04
tc11a;koel pyra pyra;hl;+;;;; | Changed koel pyra To koel pyra pyra 2012-11-27 16:08:04
tc11a;lath prat prat;hl;+;;;; | Changed lath prat To lath prat prat 2012-11-27 16:08:04
tc11a;leon hisp slat;hl;+;;;; | Changed leon hisp To leon hisp slat 2012-11-27 16:08:04
tc11a;leuc vulg;hl;2m;;;;
tc11a;lotu corn;hl;+;;;;
tc11a;medi falc;hl;+;;;;
tc11a;medi lupu;hl;+;;;;
tc11a;medi sati;hl;+;;;;
tc11a;orob grac;hl;+;;;;
tc11a;peuc oreo;hl;+;;;;
tc11a;pimp majo majo;hl;+;;;; | Changed pimp majo To pimp majo majo 2012-11-27 16:08:04
tc11a;plan lanc;hl;+;;;;
tc11a;pote pusi;hl;+;;;;
tc11a;sali myrs;hl;r;;;;
tc11a;sang offi;hl;2m;;;;
tc11a;scab colu;hl;1;;;;
tc11a;sile nuta nuta;hl;+;;;; | Changed sile nuta To sile nuta nuta 2012-11-27 16:08:04
tc11a;sile vulg vulg;hl;+;;;; | Changed sile vulg v To sile vulg vulg 2012-11-27 16:08:04
tc11a;soli virg virg;hl;+;;;; | Changed soli virg To soli virg virg 2012-11-27 16:08:03
tc11a;thym pule pule;hl;+;;;; | Changed thym pule To thym pule pule 2012-11-27 16:08:04
tc11a;trif prat prat;hl;+;;;; | Changed trif prat p To trif prat prat 2012-11-27 16:12:27
tc11a;vici crac;hl;+;;;;
tc12a;achi mill aggr;hl;1;;;; | Changed achi mill m To achi mill aggr 2012-11-27 16:08:03
tc12a;anth sylv;hl;3;;;;
tc12a;arrh elat;hl;1;;;;
tc12a;crep bien;hl;+;;;;
