taxon,matched.taxon
Achnatherum calamagrostis,Achnatherum calamagrostis
Leontodon hispidus ssp. hyoseroides,Leontodon hispidus ssp. hyoseroides
Sedum dasyphyllum,Sedum dasyphyllum
Galium pumilum,Galium pumilum
Rosa glauca,Rosa glauca
Cirsium vulgare,Cirsium vulgare
Vincetoxicum hirundinaria,Vincetoxicum hirundinaria
Anthericum ramosum,Anthericum ramosum
Aquilegia atrata,Aquilegia atrata
Cardaminopsis arenosa spp. borbasii,Arabidopsis arenosa
Epipactis atrorubens,Epipactis atrorubens
Phyteuma orbiculare,Phyteuma orbiculare s.str.
Astragalus glycophyllos,Astragalus glycyphyllos
Digitalis grandiflora,Digitalis grandiflora
Polygonatum verticilatum,Polygonatum verticillatum
Taxus baccata,Taxus baccata
Lilium martagon,Lilium martagon
blank,NA
Silene vulgaris agg.,Silene vulgaris s.lat.
Rumex scutatus,Rumex scutatus
Hieracium glaucum,Hieracium glaucum
blank,NA
Campanula cochleariifolia,Campanula cochleariifolia
Primula auricula,Primula auricula ssp. auricula
Hieracium amplexicaule,Hieracium amplexicaule
Sedum album,Sedum album
Valeriana tripteris,Valeriana tripteris
Adenostyles glabra,Adenostyles alpina
Potentilla caulescens,Potentilla caulescens ssp. caulescens
Saxifraga aizoides,Saxifraga aizoides
Hieracium humile,Hieracium humile
Saxifraga paniculata,Saxifraga paniculata
Globularia cordifolia,Globularia cordifolia s.str.
Rhamnus pumila,Rhamnus pumila
blank,NA
Teucrium montanum,Teucrium montanum
Avena pratensis,Avenula pratensis
Linum catharticum,Linum catharticum
Thalictrum saxatile,Thalictrum minus ssp. saxatile
Orobanche teucrii,Orobanche teucrii
Globularia punctata,Globularia bisnagarica
blank,NA
Thymus polytrichus,Thymus praecox ssp. polytrichus
Laserpitium latifolium,Laserpitium latifolium ssp. latifolium
Carduus defloratus,Carduus defloratus ssp. viridis
Brachypodium pinnatum,Brachypodium pinnatum s.str.
Carex flacca,Carex flacca ssp. flacca
Buphthalmum salicifolium,Buphthalmum salicifolium
Carex ornithopoda,Carex ornithopoda ssp. ornithopoda
Lotus corniculatus,Lotus corniculatus s.str.
Tortella tortuosa,Tortella tortuosa
Galium anisophyllon,Galium anisophyllon
Chenopodium album,Chenopodium album s.lat.
Inula conyza,Inula conyzae
Pimpinella major,Pimpinella major var. major
Eupatorium cannabinum,Eupatorium cannabinum
Molinia litoralis,Molinia arundinacea
Knautia sylvatica,Knautia maxima ssp. maxima
Calamagrostis varia,Calamagrostis varia
Dactylis glomerata,Dactylis glomerata ssp. glomerata
Poa alpina,Poa alpina
Agrostis tenuis,Agrostis capillaris
Juniperus sabina,Juniperus sabina
Leucanthemum adustum,Leucanthemum adustum ssp. adustum
Verbascum thapsus,Verbascum thapsus s.str.
Sonchus asper,Sonchus asper ssp. asper
