taxon,matched.taxon
Sisymbrium.officinale,Sisymbrium officinale
Sambucus.nigra,Sambucus nigra
Hieracium.glaucum,Hieracium glaucum
Rhinanthus.alectorolophus,Rhinanthus alectorolophus s.lat.
Senecio.fuchsii,Senecio ovatus ssp. ovatus
Juniperus.communis,Juniperus communis ssp. communis
Euphrasia.salisburgensis,Euphrasia salisburgensis s.str.
Salvia.glutinosa,Salvia glutinosa
Mercurialis.perennis,Mercurialis perennis s.str.
Helianthemum.nummularium.ssp..grandiflomm,Helianthemum nummularium ssp. grandiflorum
Carlina.acaulis,Carlina acaulis s.lat.
Campanula.scheuchzeri,Campanula scheuchzeri
Epipactis.helleborine,Epipactis helleborine s.lat.
Scabiosa.lucida,Scabiosa lucida ssp. lucida
Carex.sempervirens,Carex sempervirens ssp. sempervirens
Sesleria.albicans,Sesleria caerulea s.str.
Rubus.idaeus,Rubus idaeus
Cicerbita.muralis,Lactuca muralis
Hieracium.sylvaticum,Hieracium murorum
Polygonatum.odoratum,Polygonatum odoratum
