plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance;association;soil;comment;location;observer;
uh01;99;0;10;96;25;10;0;6;4;0,6;0,1;16;16;E;5;0;1;0;2015-06-05;48.115414N;13.564420E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
uh02;98;0;0;35;90;2;0;0;3;0,9;0,1;16;16;E;5;0;2;0;2015-06-05;48.115067N;13.564744E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
uh03;99;4;70;60;12;4;18;8;5;0,8;0,1;16;16;E;3;0;1;0;2015-06-05;48.116468N;13.565285E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
uh04;100;0;0;98;5;2;0;0;5;0,8;0,1;16;16;;5;0;0;0;2015-06-05;48.116524N;13.565932E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
uh05;99;0;45;60;80;2;0;6;4;0,8;0,1;16;16;E;5;0;1;0;2015-06-05;48.115284N;13.565907E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
uh06;99;83;0;7;90;15;28;0;2;0,6;0,1;16;16;S;4;0;1;0;2015-06-05;48.114518N;13.565979E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
uh07;99;0;0;97;8;1;0;0;4;0,9;0,1;16;16;SE;10;0;1;0;2015-06-05;48.113841N;13.564198E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
uh08;99;85;0;3;95;12;33;0;3;0,8;0,1;16;16;S;10;0;1;0;2015-06-05;48.113443N;13.565789E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
uh09;98;85;0;3;70;25;26;0;1;0,5;0,1;16;16;S;8;0;2;0;2015-06-05;48.113410N;13.566274E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
uh10;98;75;0;8;65;30;27;0;;0,6;0,1;16;16;SE;7;0;2;0;2015-06-05;48.113474N;13.567550E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
uh11;99;0;70;45;1;1;0;9;5;0,6;0,1;16;16;SE;8;0;1;0;2015-06-05;48.113766N;13.569231E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
uh12;93;0;0;80;10;1;0;0;2;0,6;0,1;16;16;SE;10;0;7;0;2015-06-05;48.113536N;13.571230E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
uh13;99;0;0;99;1;1;0;0;6;0,6;0,1;16;16;SE;7;0;1;0;2015-06-05;48.113382N;13.569927E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
uh14;99;0;98;10;1;1;0;7;4;0,6;0,1;16;16;SE;12;0;1;0;2015-06-05;48.113566N;13.568707E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
uh15;99;0;0;50;98;1;0;0;4;0,8;0,1;16;16;SE;8;0;1;0;2015-06-05;48.114125N;13.567459E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
uh16;95;90;0;0;4;10;19;0;0;0,6;0,1;16;16;E;6;0;5;0;2015-06-05;48.114594N;13.568978E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
uh17;97;80;0;0;70;18;27;0;0;0,7;0,1;16;16;NE;5;0;3;0;2015-06-05;48.114470N;13.570970E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
uh18;98;80;3;40;80;20;33;22;4;0,8;0,1;16;16;S;10;0;2;0;2015-06-05;48.115889N;13.567921E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
uh19;98;70;0;7;95;10;32;0;2;0,9;0,1;16;16;NE;7;0;2;0;2015-06-05;48.114956N;13.567783E;10;;;;;Urhamerberg; Hausruckviertel;R Kaiser & T Eberl
