plot,abbr,layer,cover,voucher,comment,history
um01,betu pube slat,hl,+,,,
um01,call vulg,hl,1,,,
um01,moli caer aggr,hl,2b,,,
um01,pinu sylv,hl,r,,,
um01,rhyn alba,hl,2m,,,
um01,vacc myrt,hl,2m,,,
um01,camp flex,ml,+,det. C. Schröck,,
um01,dicr denu,ml,1,,,
um01,hylo sple,ml,+,det. C. Schröck,,
um01,hypn jutl,ml,1,det. C. Schröck,,
um01,myli anom,ml,r,det. C. Schröck,,
um01,pleu schr,ml,1,,,
um01,poly form,ml,+,det. C. Schröck,,
um01,poly long,ml,+,det. C. Schröck,,
um01,spha angu,ml,+,det. C. Schröck,,
um01,spha cusp,ml,r,det. C. Schröck,,
um01,spha mage,ml,+,det. C. Schröck,,
um01,spha rube,ml,+,det. C. Schröck,,
um02,andr poli,hl,2m,,,
um02,call vulg,hl,5,,,
um02,dros angl,hl,r,2014-0275,,
um02,dros rotu,hl,+,,,
um02,erio vagi,hl,2b,,,
um02,mela prat,hl,r,,,
um02,pinu mugo,hl,+,,,
um02,rhyn alba,hl,r,,,
um02,vacc myrt,hl,+,,,
um02,vacc oxyc,hl,1,,,
um02,aula palu,ml,r,det. C. Schröck,,
um02,ceph conn,ml,r,det. C. Schröck,,
um02,hypn jutl,ml,+,det. C. Schröck,,
um02,poly stri,ml,+,,,
um02,spha angu,ml,+,det. C. Schröck,,
um02,spha capi,ml,+,det. C. Schröck,,
um02,spha cusp,ml,+,det. C. Schröck,,
um02,spha mage,ml,4,det. C. Schröck,,
um02,spha rube,ml,1,det. C. Schröck,,
um03,andr poli,hl,2m,,,
um03,call vulg,hl,4,,,
um03,dros rotu,hl,+,,,
um03,erio vagi,hl,2b,,,
um03,moli caer aggr,hl,2a,,,
um03,rhyn alba,hl,1,,,
um03,vacc cory,hl,r,,,
um03,vacc oxyc,hl,1,,,
um03,vacc ulig,hl,r,,,
um03,aula palu,ml,2a,det. C. Schröck,,
um03,ceph bicu,ml,+,det. C. Schröck,,
um03,ceph conn,ml,r,det. C. Schröck,,
um03,ceph elac,ml,r,det. C. Schröck,,
um03,ceph macr,ml,r,det. C. Schröck,,
um03,dicr denu,ml,+,det. C. Schröck,,
um03,dicr undu,ml,r,det. C. Schröck,,
um03,hypn jutl,ml,1,det. C. Schröck,,
um03,leuc glau,ml,r,det. C. Schröck,,
um03,myli anom,ml,r,det. C. Schröck,,
um03,pleu schr,ml,1,det. C. Schröck,,
um03,spha angu,ml,1,det. C. Schröck,,
um03,spha cusp,ml,1,det. C. Schröck,,
um03,spha mage,ml,2a,det. C. Schröck,,
um03,spha rube,ml,2a,det. C. Schröck,,
um03,spha tene,ml,+,det. C. Schröck,,
um03,pinu sylv,sl,1,,,
um04,betu pube slat,hl,r,,,
um04,call vulg,hl,+,,,
um04,erio vagi,hl,2a,,,
um04,moli caer aggr,hl,2b,,,
um04,rhyn alba,hl,2b,,,
um04,vacc oxyc,hl,+,,,
um04,vacc ulig,hl,+,,,
um04,aula palu,ml,1,det. C. Schröck,,
um04,ceph conn,ml,+,det. C. Schröck,,
um04,camp pyri,ml,r,det. C. Schröck,,
um04,dicr denu,ml,+,det. C. Schröck,,
um04,kurz pauc,ml,r,det. C. Schröck,,
um04,odon spha,ml,r,cf. C. Schröck,,
um04,pleu schr,ml,+,det. C. Schröck,,
um04,poly form,ml,+,det. C. Schröck,,
um04,spha angu,ml,2a,det. C. Schröck,,
um04,spha cusp,ml,2a,det. C. Schröck,,
um04,spha mage,ml,2a,det. C. Schröck,,
um04,spha rube,ml,1,det. C. Schröck,,
um04,spha tene,ml,+,det. C. Schröck,,
um05,betu pube slat,hl,r,,,
um05,call vulg,hl,3,,,
um05,dros rotu,hl,+,,,
um05,fran alnu,hl,r,,,
um05,moli caer aggr,hl,2a,,,
um05,pice abie,hl,r,,,
um05,pinu sylv,hl,r,,,
um05,rhyn alba,hl,2b,,,
um05,vacc oxyc,hl,1,,,
um05,vacc ulig,hl,+,,,
um05,camp pyri,ml,r,det. C. Schröck,,
um05,camp flex,ml,+,det. C. Schröck,,
um05,ceph conn,ml,+,det. C. Schröck,,
um05,ceph elac,ml,r,det. C. Schröck,,
um05,clad spec ies,ml,+,,,
um05,dicr denu,ml,+,det. C. Schröck,,
um05,hypn jutl,ml,1,det. C. Schröck,,
um05,leuc glau,ml,r,det. C. Schröck,,
um05,pleu schr,ml,+,det. C. Schröck,,
um05,spha cusp,ml,1,det. C. Schröck,,
um05,spha mage,ml,3,det. C. Schröck,,
um05,spha rube,ml,+,det. C. Schröck,,
um06,betu pube slat,hl,r,,,
um06,call vulg,hl,4,,,
um06,moli caer aggr,hl,2b,,,
um06,pinu sylv,hl,r,,,
um06,rhyn alba,hl,r,,,
um06,vacc myrt,hl,2a,,,
um06,vacc ulig,hl,2b,,,
um06,camp pyri,ml,2a,,,
um06,ceph conn,ml,+,,,
um06,clad spec ies,ml,+,det. C. Schröck,,
um06,dicr poly,ml,+,det. C. Schröck,,
um06,hypn jutl,ml,2b,det. C. Schröck,,
um06,pleu schr,ml,2b,det. C. Schröck,,
um06,spha cusp,ml,+,det. C. Schröck,,
um06,spha mage,ml,r,det. C. Schröck,,
