plot;abbr;layer;cover;voucher;comment;history
ve01;tili cord;sl;1;;;
ve01;tili cord;tl2;3;;;
ve01;rham cath;hl;+;;;
ve01;rham cath;sl;+;;;
ve01;quer robu;hl;+;;;
ve01;quer robu;sl;+;;;
ve01;quer robu;tl1;3;;;
ve01;quer robu;tl2;2a;;;
ve01;cory avel;hl;+;;;
ve01;cory avel;sl;1;;;
ve01;loni xylo;hl;+;;;
ve01;loni xylo;sl;+;;;
ve01;acer camp;hl;r;;;
ve01;hede heli;hl;1;;;
ve01;frax exce;hl;+;;;
ve01;acer pseu;hl;+;;;
ve01;acer pseu;tl2;2b;;;
ve01;corn sang slat;hl;+;;;
ve01;corn sang slat;sl;1;;;
ve01;pice abie;tl1;2a;;;
ve01;clem vita;hl;+;;;
ve01;crat mono;hl;+;;;
ve01;crat mono;sl;1;;;
ve01;vibu opul;hl;+;;;
ve01;ligu vulg;hl;+;;;
ve01;lari deci deci;tl1;1;;;
ve01;ulmu glab;hl;r;;;
ve01;popu trem;hl;r;;;
ve01;euon euro;hl;+;;;
ve01;euon euro;sl;+;;;
ve01;care alba;hl;4;;;
ve01;viol coll;hl;r;det. M. Hohla;;
ve01;care digi;hl;+;;;
ve01;care flac;hl;+;;;
ve01;secu vari;hl;r;;;
ve01;fest giga;hl;+;;;
ve01;aego poda;hl;2a;;;
ve01;conv maja maja;hl;1;;;
ve01;cirs palu;hl;r;;;
ve01;tara sect rude;hl;r;;;
ve01;poly mult;hl;+;;;
ve01;cala vari;hl;1;;;
ve01;asar euro euro;hl;r;;;
ve01;brac sylv;hl;1;;;
ve01;ajug rept;hl;+;;;
ve01;salv glut;hl;+;;;
ve01;astr glyc;hl;+;;;
ve01;elym cani;hl;+;;;
ve01;list ovat;hl;+;det. M. Hohla;;
ve01;rubu caes;hl;+;;;
ve01;camp rapu rapu;hl;1;;;
ve01;euph dulc;hl;r;;;
