plot,abbr,layer,cover,voucher,comment,history
wa01,abie alba,hl,r,,,
wa01,acer pseu,hl,+,,,
wa01,acer pseu,sl,2a,,,
wa01,acer pseu,tl1,4,,,
wa01,acer pseu,tl2,3,,,
wa01,acta spic,hl,+,,,
wa01,ajug rept,hl,+,,,
wa01,alnu inca,hl,r,,,
wa01,alnu inca,sl,r,,,
wa01,alnu inca,tl1,2a,,,
wa01,aspl tric quad,hl,r,,,
wa01,brac sylv,hl,+,,,
wa01,camp trac,hl,+,,,
wa01,card trif,hl,1,,,
wa01,care sylv,hl,+,,,
wa01,clin vulg vulg,hl,r,,,
wa01,cory avel,hl,+,,,
wa01,cory avel,sl,2a,,,
wa01,cyst frag,hl,r,,,
wa01,daph meze,hl,r,,,
wa01,desc cesp,hl,1,,,
wa01,dryo cart,hl,r,,,
wa01,dryo fili,hl,2b,,,
wa01,epil mont,hl,r,,,
wa01,equi arve,hl,+,,,
wa01,frax exce,hl,2a,,,
wa01,frax exce,sl,+,,,
wa01,frax exce,tl1,1,,,
wa01,gale mont,hl,1,,,
wa01,gera robe,hl,1,,,
wa01,geum riva,hl,r,,,
wa01,glec hede,hl,r,,,
wa01,impa noli,hl,+,,,
wa01,impa parv,hl,+,,,
wa01,merc pere,hl,3,,,
wa01,oxal acet,hl,1,,,
wa01,pari quad,hl,+,,,
wa01,phyt spic spic,hl,+,,,
wa01,pice abie,hl,r,,,
wa01,pice abie,tl1,1,,,
wa01,pice abie,tl2,2a,,,
wa01,plag nium undu,ml,2b,,,
wa01,poa nemo,hl,+,,,
wa01,poly acul,hl,1,,,
wa01,poly vert,hl,+,,,
wa01,prim elat,hl,+,,,
wa01,prun padu padu,hl,2a,,,
wa01,prun padu padu,sl,2a,,,
wa01,prun padu padu,tl2,1,,,
wa01,pulm offi,hl,+,,,
wa01,ribe rubr,hl,r,,,
wa01,rubu caes,hl,1,,,
wa01,rubu idae,hl,+,,,
wa01,samb nigr,hl,+,,,
wa01,samb nigr,sl,1,,,
wa01,sene ovat ovat,hl,r,,,
wa01,sorb aucu aucu,hl,r,,,
wa01,sorb aucu aucu,sl,r,,,
wa01,stac sylv,hl,1,,,
wa01,tara sect rude,hl,r,,,
wa01,vero mont,hl,r,,,
wa01,vibu opul,hl,+,,,
wa01,vibu opul,sl,1,,,
wa01,viol reic,hl,r,,,
wa02,acer pseu,hl,+,,,
wa02,ajug rept,hl,+,,,
wa02,alnu inca,hl,r,,,
wa02,aneu ping,ml,r,,,
wa02,call cusp,ml,3,,,
wa02,calt palu,hl,+,,,
wa02,camp stel,ml,+,,,
wa02,care flac,hl,2b,,,
wa02,care flav flav,hl,2a,,,
wa02,cirs oler,hl,1,,,
wa02,desc cesp,hl,1,,,
wa02,equi arve,hl,2a,,,
wa02,equi palu,hl,+,,,
wa02,fili ulma,hl,+,,,
wa02,fiss adia,ml,+,,,
wa02,frax exce,hl,+,,,
wa02,gali albu,hl,+,,,
wa02,gera robe,hl,+,,,
wa02,geum riva,hl,+,,,
