plot,abbr,layer,cover,voucher,comment,history
wl01,acer plat,hl,r,,,
wl01,aego poda,hl,+,,,
wl01,aesc hipp,hl,+,,,
wl01,ajug rept,hl,+,,,
wl01,anem nemo,hl,+,,,
wl01,brac sylv,hl,+,,,
wl01,camp trac,hl,+,,,
wl01,care briz,hl,+,,,
wl01,care digi,hl,+,,,
wl01,care orni orni,hl,r,,,
wl01,corn sang slat,hl,2a,,,
wl01,crat laev laev,hl,+,,,
wl01,crat mono,hl,1,,,
wl01,desc cesp,hl,+,,,
wl01,frag vesc,hl,+,,,
wl01,frax exce,hl,+,,,
wl01,geum urba,hl,1,,,
wl01,hera spho spho,hl,r,,,
wl01,ligu vulg,hl,2a,,,
wl01,loni xylo,hl,r,,,
wl01,luzu luzu ides,hl,+,,,
wl01,poly mult,hl,2a,,,
wl01,popu trem,hl,+,,,
wl01,prim elat,hl,1,,,
wl01,prun aviu slat,hl,+,,,
wl01,prun padu padu,hl,1,,,
wl01,quer robu,hl,+,,,
wl01,rham cath,hl,+,,,
wl01,rosa arve,hl,1,,,
wl01,rubu caes,hl,2a,,,
wl01,samb nigr,hl,+,,,
wl01,sorb aucu aucu,hl,+,,,
wl01,tara sect rude,hl,r,,,
wl01,vibu opul,hl,1,,,
wl01,aesc hipp,sl,+,,,
wl01,corn sang slat,sl,2b,,,
wl01,cory avel,sl,+,,,
wl01,crat laev laev,sl,1,,,
wl01,crat mono,sl,2b,,,
wl01,euon euro,sl,+,,,
wl01,ligu vulg,sl,1,,,
wl01,malu dome,sl,r,,,
wl01,prun aviu slat,sl,+,,,
wl01,prun padu padu,sl,1,,,
wl01,rosa arve,sl,+,,,
wl01,samb nigr,sl,+,,,
wl01,vibu opul,sl,+,,,
wl01,crat mono,tl1,+,,,
wl01,frax exce,tl1,1,,,
wl01,prun aviu slat,tl1,2b,,,
wl01,quer robu,tl1,4,,,
wl01,sorb aucu aucu,tl1,+,,,
wl01,acer pseu,tl2,+,,,
wl01,aesc hipp,tl2,1,,,
wl01,carp betu,tl2,+,,,
wl01,frax exce,tl2,1,,,
wl01,prun aviu slat,tl2,1,,,
wl01,prun padu padu,tl2,1,,,
wl01,quer robu,tl2,2b,,,
wl01,sorb aucu aucu,tl2,1,,,
wl01,tili cord,tl2,+,,,
wl02,acer pseu,hl,+,,,
wl02,acta spic,hl,r,,,
wl02,aspl ruta,hl,+,,,
wl02,aspl tric quad,hl,1,,,
wl02,brac sylv,hl,+,,,
wl02,brom ramo,hl,+,,,
wl02,card bulb,hl,+,,,
wl02,card enne,hl,3,,,
wl02,care digi,hl,+,,,
wl02,care poly,hl,+,,,
wl02,care sylv,hl,+,,,
wl02,daph meze,hl,r,,,
wl02,dauc caro caro,hl,r,,,
wl02,dryo fili,hl,+,,,
wl02,euon euro,hl,+,,,
wl02,gale mont,hl,2a,,,
wl02,gali apar,hl,r,,,
wl02,gali odor,hl,2a,,,
wl02,gali sylv,hl,r,,,
wl02,gera robe,hl,+,,,
wl02,hede heli,hl,2a,,,
wl02,hepa nobi,hl,1,,,
wl02,leuc vern,hl,+,,,
wl02,lili mart,hl,+,,,
wl02,loni xylo,hl,+,,,
wl02,merc pere,hl,2b,,,
wl02,mili effu effu,hl,+,,,
wl02,moeh trin,hl,r,,,
wl02,pari quad,hl,+,,,
wl02,phyt spic spic,hl,+,,,
wl02,poly acul,hl,r,,,
wl02,poly mult,hl,+,,,
wl02,prun padu padu,hl,+,,,
wl02,pulm offi,hl,+,,,
wl02,quer robu,hl,r,,,
wl02,salv glut,hl,r,,,
wl02,samb nigr,hl,+,,,
wl02,scro nodo,hl,r,,,
wl02,symp tube slat,hl,+,,,
wl02,taxu bacc,hl,r,,,
wl02,ulmu glab,hl,+,,,
wl02,viol rivi,hl,+,,,
wl02,abie alba,sl,+,,,
wl02,acer pseu,sl,+,,,
wl02,corn sang slat,sl,+,,,
wl02,fagu sylv,sl,+,,,
wl02,prun padu padu,sl,1,,,
wl02,samb nigr,sl,+,,,
wl02,tili plat,sl,+,,,
wl02,ulmu glab,sl,2a,,,
wl02,frax exce,tl1,3,,,
wl02,tili plat,tl1,2b,,,
wl02,ulmu glab,tl1,2a,,,
wl02,fagu sylv,tl2,1,,,
wl02,frax exce,tl2,2a,,,
wl02,hede heli,tl2,+,,,
wl02,prun padu padu,tl2,1,,,
wl02,tili plat,tl2,2b,,,
wl02,ulmu glab,tl2,2a,,,
wl03,abie alba,hl,+,,,
wl03,acon lyco slat,hl,r,,,
wl03,anem nemo,hl,1,,,
wl03,apos foet,hl,2a,,,
wl03,cala vari,hl,+,,,
wl03,card trif,hl,r,,,
wl03,care alba,hl,4,,,
wl03,care digi,hl,+,,,
wl03,care flac,hl,+,,,
wl03,conv maja maja,hl,1,,,
wl03,daph meze,hl,r,,,
wl03,euph amyg amyg,hl,+,,,
wl03,euph dulc,hl,+,,,
wl03,fagu sylv,hl,1,,,
wl03,frax exce,hl,+,,,
wl03,gali sylv,hl,+,,,
wl03,hede heli,hl,+,,,
wl03,hepa nobi,hl,2a,,,
wl03,knau maxi,hl,r,,,
wl03,lili mart,hl,+,,,
wl03,loni xylo,hl,r,,,
wl03,meli nuta,hl,+,,,
wl03,merc pere,hl,+,,,
wl03,phyt spic spic,hl,+,,,
wl03,pren purp,hl,1,,,
wl03,prun aviu slat,hl,r,,,
wl03,rosa pend,hl,+,,,
wl03,soli virg virg,hl,+,,,
wl03,thal aqui,hl,r,,,
wl03,vibu opul,hl,+,,,
wl03,vinc mino,hl,r,,,
wl03,viol reic,hl,+,,,
wl03,acer pseu,sl,+,,,
wl03,corn sang slat,sl,+,,,
wl03,prun aviu slat,sl,r,,,
wl03,sorb aria,sl,r,,,
wl03,sorb aucu aucu,sl,+,,,
wl03,vibu opul,sl,+,,,
wl03,fagu sylv,tl1,3,,,
wl03,frax exce,tl1,2a,,,
wl03,pice abie,tl1,2b,,,
wl03,abie alba,tl2,1,,,
wl03,fagu sylv,tl2,2a,,,
wl03,frax exce,tl2,+,,,
wl03,pice abie,tl2,2b,,,
wl04,acer pseu,hl,+,,,
wl04,anem nemo,hl,+,,,
wl04,apos foet,hl,+,,,
wl04,cala vari,hl,+,,,
wl04,card enne,hl,+,,,
wl04,care alba,hl,3,,,
wl04,care digi,hl,+,,,
wl04,conv maja maja,hl,1,,,
wl04,corn sang slat,hl,+,,,
wl04,cory avel,hl,+,,,
wl04,daph meze,hl,+,,,
wl04,euph amyg amyg,hl,+,,,
