taxon,matched.taxon
Pinus sylvestris,Pinus sylvestris
Pinus sylvestris,Pinus sylvestris
Pinus sylvestris,Pinus sylvestris
Sorbus aria,Sorbus aria s.str.
Sorbus aria,Sorbus aria s.str.
Sorbus aria,Sorbus aria s.str.
Fraxinus ornus,Fraxinus ornus
Fraxinus ornus,Fraxinus ornus
Fraxinus ornus,Fraxinus ornus
Ostrya carpinifolia,Ostrya carpinifolia
Acer platanoides,Acer platanoides
Acer platanoides,Acer platanoides
Acer platanoides,Acer platanoides
Acer pseudoplatanus,Acer pseudoplatanus
Acer pseudoplatanus,Acer pseudoplatanus
Acer pseudoplatanus,Acer pseudoplatanus
Fagus sylvatica,Fagus sylvatica
Fagus sylvatica,Fagus sylvatica
Fagus sylvatica,Fagus sylvatica
Tilia cordata,Tilia cordata
Tilia cordata,Tilia cordata
Tilia cordata,Tilia cordata
Prunus avium,Prunus avium s.lat.
Prunus avium,Prunus avium s.lat.
Prunus avium,Prunus avium s.lat.
Betula pendula,Betula pendula
Betula pendula,Betula pendula
Betula pendula,Betula pendula
Ulmus glabra,Ulmus glabra
Ulmus glabra,Ulmus glabra
Ulmus glabra,Ulmus glabra
Fraxinus excelsior,Fraxinus excelsior
Fraxinus excelsior,Fraxinus excelsior
Fraxinus excelsior,Fraxinus excelsior
Tilia platyphyllos,Tilia platyphyllos
Tilia platyphyllos,Tilia platyphyllos
Tilia platyphyllos,Tilia platyphyllos
Larix decidua,Larix decidua
Larix decidua,Larix decidua
Larix decidua,Larix decidua
Populus tremula,Populus tremula
Populus tremula,Populus tremula
Populus tremula,Populus tremula
Sorbus aucuparia,Sorbus aucuparia s.lat.
Sorbus aucuparia,Sorbus aucuparia s.lat.
Sorbus aucuparia,Sorbus aucuparia s.lat.
Picea abies,Picea abies
Picea abies,Picea abies
Picea abies,Picea abies
Quercus petraea,Quercus petraea s.lat.
Quercus petraea,Quercus petraea s.lat.
Quercus petraea,Quercus petraea s.lat.
Quercus robur,Quercus robur
Quercus robur,Quercus robur
Quercus robur,Quercus robur
Juglans regia,Juglans regia
Juglans regia,Juglans regia
Juglans regia,Juglans regia
Prunus padus,Prunus padus s.lat.
Prunus padus,Prunus padus s.lat.
Taxus baccata,Taxus baccata
Taxus baccata,Taxus baccata
Malus sylvestris,Malus sylvestris
Malus sylvestris,Malus sylvestris
Pyrus pyraster,Pyrus pyraster
Pyrus pyraster,Pyrus pyraster
Prunus spinosa,Prunus spinosa
Prunus spinosa,Prunus spinosa
Sambucus nigra,Sambucus nigra
Sambucus nigra,Sambucus nigra
Viburnum opulus,Viburnum opulus
Viburnum opulus,Viburnum opulus
Evonymus latifolia,Euonymus latifolius
Evonymus latifolia,Euonymus latifolius
Viburnum lantana,Viburnum lantana
Viburnum lantana,Viburnum lantana
Cornus sanguinea,Cornus sanguinea s.lat.
Cornus sanguinea,Cornus sanguinea s.lat.
Juniperus communis,Juniperus communis ssp. communis
Juniperus communis,Juniperus communis ssp. communis
Amelanchier ovalis,Amelanchier ovalis
Amelanchier ovalis,Amelanchier ovalis
Frangula alnus,Frangula alnus
Frangula alnus,Frangula alnus
Berberis vulgaris,Berberis vulgaris
Berberis vulgaris,Berberis vulgaris
Clematis vitalba,Clematis vitalba
Clematis vitalba,Clematis vitalba
Corylus avellana,Corylus avellana
Corylus avellana,Corylus avellana
