plot;variable;value
wh01a;altitude;464
wh02a;altitude;491
wh02b;altitude;451
wh02c;altitude;488
wh02d;altitude;517
wh03a;altitude;487
wh04a;altitude;490
wh05a;altitude;503
wh06a;altitude;484
wh06b;altitude;470
wh07a;altitude;467
wh08a;altitude;471
wh08b;altitude;470
wh09a;altitude;495
wh09b;altitude;486
wh10a;altitude;469
wh10b;altitude;497
wh11a;altitude;395
wh11b;altitude;426
wh12a;altitude;0
wh12b;altitude;418
wh13a;altitude;421
wh14a;altitude;426
wh15a;altitude;420
wh16a;altitude;0
wh17a;altitude;408
wh18a;altitude;407
wh01a;comment;
wh02a;comment;
wh02b;comment;
wh02c;comment;
wh02d;comment;
wh03a;comment;
wh04a;comment;
wh05a;comment;
wh06a;comment;
wh06b;comment;
wh07a;comment;
wh08a;comment;
wh08b;comment;
wh09a;comment;
wh09b;comment;
wh10a;comment;
wh10b;comment;
wh11a;comment;
wh11b;comment;
wh12a;comment;
wh12b;comment;
wh13a;comment;
wh14a;comment;
wh15a;comment;
wh16a;comment;
wh17a;comment;
wh18a;comment;
wh01a;cov;100
wh02a;cov;99
wh02b;cov;99
wh02c;cov;99
wh02d;cov;99
wh03a;cov;99
wh04a;cov;100
wh05a;cov;99
wh06a;cov;100
wh06b;cov;98
wh07a;cov;98
wh08a;cov;100
wh08b;cov;99
wh09a;cov;100
wh09b;cov;100
wh10a;cov;100
wh10b;cov;100
wh11a;cov;95
wh11b;cov;93
wh12a;cov;95
wh12b;cov;95
wh13a;cov;98
wh14a;cov;95
wh15a;cov;100
wh16a;cov;15
wh17a;cov;80
wh18a;cov;95
wh01a;date;2010-09-12
wh02a;date;2010-09-12
wh02b;date;2010-09-12
wh02c;date;2010-09-13
wh02d;date;2010-09-13
wh03a;date;2010-09-12
wh04a;date;2010-09-12
wh05a;date;2010-09-12
wh06a;date;2010-09-12
wh06b;date;2010-09-12
wh07a;date;2010-09-12
wh08a;date;2010-09-12
wh08b;date;2010-09-12
wh09a;date;2010-09-13
wh09b;date;2010-09-13
wh10a;date;2010-09-13
wh10b;date;2010-09-13
wh11a;date;2010-09-15
wh11b;date;2010-09-15
wh12a;date;2010-09-15
wh12b;date;2010-09-15
wh13a;date;2010-09-15
wh14a;date;2010-09-15
wh15a;date;2010-09-15
wh16a;date;2010-09-15
wh17a;date;2010-09-15
wh18a;date;2010-09-15
wh01a;expo;F
wh02a;expo;F
wh02b;expo;F
wh02c;expo;F
wh02d;expo;F
wh03a;expo;F
wh04a;expo;F
wh05a;expo;F
wh06a;expo;F
wh06b;expo;F
wh07a;expo;F
wh08a;expo;F
wh08b;expo;F
wh09a;expo;F
wh09b;expo;F
wh10a;expo;F
wh10b;expo;F
wh11a;expo;W
wh11b;expo;W
wh12a;expo;W
wh12b;expo;W
wh13a;expo;NW
wh14a;expo;N
wh15a;expo;N
wh16a;expo;N
wh17a;expo;F
wh18a;expo;F
wh01a;hcov;7
wh02a;hcov;70
wh02b;hcov;75
wh02c;hcov;75
wh02d;hcov;80
wh03a;hcov;1
wh04a;hcov;3
wh05a;hcov;5
wh06a;hcov;80
wh06b;hcov;75
