plot;cov;tcov1;tcov2;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;stones;bare;date;altitude;accuracy;latitude;longitude;observer;alliance;association.abbr;typical.sample;location;snowmelt;soil;soil.depth;soil.comment;comment
lf01;97;0;0;0;96;10;0;0;0;0,5;0,05;4;4;S;15;1;0;2;2011-08-02;1694;4;47.212891N;13.494839E;T. Eberl & R. Kaiser;Poion alpinae;cre fes com;no;Lantschfeldtal;intermediate;;;;
lf02;95;0;0;0;70;70;0;0;0;0,4;0,02;4;4;S;20;5;0;0;2011-08-02;1703;9,1;47.212967N;13.494008E;T. Eberl & R. Kaiser;Onobrychido viciifoliae-Brometum;car acu bro tha ver;no;Lantschfeldtal;early;;;;
lf03;97;0;0;0;90;35;0;0;0;0,45;0,1;4;4;S;20;2;0;1;2011-08-02;1700;7,9;47.213252N;13.493461E;T. Eberl & R. Kaiser;Onobrychido viciifoliae-Brometum;car acu bro tha ver;yes;Lantschfeldtal;early;;;;
lf04;94;0;0;0;85;15;0;0;0;0,6;0,15;4;4;S;35;5;0;1;2011-08-02;1721;7,6;47.213494N;13.492791E;T. Eberl & R. Kaiser;Seslerion coeruleae;ses car sem;no;Lantschfeldtal;intermediate;;;;
lf05;95;0;0;0;94;3;0;0;0;0,6;0,1;4;4;S;35;1;0;4;2011-08-02;1739;9,4;47.213906N;13.490738E;T. Eberl & R. Kaiser;Seslerion coeruleae;ses car sem nar str;no;Lantschfeldtal;intermediate;;;;
lf06;93;0;0;0;90;20;0;0;0;0,6;0,1;4;4;S;30;2;0;5;2011-08-02;1764;7,5;47.213960N;13.489297E;T. Eberl & R. Kaiser;Magnocaricion elatae;car pan;no;Lantschfeldtal;late;Quelltorf;;;
lf07;98;0;0;3;50;85;0;0;0;0,2;0,1;0,5;20;S;40;2;0;0;2011-08-02;1766;8,1;47.213953N;13.489111E;T. Eberl & R. Kaiser;Cratoneurion;cra fal;no;Lantschfeldtal;early;Quelltorf;;;
lf08;90;0;0;0;88;5;0;0;0;0,4;0,05;4;4;S;25;10;0;2;2011-08-03;1723;6,1;47.213364N;13.489021E;T. Eberl & R. Kaiser;Seslerion coeruleae;ses car sem nar str;no;Lantschfeldtal;late;;;;
lf09;95;65;15;10;85;20;25;15;2,5;0,8;0,15;16;16;S;25;4;0;1;2011-08-03;1759;8,8;47.213454N;13.487361E;T. Eberl & R. Kaiser;Pinion mugo;rho lar;no;Lantschfeldtal;late;Braunerde;;;
lf10;95;0;0;0;95;3;0;0;0;0,7;0,1;4;4;S;15;0;0;0;2011-08-03;1782;7,4;47.213786N;13.485795E;T. Eberl & R. Kaiser;Poion alpinae;cre fes com;no;Lantschfeldtal;intermediate;;;;
