plot;abbr;layer;cov;voucher.flag;voucher;tested;comment;history
lf01;achi mill aggr;hl;1;;;;;
lf01;agro capi;hl;+;;;;;
lf01;alch sect alch;hl;3;voucher;;;Alchemilla micans: 2b, eine weitere Art, nicht besammelt: 1!;
lf01;anth vuln alpi;hl;+;;;;;
lf01;briz medi;hl;+;;;;;
lf01;camp sche;hl;+;;;;;
lf01;care cary;hl;+;;;;;
lf01;care lepo;hl;+;;;;;
lf01;care nigr;hl;+;;;;;
lf01;care pall;hl;1;;;;;
lf01;caru carv;hl;+;;;;;
lf01;cera holo;hl;+;;;;;
lf01;coel viri;hl;r;;;;;
lf01;dact glom glom;hl;+;;;;;
lf01;desc cesp;hl;2b;;;;;
lf01;euph mini;hl;+;x;;;;
lf01;fest nigr cens;hl;2a;voucher;;;;
lf01;fest rubr slat;hl;1;;;;;
lf01;gali anis;hl;1;;;;;
lf01;gent vern vern;hl;1;voucher;;;;
lf01;gera sylv;hl;+;;;;;
lf01;geum mont;hl;+;;;;;
lf01;homa pube laev;hl;2a;;;;;
lf01;hype macu;hl;+;;;;;
lf01;lotu corn slat;hl;+;;;;;
lf01;luzu alpi na;hl;+;;;;;
lf01;myos alpe;hl;+;;;;;
lf01;pers bist;hl;1;;;;;
lf01;phle rhae;hl;1;;;;;
lf01;phyt orbi;hl;1;;;;;
lf01;plan medi;hl;+;;;;;
lf01;poa alpi;hl;1;;;;;
lf01;pote cran;hl;+;voucher;;;;
lf01;pote erec;hl;1;;;;;
lf01;prun vulg;hl;1;;;;;
lf01;ranu acri acri;hl;1;;;;;
lf01;ranu nemo;hl;+;;;;;
lf01;ranu repe;hl;+;;;;;
lf01;rume alpe;hl;1;;;;;
lf01;sesl caer;hl;+;;;;;
lf01;thym prae poly;hl;1;voucher;;;;
lf01;trif badi;hl;+;;;;;
lf01;trif prat prat;hl;1;;;;;
lf01;trif repe repe;hl;1;;;;;
lf01;vero cham cham;hl;1;;;;;
lf01;abie abie abie;ml;+;;;det. C. Schröck;;
lf01;brac glar glar;ml;2a;;;det. C. Schröck;;
lf01;bryu capi;ml;+;;;det. C. Schröck;;
lf01;pelt rufe;ml;+;voucher;;det. R. Türk;;
lf01;plat jung;ml;+;;;det. C. Schröck;;
lf01;tort tort;ml;+;;;det. C. Schröck;;
lf02;achi mill aggr;hl;+;;;;;
lf02;agro alpi;hl;1;;;;;
lf02;ante dioi;hl;1;;;;;
lf02;anth alpi;hl;1;;;;;
lf02;anth vuln alpi;hl;2a;;;;;
lf02;bell mich;hl;+;;;;;
lf02;briz medi;hl;2a;;;;;
lf02;call vulg;hl;+;;;;;
lf02;camp coch;hl;+;;;;;
lf02;camp sche;hl;1;;;;;
lf02;care capi;hl;+;;;;;
lf02;care cary;hl;2b;;;;;
lf02;care nigr;hl;1;;;;;
lf02;care pall;hl;1;;;;;
lf02;care pani;hl;1;;;;;
lf02;carl acau acau;hl;+;;;;;
lf02;caru carv;hl;+;;;;;
lf02;cera holo;hl;+;;;;;
lf02;erig glab glab;hl;1;voucher;;;;
lf02;euph mini;hl;+;voucher;;;;
lf02;fest nigr cens;hl;1;voucher;;;;
lf02;fest rubr slat;hl;+;;;;;
lf02;fest stri sulc;hl;1;voucher;;;;
lf02;gali anis;hl;1;;;;;
lf02;gent spec ies;hl;+;voucher;;;;
lf02;gent vern vern;hl;1;;;;;
lf02;hier pilo ella;hl;1;voucher;;;;
lf02;hipp como;hl;+;;;;;
lf02;homa pube laev;hl;2a;;;;;
lf02;koel pyra pyra;hl;2b;voucher;;;;
lf02;leuc vulg aggr;hl;+;;;;;
lf02;lotu corn slat;hl;+;;;;;
lf02;luzu camp;hl;+;;;;;
lf02;nard stri;hl;+;;;;;
lf02;phyt orbi;hl;2a;;;;;
lf02;pimp majo slat;hl;+;;;;;
lf02;pimp saxi slat;hl;+;;;;;
lf02;ping alpi;hl;r;;;;;
lf02;plan medi;hl;+;;;;;
lf02;poly alpe alpe;hl;+;voucher;;;;
lf02;pote cran;hl;1;;;;;
lf02;pote erec;hl;+;;;;;
lf02;prim mini;hl;+;;;;;
lf02;puls vern;hl;+;voucher;;;;
lf02;ranu nemo;hl;+;;;;;
lf02;sela sela;hl;+;;;;;
lf02;sile acau exsc;hl;1;;;;;
lf02;thym prae poly;hl;1;voucher;;;;
lf02;thym pule pule;hl;1;voucher;;;;
lf02;tofi caly;hl;+;;;;;
lf02;trif mont mont;hl;+;;;;;
lf02;trif prat prat;hl;+;;;;;
lf02;vacc myrt;hl;+;;;;;
lf02;vero frut cans;hl;+;voucher;;;;
lf02;abie abie abie;ml;2a;;;det. C. Schröck;;
lf02;cetr muri;ml;+;voucher;;det. R. Türk;;
lf02;clad cris cris;ml;+;voucher;;det. R. Türk;;
lf02;clad macr eras;ml;+;voucher;;det. R. Türk;;
lf02;clad rang;ml;2b;;;;;
lf02;clad symp;ml;+;voucher;;det. R. Türk;;
