taxon,matched.taxon
Limosella aquatica,Limosella aquatica
Agrostis stolonifera,Agrostis stolonifera s.str.
Cyperus fuscus,Cyperus fuscus
Juncus bufonius,Juncus bufonius s.str.
Alisma plantago-aquatica,Alisma plantago-aquatica s.str.
Alopecurus aequalis,Alopecurus aequalis
Chara sp.,Chara sp.
Ranunculus sceleratus,Ranunculus sceleratus
Glyceria plicata,Glyceria notata
Gnaphalium uliginosum,Gnaphalium uliginosum
Eleocharis palustris,Eleocharis palustris ssp. palustris
Rorippa palustris,Rorippa palustris
Bidens tripartita,Bidens tripartita
Trifolium hybridum,Trifolium hybridum s.lat.
Prunella vulgaris,Prunella vulgaris
Centaurium pulchellum,Centaurium pulchellum
Lythrum hyssopifolia,Lythrum hyssopifolia
Juncus articulatus,Juncus articulatus
Juncus inflexus,Juncus inflexus
Plantago major,Plantago major ssp. major
Polygomum aviculare,Polygonum aviculare s.lat.
Erigeron annuits ssp. septentrionalis,Erigeron annuus ssp. septentrionalis
Ranunculus repens,Ranunculus repens
Tripleurospermum inodorum,Tripleurospermum inodorum
Polygonum hydropiper,Persicaria hydropiper
Veronica beccabunga,Veronica beccabunga
Deschampsia cespitosa,Deschampsia cespitosa
Echinochloa crus-galli,Echinochloa crus-galli s.lat.
Lycopus europaeus,Lycopus europaeus ssp. europaeus
Epilobium tetragonum,Epilobium tetragonum s.lat.
Juncus effusus,Juncus effusus ssp. effusus
Eleocharis austriaca,Eleocharis mamillata ssp. austriaca
Juncus compressus,Juncus compressus s.str.
Plantago lanceolata,Plantago lanceolata
Polygonum persicaria,Persicaria maculosa
Salix purpurea,Salix purpurea
Anagallis arvensis,Anagallis arvensis
Matricaria discoides,Matricaria discoidea
Chaenorhinum minus,Microrrhinum minus s.str.
Rumex crispus,Rumex crispus
Leontodon autumnalis,Scorzoneroides autumnalis
Lotus corniculatus,Lotus corniculatus s.str.
Festuca pratensis,Festuca pratensis s.str.
Lolium perenne,Lolium perenne
Phleum pratense,Phleum pratense s.str.
Poa annua,Poa annua ssp. annua
