taxon;layer;413;438A;332;414;418
Carex atrofusca;hl;2;2;3;2;2
Carex bicolor;hl;;+;;+;
Kobresia simpliciuscula;hl;+;+;;;
Tofieldia pusilla;hl;+;;+;;
Saxifraga aizoides;hl;1;3;1;2;+
Persicaria vivipara;hl;;1;1;1;+
Carex firma;hl;;;3;2;
Saxifraga oppositifolia;hl;;+;1;1;
Pedicularis rostrato-capitata;hl;;;+;1;
Carex frigida;hl;1;;;;1
Parnassia palustris;hl;;;;+;+
Cratoneuron falcatum;ml;;+;;;+
Aster bellidiastrum;hl;;;;;+
Pinguicula aipina;hl;;;;+;
Agrostis aipina;hl;;;;2;
Salix serpyllifolia;hl;;;;1;
Euphrasia salisburgensis;hl;;;;+;
Sesleria albicans;hl;;;+;;
Kobresia myosuroides;hl;+;;;;
Linaria aipina;hl;;;;+;
Festuca pumila;hl;;;;+;
Salix retusa;hl;;;;;+
Salix reticulata;hl;;;3;;
Gentiana prostrata;hl;;;;+;
Saxifraga caesia;hl;;;;+;
Carex parviflora;hl;;2;;;
Silene exscapa;hl;;+;;;
Minuartia sedoides;hl;;+;;;
