taxon;layer;952;446B;419;415;179;439;437;146A;148;158;173;187;411;412;417
Carex bicolor;hl;2;3;2;2;3;2;3;2;3;2;2;2;2;3;2
Equisetum variegatum;hl;2;;;;1;+;+;;;;;;;;
Tofieldia pusilla;hl;+;;;;;;;;;;;;;;
Juncus triglumis;hl;1;+;;;1;;+;+;;;;1;;;+
Saxifraga aizoides;hl;+;2;+;;;3;;;2;;+;+;1;;
Persicaria vivipara;hl;;1;;+;;+;2;;+;;2;+;1;;
Poa alpina;hl;;1;;+;;;;+;+;;;1;;;
Bartsia alpina;hl;;;+;2;;;+;;;;;;+;;+
Salix retusa;hl;+;1;;;1;;+;;+;;+;;+;;+
Salix breviserrata;hl;;;;;;;;;;+;;;;;
Salix reticulata;hl;;;;+;;;;;;;;;;;
Salix serpyllifolia;hl;;;;+;;;;;;;;;;2;
Salix waldsteiniana;hl;;;;;r;;;;;+;;;;;
Achillea moschata;hl;;;;;;;r;;;+;+;;+;;
Trifolium pallescens;hl;+;;;;;;;+;;;;;;;
Cerastium uniflorum;hl;;;;;;;;;+;;;;;;
Carex parviflora;hl;;+;;;;;;+;;;;;1;;
Achillea atrata;hl;;;;+;;;;;;;;;;;
Saxifraga oppositifolia;hl;;;;+;;;;;;;;;;+;1
Arabis soyeri ssp. subcoriacea;hl;;;;;;;;;;;+;;;;
Festuca pumila;hl;;;;;;;;;;;;;;;
Agrostis rupestris;hl;+;;;;;;;+;;+;;+;;;
Carex frigida;hl;+;;;;3;;1;;;;;1;2;;
Parnassia palustris;hl;;;;;+;;;;;;;1;+;;
Silene exscapa;hl;;;;;;;+;;+;;;;;+;+
Carex bipartita;hl;;;;;;;;1;;;;;;;
Salix herbacea;hl;;;+;;;;;;;;;;;;
Solorina bispora ssp. bispora;hl;;;;;;;;;;;;;;+;
Veronica alpina;hl;;;+;;;;;;;;;;;;
Euphrasia minima;hl;;;;;;;+;;+;;;;+;;
Artemisia mutellina;hl;;;;;;;;+;;;;;;;
Gentiana bavarica;hl;;1;;;;;;;;+;;;;+;
Trifolium pratense ssp. nivale;hl;;;;;;;;;;;+;+;;;
Deschampsia cespitosa;hl;+;;+;;;+;;;;+;;2;1;;
Leontodon helveticus;hl;;;;;;;;+;;;;;;;
Lotus corniculatus;hl;;;;;;;;;;+;;;;;
Ranunculus montanus;hl;;;;;;;;;;;+;;;;
Sesleria albicans;hl;;;;;;;+;;;;;1;;;
Ranunculus acris;hl;;;;;;;;;;;;1;;;
Campanula scheuchzeri;hl;;;;;;;;;;;;1;;;
Prunella vulgaris;hl;;;;;;;;;;;;+;;;
Gypsophila repens;hl;;;;;;;;;;;+;;;;
Veronica aphylla;hl;;;;;;;;;;;+;;;;
Carex capillaris;hl;;;;;;;+;;;;+;1;+;;
Oxytropis halleri;hl;;;;;;;;;;;+;;;;
Primula farinosa;hl;;;;;r;;;;;;;;;;
Festuca sp.;hl;;;;;;;;;;;;2;;;
Leontodon hispidus;hl;;;;;;;;;;;;2;;;
Carex atrata;hl;;;;;;;;;;;;+;1;;
Achillea millefolium;hl;;;;;;;;;;;;+;;;
Achillea fissa;hl;;;;;;;;;;;;+;;;
Polygala alpestris;hl;;;;;;;;;;;;+;;;
Juncus alpinoarticulatus;hl;;;;;;;;;;;;+;;;
Trifolium badium;hl;;;;;;;;;;;;+;;;
Tofieldia calyculata;hl;;;;;;;;;;+;;;;;
Juncus jacquinii;hl;;+;;;;;;;;;;+;;;
Carex firma;hl;;;;+;;;r;;;;;;;;
Minuartia gerardii;hl;;;;;;+;;;;;;;;;
Carex sempervirens;hl;;;;;;;1;;;;;;;;
Pedicularis aspleniifolia;hl;;;;;;;;;;;;;+;;
Ranunculus alpestris;hl;;;;+;;;;;;;;;;;
Thamnolia vermicularis;ml;;;;;;;;;;;;;;+;
Doronicum glaciale;hl;;;;;;;;;;;;;;+;
Astragalus australis;hl;;;;;;;+;;;;;;;;
Cratoneuron falcatum;ml;;1;;;;;;;;;;;;;
