plot;latitude;longitude;accuracy;date;elevation;expo;slope;pls;location;alliance;association
952;47.002675;12.981192;1000;2007-01-01;2190;F;0;4;Spittal a. d. Dr., Alp. Schwemmland mit Mooranteilen im Talschluss der Kl. Zirknitz SE vom Kegelesee;Caricion bicoloris-atrofuscae;Carex bicolor-Gesellschaft
446B;47.041440;12.719973;500;2006-01-01;2580;F;0;4;Kals am Großglockner, Alpines Schwemmland am Glatzberg;Caricion bicoloris-atrofuscae;Carex bicolor-Gesellschaft
419;47.093150;12.958800;200;2005-01-01;2180;F;0;1;Rauris, Alluvionen des Ritterkares;Caricion bicoloris-atrofuscae;Carex bicolor-Gesellschaft
415;47.071466;12.844120;2000;2005-01-01;2230;F;0;0,5;Heiligenblut, Alpines Schwemmland im Nordteil des Nassfeldes an der Großglockner Hochalpenstraße;Caricion bicoloris-atrofuscae;Carex bicolor-Gesellschaft
179;47.017526;12.242371;500;2005-01-01;2060;F;0;1;Prägraten, Alpines Schwemmland im Umbaltal nordwestlich der Clarahütte;Caricion bicoloris-atrofuscae;Carex bicolor-Gesellschaft
439;47.043560;12.730749;500;2005-01-01;2570;F;0;4;Heiligenblut, Schwemmland östlich der Salmhütte 2;Caricion bicoloris-atrofuscae;Carex bicolor-Gesellschaft
437;47.038340;12.666715;300;2005-01-01;2190;F;0;1;Kals am Großglockner, Alpines Schwemmland im Teischnitzbachtal südsüdwestlich der Pifanghütte;Caricion bicoloris-atrofuscae;Carex bicolor-Gesellschaft
146A;47.079475;12.349293;200;2005-01-01;2490;SW;3;1;Prägraten, Alpines Schwemmland am Zettalunitzbach 2,05 km Ostnordost der Johannishütte;Caricion bicoloris-atrofuscae;Carex bicolor-Gesellschaft
148;47.057990;12.374847;300;2005-01-01;2550;F;0;4;Prägraten, Alpines Schwemmland im Talschluss des Timmeltales;Caricion bicoloris-atrofuscae;Carex bicolor-Gesellschaft
158;47.057435;12.459684;300;2005-01-01;2100;F;0;1;Matrei in Osttirol, Alpines Schwemmland am Malfrosnitzbach 1,2 km südsüdwestlich der Dabernitzhöhe;Caricion bicoloris-atrofuscae;Carex bicolor-Gesellschaft
173;47.002500;12.138592;200;2005-01-01;2255;S;3;0,5;St. Jakob in Defereggen, Alpines Schwemmland im Talschluss des Arventales;Caricion bicoloris-atrofuscae;Carex bicolor-Gesellschaft
187;47.042405;12.566550;500;2005-01-01;1950;F;0;4;Matrei in Osttirol, Alpines Schwemmland am Steiner Bach;Caricion bicoloris-atrofuscae;Carex bicolor-Gesellschaft
411;47.048765;12.670709;300;2005-01-01;2260;S;2;1;Kals am Großglockner, Alpines Schwemmland im Teischnitzbachtal 0,5 km nördlich der Pifanghütte;Caricion bicoloris-atrofuscae;Carex bicolor-Gesellschaft
412;47.093267;12.729279;500;2005-01-01;2540;F;0;0,5;Heiligenblut, Alpines Schwemmland im Wasserfallwinkel oberhalb der Pasterze;Caricion bicoloris-atrofuscae;Carex bicolor-Gesellschaft
417;47.088592;12.736066;750;2005-01-01;2370;W;30;0,25;Heiligenblut, Rieselflur oberhalb vom Gamsgrubenweg 3;Caricion bicoloris-atrofuscae;Carex bicolor-Gesellschaft
