plot,date,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,latitude,longitude,accuracy,elevation,soil,location,comment,alliance,observer
ytx01,,,,,,,,,,,,,10,25,,,,,,47.92949,14.82347,10,,,"Ybbstal, Eibenbach","planned, easy",Tilenion platyphylli,R. Kaiser
ytx02,,,,,,,,,,,,,16,16,,,,,,47.93006,14.82728,20,,,"Ybbstal, Eibenbach","planned, easy",Tilenion platyphylli,R. Kaiser
ytx03,,,,,,,,,,,,,16,16,,,,,,47.93000,14.82761,20,,,"Ybbstal, Eibenbach","planned, easy",Tilenion platyphylli,R. Kaiser
ytx04,,,,,,,,,,,,,16,16,,,,,,47.88256,14.81932,10,,,"Ybbstal, Opponitz","planned, easy",Tilenion platyphylli,R. Kaiser
ytx05,,,,,,,,,,,,,16,16,,,,,,47.88297,14.81872,20,,,"Ybbstal, Opponitz","planned, easy",Tilenion platyphylli,R. Kaiser
ytx06,,,,,,,,,,,,,16,16,,,,,,47.88313,14.81851,20,,,"Ybbstal, Opponitz","planned, easy",Tilenion platyphylli,R. Kaiser
ytx07,,,,,,,,,,,,,16,16,,,,,,47.91525,14.83716,10,,,"Ybbstal, Unterwenden","planned, short rope",Eu-Fagenion,R. Kaiser
ytx08,,,,,,,,,,,,,16,16,,,,,,47.91565,14.83745,20,,,"Ybbstal, Unterwenden","planned, easy",Cephalanthero-Fagenion,R. Kaiser
ytx09,,,,,,,,,,,,,16,16,,,,,,47.91509,14.83899,10,,,"Ybbstal, Unterwenden","planned, short rope",Tilenion platyphylli,R. Kaiser
ytx10,,,,,,,,,,,,,10,25,,,,,,47.92856,14.89966,10,,,"Prollingbachtal, Prollinghöhe","planned, moderate climb",Tilenion platyphylli,R. Kaiser
ytx11,,,,,,,,,,,,,16,16,,,,,,47.92847,14.89983,10,,,"Prollingbachtal, Prollinghöhe","planned, moderate climb",Tilenion platyphylli,R. Kaiser
ytx12,,,,,,,,,,,,,16,16,,,,,,47.93855,14.90228,10,,,"Prollingbachtal, Die Noth","planned, moderate climb",Tilenion platyphylli,R. Kaiser
ytx13,,,,,,,,,,,,,16,16,,,,,,47.93868,14.90211,10,,,"Prollingbachtal, Die Noth","planned, difficult climb",Tilenion platyphylli,R. Kaiser
ytx14,,,,,,,,,,,,,16,16,,,,,,47.92404,15.11656,20,,,"Erlauftal, Urmannsberg","planned, easy",Tilenion platyphylli,R. Kaiser
ytx15,,,,,,,,,,,,,16,16,,,,,,47.92437,15.11743,20,,,"Erlauftal, Urmannsberg","planned, easy",Tilenion platyphylli,R. Kaiser
ytx16,,,,,,,,,,,,,16,16,,,,,,47.92465,15.11793,20,,,"Erlauftal, Urmannsberg","planned, big shot",Tilenion platyphylli,R. Kaiser
ytx17,,,,,,,,,,,,,16,16,,,,,,47.92483,15.11863,20,,,"Erlauftal, Urmannsberg","planned, big shot",Tilenion platyphylli,R. Kaiser
ytx18,,,,,,,,,,,,,16,16,,,,,,47.92489,15.11899,20,,,"Erlauftal, Urmannsberg","planned, big shot",Tilenion platyphylli,R. Kaiser
ytx19,,,,,,,,,,,,,16,16,,,,,,47.92494,15.11939,20,,,"Erlauftal, Urmannsberg","planned, big shot",Tilenion platyphylli,R. Kaiser
ytx20,,,,,,,,,,,,,16,16,,,,,,47.92510,15.11933,20,,,"Erlauftal, Urmannsberg","planned, moderate climb",Tilenion platyphylli,R. Kaiser
ytx21,,,,,,,,,,,,,16,16,,,,,,47.92505,15.11907,20,,,"Erlauftal, Urmannsberg","planned, short rope",Tilenion platyphylli,R. Kaiser
ytx22,,,,,,,,,,,,,16,16,,,,,,47.92479,15.11825,20,,,"Erlauftal, Urmannsberg","planned, moderate climb",Tilenion platyphylli,R. Kaiser
ytx23,,,,,,,,,,,,,16,16,,,,,,47.92388,15.14917,20,,,"Erlauftal, Hochkogel","planned, difficult climb",Tilenion platyphylli,R. Kaiser
ytx24,,,,,,,,,,,,,16,16,,,,,,47.92318,15.14864,20,,,"Erlauftal, Hochkogel","planned, easy",Tilenion platyphylli,R. Kaiser
ytx25,,,,,,,,,,,,,16,16,,,,,,47.92291,15.14835,20,,,"Erlauftal, Hochkogel","planned, easy",Tilenion platyphylli,R. Kaiser
ytx26,,,,,,,,,,,,,16,16,,,,,,47.92370,15.15044,20,,,"Erlauftal, Hochkogel","planned, easy",Tilenion platyphylli,R. Kaiser
ytx27,,,,,,,,,,,,,16,16,,,,,,47.96438,15.16560,10,,,"Erlauftal, Peutenburger Felsen","planned, easy climb",Tilenion platyphylli,R. Kaiser
ytx28,,,,,,,,,,,,,16,16,,,,,,47.96449,15.16576,10,,,"Erlauftal, Peutenburger Felsen","planned, moderate climb",Tilenion platyphylli,R. Kaiser
ytx29,,,,,,,,,,,,,10,25,,,,,,47.96466,15.16612,10,,,"Erlauftal, Peutenburger Felsen","planned, short rope",Tilenion platyphylli,R. Kaiser
