"Makrorelief";
1;"Ebene"
2;"Plateau"
3;"Talboden"
4;"Hang"
5;"Hügel"
6;"Bergspitz"
"Mesorelief";
1;"Verebnung"
2;"Rücken"
3;"Mulde"
4;"Böschung"
5;"Schlucht"
6;"Oberhang"
"Wasserhaushalt1";
1;"trocken"
2;"mäßig trocken"
3;"frisch"
4;"sehr frisch"
5;"feucht"
6;"nass"
7;"Wechselfeucht"
8;"Wechseltrocken"
10;"Gewässer"
"Expositon";
1;"N"
2;"NE"
3;"E"
4;"SE"
5;"S"
6;"SW"
7;"W"
8;"NW"
9;"homogen"
"Inklination";
1;"eben (0°)"
2;"flach (- 5°)"
3;"geneigt (5-20°)"
4;"steil (20-40°)"
5;"sehr steil (>40°)"
