plot;date;observer;location;longitude;latitude;accuracy;plsx;plsy;cov;mcov;hcov;scov;tl2cov;tl1cov;hhl1;hhl2;hsl;htl2;htl1;makro.relief;meso.relief;hydrology;expo;slope;ffhcode;ffhcode.additional;biotope.type;biotope.type.additional;association;mixed.community;syntaxon.additional;comment
54-W-M;2011-06-07;Yvonne Schneemann;Matzendorf;14.916687E;48.109710N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;1;;;Ahorn-Eschenauwald;;Carici pendulae-Aceretum pseudoplatani;;;
54a-W-M;2011-06-08;Yvonne Schneemann;Matzendorf;14.917606E;48.109470N;20;17;17;0;0;0;0;0;0;0;0;0;0;0;1;1;2;9;1;;;Kiefern-Forst;;unclassified;;;
54b-W-M;2011-06-08;Yvonne Schneemann;Matzendorf;14.919838E;48.109398N;20;17;17;0;0;0;0;0;0;0;0;0;0;0;1;1;2;9;1;;;Fichten-Forst;;unclassified;;;
36-H-D;2011-05-30;Yvonne Schneemann;Doislau;14.920286E;48.105312N;20;20;20;0;0;0;0;0;0;0;0;0;0;0;1;1;2;9;1;6210;;Mitteleuropäischer basenreicher Mäh-Halbtrockenrasen;;Onobrychido viciifoliae-Brometum T. Müller 1966;;;
35-W-D;2011-05-30;Yvonne Schneemann;Doislau;14.923699E;48.107161N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;3;3;9;0;9180;;Eichen-Ulmen-Eschen-Auwald;Strauchmantel frischer Standorte, Hochstaudenfluren der tieferen Lagen;Querco-Ulmetum Issler 1926;;;
53-M-G;2011-06-07;Yvonne Schneemann;Matzendorf;14.926482E;48.109984N;20;17;17;0;0;0;0;0;0;0;0;0;0;0;1;1;4;;;;;Weichholzdominierter Ufergehölzstreifen;;Salicion albae Soó 1951;;;
18-Wi-D;2011-05-23;Yvonne Schneemann;Doislau;14.928569E;48.106843N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;4;3;9;0;6510;;Frische artenreiche Fettwiese der Tieflagen;;Pastinaco-Arrhenatheretum Passarge 1964;;;
12-Wi-D;2011-05-22;Yvonne Schneemann;Doislau;14.928576E;48.107077N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;;9;0;6510;;Frische artenreiche Fettwiese der Tieflagen;;Pastinaco-Arrhenatheretum Passarge 1964;;;
11-Wi-D;2011-05-22;Yvonne Schneemann;Doislau;14.928653E;48.104254N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;0;6510;;Frische artenreiche Fettwiese der Tieflagen;;Pastinaco-Arrhenatheretum Passarge 1964;;;
85-Wi-D;2011-06-11;Yvonne Schneemann;Doislau;14.929676E;48.107136N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;4;2;3;3;6510;;Frische artenreiche Fettwiese der Tieflagen;;Pastinaco-Arrhenatheretum Passarge 1964;2;Arrhenatherion Koch 1926;
84-W-D;2011-06-11;Yvonne Schneemann;Doislau;14.930590E;48.108064N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;1;;;Ahorn-Eschenauwald;Strauchmantel frischer Standorte ;Carici pendulae-Aceretum pseudoplatani;2;Ligustro-Prunetum;
17-Wi-D;2011-05-23;Yvonne Schneemann;Doislau;14.930723E;48.106645N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;0;6510;;Frische artenreiche Fettwiese der Tieflagen, trockene Ausprägung;;Pastinaco-Arrhenatheretum Passarge 1964;;;
16-Wi-D;2011-05-23;Yvonne Schneemann;Doislau;14.931064E;48.107450N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;0;6510;;Frische artenreiche Fettwiese der Tieflagen, trrockene Ausprägung;;Pastinaco-Arrhenatheretum Passarge 1964;;;
10-Wi-D;2011-05-22;Yvonne Schneemann;Doislau;14.931254E;48.104421N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;2;9;0;6510;;Frische artenreiche Fettwiese der Tieflagen, trockene Ausprägung;nähratoffarmer trocken-warmer Waldsaum über Karbonat;Pastinaco-Arrhenatheretum Passarge 1964;;;
34-W-D;2011-05-30;Yvonne Schneemann;Doislau;14.931401E;48.105925N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;3;5;0;9180;;Ahorn-Anpflanzung;Eichen-Ulmen-Eschen-Auwald, Thermophiles Trockengebüsch tiefgründiger Standorte;Querco-Ulmetum Issler 1926;;;
32-W-D;2011-05-30;Yvonne Schneemann;Doislau;14.932324E;48.104065N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;0;;;Hybridpappelforst;Neophytenflur;unclassified;;;
33-W-D;2011-05-30;Yvonne Schneemann;Doislau;14.932483E;48.104625N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;0;9180;;Eichen-Ulmen-Eschen-Auwald;Strauchmantel frischer Standorte, Hochstaudenfluren der tieferen Lagen ;Querco-Ulmetum Issler 1926;;;
9-Wa-D;2011-05-22;Yvonne Schneemann;Doislau;14.932665E;48.103368N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;2;9;0;;;Schlagflur;;unclassified;;;
81-W-D;2011-06-11;Yvonne Schneemann;Doislau;14.933691E;48.105656N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;1;;;Eichen-Ulmen-Eschen-Auwald;;Querco-Ulmetum Issler 1926;;;
51-M-W;2011-06-04;Yvonne Schneemann;Matzendorf;14.934804E;48.107198N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;1;;;Edellaubbaumdominierte Ufergehölzstreifen;;Carici pendulae-Aceretum pseudoplatani;;;
15-Wi-D;2011-05-23;Yvonne Schneemann;Doislau;14.935272E;48.105288N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;0;6510;;Frische artenreiche Fettwiese der Tieflagen, trrockene Ausprägung;;Pastinaco-Arrhenatheretum Passarge 1964;;;
