taxon;abbr;layer;comment;3-W-Fe;4-Wi-Fe;5-Wi-Fe;6-Wi-Fe;7-Wi-Fe;20-Wi-F;21-G-F;21b-W-F;22-W-F;22b-G-F;38-F-G;39-F-W;40-F-W;41-F-Wi;42-F-W;43-F-W;61-V-F;62-G-F;63-G-F;64-W-F;65-W-F;66-W-F;67-G-F;68-W-M;69-W-M;70-W-F;71-W-F;72-W-F;73-TR-F;74-G-F;75-W-F;76-Wi-F;77-G-F;77a-G-F;87-G-F;87a-G-F;88-W-F;89-W-F;90-G-F
Leucanthemum vulgare agg;leuc vulg aggr;hl;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer campestre;acer camp;tl1;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer campestre;acer camp;tl2;;;;;;;;;2a;2a;2a;;;;;;;;;;;2a;3;;;;;;;;;;;;;;;;;2a
Acer campestre;acer camp;hl;;;;;;;;;+;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;
Acer negundo;acer negu;tl2;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;
Acer pseudoplatanus;acer pseu;tl1;;;;;;;;;;;;;2b;;;2b;;;;;;;;;;;;2a;2b;;;;;;;;;;;
Acer pseudoplatanus;acer pseu;tl2;;;;;;;;2b;2b;2a;;;2b;;;2a;;;;3;;3;;;;2a;4;2b;;;;;;;;2a;;;;2a
Acer pseudoplatanus;acer pseu;hl;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;+;;;;;;;;;;;
Achillea millefolium;achi mill aggr;hl;;2a;2a;+;+;+;2a;;;;;+;;;;;;;;;;;;;;;;;;+;2a;;2a;;;;+;;;+
Aegopodium podagraria;aego poda;hl;;;2a;+;+;;;2a;3;2b;;;;;;2b;2b;;;2b;;2a;2b;2a;2b;4;;;;;2a;;;;;;;;2a;
Agrostis canina;agro cani;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;
Ajuga reptans;ajug rept;hl;;+;+;+;;;;;+;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;
Alliaria petiolata;alli peti;hl;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;
Allium ursinum;alli ursi ursi;hl;;;;;;;;;2a;+;;;;;;2b;;;;;;;+;;2b;;2a;;2a;;;;;;;;;;+;
Alnus glutinosa;alnu glut;tl1;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alnus glutinosa;alnu glut;tl2;;;;;;;;;2b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacamptis pyramidalis;anac pyra;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;
Anemone ranunculoides;anem ranu;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;
Anthericum liliago;anth lili;hl;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthriscus sylvestris;anth sylv;hl;;2a;;+;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;
Anthyllis vulneraria;anth vuln slat;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;
Arctium lappa;arct lapp;hl;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;
Arctium tomentosum;arct tome;hl;;;;;+;;;;;;;+;;;;;;;;;;;;;;;;;;2a;+;;;;;;;;;
Arrhenatherum elatius;arrh elat;hl;;2b;3;3;3;2b;3;2m;;;2m;2b;;;;;3;;;;2a;;;;;;;;;3;2m;;3;;;2b;2m;;;3
Artemisia vulgaris;arte vulg;hl;;;;;+;;;;;;2a;+;;;;;;;;;;;;;;;;;;;2a;;;+;;+;+;;;+
Asarum europaeum;asar euro slat;hl;;;;;;;;;+;+;;;;+;;;;;;;;;2a;;;+;;;;;;;;;;;;;;
Asperula cynanchica;aspe cyna;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;
Astrantia major;astr majo slat;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;
Bellis perennis;bell pere;hl;;2a;+;+;;+;+;;;;;;;;;;;;;;;;;;;;;;;;2a;;;+;;;+;;;
Berberis vulgaris;berb vulg;sl;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;
Betula pendula;betu pend;tl2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;+;;;;;
Brachypodium pinnatum;brac pinn;hl;;;;;;;;+;+;;;;;;1;;;;;;2a;;;;;;;;;;;;;2m;;;2m;;;+
Brachypodium sylvaticum;brac sylv;hl;;;;;;;;;;2a;;1;;;2b;;;;;;;2m;2a;;;2a;2m;2m;;;;;;;;;;;;
Briza media;briz medi;hl;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bromus hordeaceus;brom hord slat;hl;;;2b;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;
Caltha palustris;calt palu;hl;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calystegia sepium;caly sepi;hl;;;;;;;;;;;;;;;;;;+;;;+;;;;;;;;;;+;;;;;;;+;;
Campanula patula;camp patu patu;hl;;;;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capsella bursa-pastoris;caps burs;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;+;;;+;;;
Carex alba;care alba;hl;;;;;;;;;2a;;;;2b;;;;;;;;;;2a;;;+;;;;;;;;;;;;;2b;
Carex flacca;care flac;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carex flava;care flav aggr;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carex panicea;care pani;hl;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Carex remota;care remo remo;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;
Carex spec;care spec ies;hl;;+;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;3;;;;;
Carex sylvatica;care sylv;hl;;;;;;;;;;;;;;;;;;;;;;;;;2a;+;;;2a;;;;;;;;;;;
Carpinus betulus;carp betu;tl1;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;carp betu;tl2;;;;;;;;;2a;2a;;;2a;;;;;;;;;;2a;;2a;;2a;;;;;;;;;;;;;
Carpinus betulus;carp betu;hl;;;;;;;;;;;;;;+;;;;;;;;;;;;;+;;;;;;;;;;;;;
Centaurea jacea;cent jace slat;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;+;;;
Cephalanthera longifolia;ceph long;hl;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;
Cerastium avium;prun aviu slat;tl1;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cerastium avium;prun aviu slat;tl2;;;;;;;;2a;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cerastium holosteoides;cera holo;hl;;;2a;+;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;
Cichorium intubus;cich inty;hl;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;+;;;;;;+;;;
Cirsium arvense;cirs arve;hl;;;;;;;;;;;+;+;;;;;;;;;;;;;;;;;;;;+;;;;;;;;
Clematis vitalba;clem vita;hl;;;;;;;;+;;;;+;;;;+;;;;;;2a;;;;;;;;;;;;;;;+;;+;
Colchicum autumnale;colc autu;hl;;2a;;;;;+;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;+;;;
Convallaria majalis;conv maja maja;hl;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;;+;;;;;;;;;;;
Convolvulus arvensis;conv arve;hl;;+;+;;+;;;r;;;;;;;;;;;;;;;;+;;;;;;;;;;;;+;;;;
Conyza canadensis;erig cana;hl;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;
Cornus sanguinea;corn sang slat;sl;;;;;;;;4;;2a;2b;;2a;;;2b;;;;2b;3;3;3;;2a;;3;3;;2a;2a;2a;;2b;;;2b;;;3
Cornus sanguinea;corn sang slat;hl;;;;;;;;;+;+;;;+;2a;;2a;;;;;;;;;;;2a;;+;;;;;;;;;;;
Corydalis spec.;cory spec ies;hl;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corylus avellana;cory avel;sl;;;;;;;;3;2a;;;;2a;;;2a;;;;;;;;;2a;;;;;;;;;;;;;;;
Crataegus monogyna;crat mono;sl;;;;;;;;;2a;2a;2a;;2a;;;;;;;;;2a;;;2a;;2b;2a;2a;2a;;;;2a;;;2a;;;2b
Crataegus monogyna;crat mono;hl;;;;;;;;;;;;;;+;;;;;;;;2a;+;;;+;2a;;;;;+;;;;;;;;
Crepis biennis;crep bien;hl;;;;+;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cyclamen purpurascens;cycl purp;hl;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cynosurus cristatus;cyno cris;hl;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dactylis glomerata;dact glom glom;hl;;2b;3;2a;2b;3;2b;1;;;2m;1;;;;;;;;;+;+;;;;;;;;2a;2m;;2a;+;;2a;2m;;;3
Daphne mezereum;daph meze;hl;;;;;;;;;;;;;;+;;;;;;;;;;;+;2a;+;;+;;;;;;;;;;;
Deschampsia cespitosa;desc cesp;hl;;;;;;;;;2m;+;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Dianthus carthusianorum;dian cart slat;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;+;;;+;;;
Echium vulgare;echi vulg;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;+;;;
Elytrigia repens;elyt repe;hl;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;3;;;;;;;
Equisetum arvense;equi arve;hl;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;2a;;;;;;;;
Erigeron annuus;erig annu slat;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;
Erysimum diffusum;erys diff;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euonymus europaea;euon euro;sl;;;;;;;;;2a;;;;2a;;;;;;;;;;2a;;;;;;2a;;;;;;;;;;;
Euonymus europaea;euon euro;hl;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euonymus verrucosus;euon verr;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euphorbia cyparissias;euph cypa;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2b;;;;2b;;;2b;;;+
Euphorbia dulcis;euph dulc;hl;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;
Fagus sylvatica;fagu sylv;tl1;;;;;;;;;;;;;;;;;;;;;;;;;;2b;;;;;;;;;;;;;;
Fagus sylvatica;fagu sylv;tl2;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;
Fallopia japonica;fall japo;sl;;;;;;;;;;;;2a;;;;;;;2b;;;;;;;;;;;;2b;;;;;;;;;
Fallopia japonica;fall japo;hl;;;;;;;;;;;;;;;;;;2b;2b;2b;;;;;;;;;;;;;;;;;;;;
Festuca pratensis;fest prat prat;hl;;2m;;;;;2a;1;;;;1;;;;;;;;;+;;;;;;;;;;;;;;;;;;;
Festuca spec.;fest spec ies;hl;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;2m;;;;;;;2m;;;
Frangula alnus;fran alnu;sl;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;
Fraxinus excelsior;frax exce;tl1;;;;;;;;2a;4;3;3;;2a;;;2b;;;;2b;3;3;3;2a;;2b;3;2a;;;2b;2b;;;;2a;;;3;
Fraxinus excelsior;frax exce;tl2;;;;;;;;2b;2b;2a;2a;2a;2a;;;;;;;2a;2b;3;2b;;;;2a;;;2a;2a;2a;;2a;;;;;2b;
Fraxinus excelsior;frax exce;hl;;;;;;;;;;;;+;;2a;;;;;;;;;;;;2a;;;;;;;;;;;;;;
Galeobdolon luteum;gale lute;hl;;;;;;;;;;;;;;;;;;;;;;;;;2a;;+;;;;;;;;;;;;;
Galium album;gali albu;hl;;+;2a;+;+;+;1;;;;+;;;;;;;;;;;;;;;;;;;+;;;3;;;;;;;+
Galium aparine;gali apar;hl;;;;;;;;;+;+;+;;;;+;;1;2a;;;;;;+;;;;;;;;;;;;r;;;;
