taxon;abbr;layer;comment;23-W-L;24-W-L;25-W-L;26-Wi-L;27-W-L;28-W-M;29-W-M;30-W-L;31-W-L;45-La-W;46-La-W;47-W-L;55-W-M;56-W-M
Acer campestre;acer camp;tl1;;;;;;;;;;;;;;;
Acer pseudoplatanus;acer pseu;tl1;;;;;;;;2a;;;;;2b;;2b
Alnus glutinosa;alnu glut;tl1;;;;;;;;;;;;;;;
Betula pendula;betu pend;tl1;;;;;;2a;;;;;;;;;
Carpinus betulus;carp betu;tl1;;;;;;2a;;;;;;;;;
Prunus avium;prun aviu slat;tl1;;;;;;2a;;;2a;;;;;;
Fagus sylvatica;fagu sylv;tl1;;;;;;;;;;;;;;;
Fraxinus excelsior;frax exce;tl1;;4;2b;;;2a;;3;2a;2a;4;;2a;3;2b
Juglans regia;jugl regi;tl1;;;;;;;;;;2a;;;;;
Picea abies;pice abie;tl1;;;;;;;;;;;;;;;2a
Populus spec.;popu spec ies;tl1;;;;;;;;;2a;;;;;;
Populus alba;popu alba;tl1;;;;;;;;;;;;2b;;;
Populus balsamifera;popu bals;tl1;;;;;;;;;;;;3;;;
Populus canadensis;popu cana;tl1;;2b;;;;2a;3;;;;;;;2a;
Populus nigra;popu nigr;tl1;;;;;;;;;;;;;;;
Prunus padus;prun padu padu;tl1;;;;;;;;;;;;;;;
Quercus robur;quer robu;tl1;;;;;;3;;;2a;;;;;;
Salix alba;sali alba;tl1;;;;;;;;;;;;;;;
Salix eleagnos;sali elea elea;tl1;;;;;;2a;;;;;;;;;
Salix purpurea;sali purp;tl1;;;;;;;;;;;;;;;
Salix viminalis;sali vimi;tl1;;;;;;;;;;;;;;3;
Sorbus aria;sorb aria;tl1;;;2b;;;;;;;;;;;;
Tilia cordata;tili cord;tl1;;;4;;;3;;;;4;;;4;;3
Tilia platyphyllos;tili plat;tl1;;;;;;;;;;;;;2b;;
Ulmus glabra;ulmu glab;tl1;;;;;;;;;2a;;;;;;
Ulmus laevis;ulmu laev;tl1;;;;;;;;;;;;;;;
