plot,abbr,layer,cover,voucher,comment,history
zw01,abie alba,hl,+,,,
zw01,acer pseu,hl,+,,,
zw01,acta spic,hl,r,,,
zw01,aspl viri,hl,r,,,
zw01,card trif,hl,1,,,
zw01,care alba,hl,1,,,
zw01,care digi,hl,+,,,
zw01,clem alpi,hl,r,,,
zw01,epip hell slat,hl,r,,,
zw01,frax exce,hl,+,,,
zw01,gale mont,hl,+,,,
zw01,hell nige,hl,1,,,
zw01,lact mura,hl,+,,,
zw01,loni xylo,hl,r,,,
zw01,maia bifo,hl,+,,,
zw01,merc pere,hl,+,,,
zw01,neot nidu,hl,r,,,
zw01,oxal acet,hl,1,,,
zw01,pari quad,hl,+,,,
zw01,pice abie,hl,+,,,
zw01,poly vert,hl,+,,,
zw01,pren purp,hl,1,,,
zw01,sorb aucu aucu,hl,r,,,
zw01,vacc myrt,hl,r,,,
zw01,abie alba,sl,1,,,
zw01,fagu sylv,sl,1,,,
zw01,pice abie,sl,1,,,
zw01,acer pseu,tl1,2a,,,
zw01,fagu sylv,tl1,2a,,,
zw01,fagu sylv,tl2,4,,,
zw01,pice abie,tl2,3,,,
zw02,abie alba,hl,+,,,
zw02,acer pseu,hl,r,,,
zw02,berb vulg,hl,r,,,
zw02,card enne,hl,+,,,
zw02,card trif,hl,1,,,
zw02,care alba,hl,1,,,
zw02,care digi,hl,+,,,
zw02,daph meze,hl,+,,,
zw02,epip hell slat,hl,r,,,
zw02,eric carn,hl,r,,,
zw02,frax exce,hl,1,,,
zw02,gale mont,hl,+,,,
zw02,hell nige,hl,+,,,
zw02,hier muro,hl,r,,,
zw02,lact mura,hl,r,,,
zw02,maia bifo,hl,+,,,
zw02,merc pere,hl,1,,,
zw02,neot nidu,hl,r,,,
zw02,pice abie,hl,+,,,
zw02,poly vert,hl,+,,,
zw02,pren purp,hl,+,,,
zw02,soli virg virg,hl,r,,,
zw02,vacc myrt,hl,r,,,
zw02,viol reic,hl,r,,,
zw02,fagu sylv,sl,2a,,,
zw02,sorb aria,sl,r,,,
zw02,acer pseu,tl2,1,,,
zw02,fagu sylv,tl2,4,,,
zw02,pice abie,tl2,3,,,
zw03,acer pseu,hl,r,,,
zw03,dact glom glom,hl,3,,,
zw03,fest prat prat,hl,1,,,
zw03,fest rubr,hl,3,,,
zw03,leuc ircu,hl,r,,,
zw03,loli pere,hl,4,,,
zw03,merc pere,hl,r,,,
zw03,onob vici,hl,+,,,
zw03,phle prat,hl,2a,,,
zw03,rubu idae,hl,+,,,
zw03,sali capr,hl,r,,,
zw03,trif hybr slat,hl,2a,,,
zw03,tuss farf,hl,1,,,
zw04,abie alba,hl,r,,,
zw04,acer pseu,hl,+,,,
zw04,aden alpi,hl,r,,,
zw04,card trif,hl,1,,,
zw04,care alba,hl,1,,,
zw04,care digi,hl,r,,,
zw04,clem alpi,hl,r,,,
zw04,cora trif,hl,r,,,
zw04,daph meze,hl,r,,,
zw04,epip hell slat,hl,r,,,
zw04,fagu sylv,hl,+,,,
zw04,frax exce,hl,+,,,
zw04,gale mont,hl,+,,,
zw04,gymn robe,hl,r,,,
zw04,hell nige,hl,1,,,
zw04,lact mura,hl,+,,,
zw04,lari deci deci,hl,r,,,
zw04,loni xylo,hl,r,,,
zw04,maia bifo,hl,+,,,
zw04,meli nuta,hl,r,,,
zw04,merc pere,hl,+,,,
zw04,neot nidu,hl,r,,,
zw04,oxal acet,hl,+,,,
zw04,pari quad,hl,+,,,
zw04,peta albu,hl,r,,,
zw04,pice abie,hl,1,,,
zw04,poly cham,hl,r,,,
zw04,poly vert,hl,1,,,
zw04,pren purp,hl,+,,,
zw04,rubu saxa,hl,r,,,
zw04,soli virg virg,hl,+,,,
zw04,sorb aria,hl,r,,,
zw04,sorb aucu aucu,hl,+,,,
zw04,vacc myrt,hl,+,,,
zw04,vale trip,hl,+,,,
zw04,vero urti,hl,r,,,
zw04,abie alba,sl,1,,,
zw04,fagu sylv,sl,2a,,,
zw04,pice abie,sl,2a,,,
zw04,sorb aria,sl,r,,,
zw04,fagu sylv,tl2,5,,,
zw04,pice abie,tl2,1,,,
zw05,abie alba,hl,+,,,
zw05,aspl viri,hl,+,,,
zw05,betu pend,hl,+,,,
zw05,card trif,hl,1,,,
zw05,care digi,hl,r,,,
zw05,dryo fili,hl,r,,,
zw05,fagu sylv,hl,+,,,
zw05,merc pere,hl,+,,,
zw05,oxal acet,hl,r,,,
zw05,pren purp,hl,r,,,
zw05,vacc myrt,hl,r,,,
zw05,fagu sylv,sl,1,,,
zw05,pice abie,sl,1,,,
zw05,fagu sylv,tl1,2a,,,
zw05,pice abie,tl1,2a,,,
zw05,abie alba,tl2,2b,,,
zw05,betu pend,tl2,2a,,,
zw05,fagu sylv,tl2,3,,,
zw05,pice abie,tl2,4,,,
zw06,acer pseu,hl,+,,,
zw06,alnu inca,hl,+,,,
zw06,berb vulg,hl,+,,,
zw06,betu pend,hl,+,,,
zw06,care alba,hl,2a,,,
zw06,care digi,hl,+,,,
zw06,care flac,hl,r,,,
zw06,cirs oler,hl,2a,,,
zw06,corn sang sang,hl,+,,,
zw06,daph meze,hl,+,,,
zw06,epip hell slat,hl,r,,,
zw06,equi arve,hl,1,,,
zw06,eupa cann,hl,1,,,
zw06,frag vesc,hl,+,,,
zw06,fran alnu,hl,r,,,
zw06,frax exce,hl,+,,,
zw06,gymn robe,hl,+,,,
zw06,lact mura,hl,+,,,
zw06,list ovat,hl,+,,,
zw06,loni alpi,hl,+,,,
zw06,maia bifo,hl,+,,,
zw06,meli nuta,hl,+,,,
zw06,merc pere,hl,3,,,
zw06,oxal acet,hl,1,,,
zw06,peta albu,hl,2a,,,
zw06,pice abie,hl,+,,,
zw06,poly mult,hl,+,,,
zw06,prun padu padu,hl,1,,,
zw06,rubu caes,hl,2b,,,
zw06,sorb aria,hl,r,,,
zw06,sorb aucu aucu,hl,+,,,
zw06,vibu opul,hl,+,,,
zw06,viol bifl,hl,r,,,
zw06,viol reic,hl,+,,,
zw06,acer pseu,sl,2b,,,
zw06,fran alnu,sl,1,,,
zw06,frax exce,sl,1,,,
zw06,pice abie,sl,2a,,,
zw06,pinu sylv,sl,r,,,
zw06,prun padu padu,sl,+,,,
zw06,sali capr,sl,2a,,,
zw06,sali purp,sl,2b,,,
zw06,sorb aria,sl,r,,,
zw06,sorb aucu aucu,sl,+,,,
zw06,vibu opul,sl,1,,,
zw06,acer pseu,tl1,2a,,,
zw06,alnu inca,tl1,3,,,
zw06,betu pend,tl1,2a,,,
zw06,frax exce,tl1,1,,,
zw06,pice abie,tl1,2a,,,
zw06,sali capr,tl1,2a,,,
zw06,sali purp,tl1,2b,,,
zw06,sali rube,tl1,2a,,cf,
zw07,abie alba,hl,+,,,
zw07,acer pseu,hl,1,,,
zw07,achi mill,hl,+,,,
zw07,acta spic,hl,r,,,
zw07,ajug rept,hl,+,,,
zw07,alnu inca,hl,r,,,
zw07,ange sylv sylv,hl,+,,,
zw07,arun dioi,hl,r,,,
zw07,betu pend,hl,r,,,
zw07,cala vari,hl,+,,,
zw07,camp rotu,hl,r,,,
zw07,care alba,hl,3,,,
zw07,care digi,hl,1,,,
zw07,corn sang sang,hl,+,,,
zw07,dact macu slat,hl,r,,,
zw07,dryo fili,hl,+,,,
zw07,eric carn,hl,r,,,
zw07,eupa cann,hl,+,,,
zw07,frag vesc,hl,1,,,
zw07,fran alnu,hl,+,,,
zw07,frax exce,hl,1,,,
zw07,gale psis spec ies,hl,+,,,
zw07,gymn robe,hl,1,,,
zw07,hera spho spho,hl,r,,,
zw07,hier muro,hl,+,,,
zw07,meli nuta,hl,+,,,
zw07,merc pere,hl,3,,,
zw07,oxal acet,hl,1,,,
zw07,pari quad,hl,1,,,
zw07,peta para,hl,1,,,
zw07,pice abie,hl,+,,,
zw07,poly vert,hl,+,,,
zw07,prun padu padu,hl,+,,,
zw07,rham cath,hl,r,,,
zw07,sorb aria,hl,+,,,
zw07,vale trip,hl,+,,,
zw07,vibu opul,hl,+,,,
zw07,abie alba,sl,+,,,
zw07,acer pseu,sl,2b,,,
zw07,alnu inca,sl,1,,,
zw07,betu pend,sl,+,,,
zw07,fran alnu,sl,+,,,
zw07,pice abie,sl,1,,,
zw07,prun padu padu,sl,1,,,
zw07,sali capr,sl,r,,,
zw07,sali elea elea,sl,1,,,
zw07,sali purp,sl,2a,,,
zw07,acer pseu,tl1,3,,,
zw07,alnu inca,tl1,2b,,,
zw07,betu pend,tl1,2a,,,
zw07,pice abie,tl1,1,,,
zw07,pinu sylv,tl1,1,,,
zw07,sali capr,tl1,2a,,,
zw07,sali elea elea,tl1,2b,,,
zw07,sali purp,tl1,2b,,,
zw08,acer pseu,hl,r,,,
zw08,alnu inca,hl,r,,,
zw08,ange sylv sylv,hl,r,,,
zw08,betu pend,hl,+,,,
zw08,buph sali,hl,+,,,
zw08,cala vari,hl,3,,,
zw08,care firm,hl,r,,,
zw08,care orni orni,hl,+,,,
zw08,chlo stat,hl,r,,,
zw08,eric carn,hl,3,,,
zw08,fest stri trac,hl,+,2019-0040,,
zw08,fran alnu,hl,+,,,
zw08,gali albu,hl,+,,,
zw08,hier muro,hl,+,,,
zw08,leon hisp slat,hl,+,,,
zw08,lotu corn,hl,+,,,
zw08,peta para,hl,2b,,,
zw08,pinu sylv,hl,+,,,
zw08,poly cham,hl,+,,,
zw08,sali capr,hl,1,,,
zw08,sali elea elea,hl,1,,,
zw08,sali myrs,hl,r,,,
zw08,sali purp,hl,1,,,
zw08,thes alpi,hl,r,,,
zw08,thym prae prae,hl,1,,,
zw08,tofi caly,hl,1,,,
zw08,alnu inca,sl,1,,,
zw08,betu pend,sl,1,,,
zw08,pice abie,sl,+,,,
zw08,pinu sylv,sl,1,,,
zw08,sali capr,sl,1,,,
zw08,sali elea elea,sl,2a,,,
zw08,sali purp,sl,1,,,
zw08,pinu sylv,tl2,2a,,,
zw08,sali elea elea,tl2,+,,,
zw09,acer pseu,hl,+,,,
zw09,alnu inca,hl,+,,,
zw09,ange sylv sylv,hl,r,,,
zw09,ante dioi,hl,1,,,
zw09,cala vari,hl,3,,,
zw09,care firm,hl,+,,,
zw09,care orni orni,hl,+,,,
zw09,carl acau acau,hl,r,,,
zw09,chlo stat,hl,+,,,
zw09,eric carn,hl,3,,,
zw09,fest stri trac,hl,+,2019-0004,,
zw09,frag vesc,hl,+,,,
zw09,fran alnu,hl,+,,,
zw09,frax exce,hl,+,,,
zw09,hier bifi,hl,1,,,
zw09,hier muro,hl,1,,,
zw09,hier prae ltum,hl,+,2019-0003,,
zw09,lotu corn,hl,1,,,
zw09,peta para,hl,2b,,,
zw09,poly amar brac,hl,r,,,
zw09,poly cham,hl,+,,,
zw09,pote caul,hl,r,,,
zw09,pote erec,hl,+,,,
zw09,prun vulg,hl,r,,,
zw09,sali elea elea,hl,+,,,
zw09,sela helv,hl,r,,,
zw09,soli virg virg,hl,+,,,
zw09,thes alpi,hl,r,,,
zw09,thym prae prae,hl,+,,,
zw09,tofi caly,hl,+,,,
zw09,vale mont,hl,+,,,
zw09,alnu inca,sl,2a,,,
zw09,pinu sylv,sl,1,,,
zw09,sali elea elea,sl,1,,,
zw09,alnu inca,tl2,1,,,
zw09,pinu sylv,tl2,2b,,,
zw10,acer pseu,hl,+,,,
zw10,alnu glut,hl,+,,,
zw10,alnu inca,hl,+,,,
zw10,ange sylv sylv,hl,+,,,
zw10,berb vulg,hl,+,,,
zw10,betu pend,hl,+,,,
zw10,cala vari,hl,2b,,,
zw10,camp coch,hl,1,,,
zw10,care alba,hl,2b,,,
zw10,care digi,hl,+,,,
zw10,dact glom glom,hl,r,,,
zw10,dact macu slat,hl,r,,,
zw10,eric carn,hl,2b,,,
zw10,eupa cann,hl,1,,,
zw10,frag vesc,hl,+,,,
zw10,fran alnu,hl,+,,,
zw10,frax exce,hl,+,,,
zw10,gali albu,hl,+,,,
zw10,gymn odor,hl,r,,,
zw10,gymn robe,hl,+,,,
zw10,hier bifi,hl,+,,,
zw10,hier muro,hl,+,,,
zw10,lact mura,hl,+,,,
zw10,leon hisp slat,hl,+,,,
zw10,list ovat,hl,r,,,
zw10,meli nuta,hl,+,,,
zw10,merc pere,hl,2a,,,
zw10,pari quad,hl,+,,,
zw10,peta para,hl,2a,,,
zw10,phyt orbi,hl,+,,,
zw10,poa nemo,hl,r,,,
zw10,poly cham,hl,+,,,
zw10,poly mult,hl,+,,,
zw10,poly vert,hl,+,,,
zw10,pote erec,hl,+,,,
zw10,pren purp,hl,+,,,
zw10,rubu idae,hl,+,,,
zw10,sali capr,hl,+,,,
zw10,salv glut,hl,+,,,
zw10,soli virg virg,hl,+,,,
zw10,tara sect rude,hl,+,,,
zw10,vale mont,hl,1,,,
zw10,vale trip,hl,+,,,
zw10,acer pseu,sl,2a,,,
zw10,alnu glut,sl,1,,,
zw10,alnu inca,sl,+,,,
zw10,berb vulg,sl,+,,,
zw10,betu pend,sl,1,,,
zw10,fran alnu,sl,+,,,
zw10,frax exce,sl,r,,,
zw10,pice abie,sl,1,,,
zw10,sali capr,sl,1,,,
zw10,acer pseu,tl2,3,,,
zw10,alnu glut,tl2,2a,,,
zw10,alnu inca,tl2,2a,,,
zw10,betu pend,tl2,2a,,,
zw10,lari deci deci,tl2,1,,,
zw10,pice abie,tl2,3,,,
zw10,pinu sylv,tl2,2a,,,
zw10,sali capr,tl2,2a,,,
zw11,acer pseu,hl,r,,,
zw11,achi mill,hl,r,,,
zw11,alnu glut,hl,+,,,
zw11,alnu inca,hl,+,,,
zw11,ange sylv sylv,hl,+,,,
zw11,bell mich,hl,r,,,
zw11,cala vari,hl,2b,,,
zw11,care orni orni,hl,+,,,
zw11,caru carv,hl,r,,,
zw11,chlo stat,hl,1,,,
zw11,coto damm,hl,1,,,
zw11,epil angu,hl,r,,,
zw11,eric carn,hl,3,,,
zw11,fest stri trac,hl,+,,"cp. 2019-0001, 2019-0004",
zw11,frag vesc,hl,r,,,
zw11,fran alnu,hl,+,,,
zw11,frax exce,hl,+,,,
zw11,gali albu,hl,+,,,
zw11,hier bifi,hl,1,,,
zw11,knau arve arve,hl,r,,,
zw11,lari deci deci,hl,r,,,
zw11,leon hisp slat,hl,1,,,
zw11,peta para,hl,3,,,
zw11,pice abie,hl,+,,,
zw11,pinu sylv,hl,1,,,
zw11,poly amar brac,hl,+,,,
zw11,poly cham,hl,1,,,
zw11,pote erec,hl,+,,,
zw11,sali elea elea,hl,+,,,
zw11,sela sela,hl,r,,,
zw11,soli virg virg,hl,r,,,
zw11,thes alpi,hl,r,,,
zw11,tofi caly,hl,2m,,,
zw11,vale mont,hl,1,,,
zw11,vale saxa,hl,r,,,
zw11,vale trip,hl,+,,,
zw11,alnu glut,sl,+,,,
zw11,alnu inca,sl,+,,,
zw11,fran alnu,sl,+,,,
zw11,pice abie,sl,+,,,
zw11,pinu sylv,sl,1,,,
zw11,sali elea elea,sl,+,,,
zw11,pinu sylv,tl2,2a,,,
zw12,acer pseu,hl,+,,,
zw12,ajug rept,hl,+,,,
zw12,alnu inca,hl,+,,,
zw12,ange sylv sylv,hl,1,,,
zw12,arte vulg,hl,+,,,
zw12,camp trac,hl,+,,,
zw12,card impa,hl,+,,,
zw12,card pers pers,hl,r,,,
zw12,care digi,hl,+,,,
zw12,clem alpi,hl,r,,,
zw12,dact glom glom,hl,1,,,
zw12,desc cesp,hl,+,,,
zw12,epil mont,hl,r,,,
zw12,erig annu annu,hl,+,,,
zw12,eupa cann,hl,2a,,,
zw12,frag vesc,hl,1,,,
zw12,frax exce,hl,+,,,
zw12,gale mont,hl,+,,,
zw12,gale psis spec ies,hl,r,,,
zw12,gali albu,hl,+,,,
zw12,gera robe,hl,+,,,
zw12,hier muro,hl,+,,,
zw12,impa parv,hl,1,,,
zw12,lact mura,hl,+,,,
zw12,maia bifo,hl,+,,,
zw12,meli nuta,hl,r,,,
zw12,merc pere,hl,1,,,
zw12,peta para,hl,2b,,,
zw12,phyt spic spic,hl,+,,,
zw12,ribe nigr,hl,+,,,
zw12,rubu caes,hl,3,,,
zw12,rubu idae,hl,+,,,
zw12,sali purp,hl,+,,,
zw12,scro nodo,hl,+,,,
zw12,sene nemo glab,hl,r,,,
zw12,soli virg virg,hl,+,,,
zw12,urti dioi dioi,hl,+,,,
zw12,acer pseu,sl,1,,,
zw12,alnu inca,sl,1,,,
zw12,frax exce,sl,1,,,
zw12,jugl regi,sl,r,,,
zw12,pice abie,sl,1,,,
zw12,sali capr,sl,r,,,
zw12,sali purp,sl,1,,,
