plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;type;alliance.code;alliance;association;soil;comment;location;observer
zeff01;99;0;0;0;99;10;0;0;0;0,6;0,25;4;4;F;0;0;0;0;2023-05-19;47.293191;12.788500;5;;MOL-05B;Calthion palustris Tx. 1937;;;;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
zeff02;99;0;0;0;99;80;0;0;0;0,6;0,3;4;4;F;0;0;0;0;2023-05-19;47.293328;12.788527;5;;PHR-04A;Magnocaricion elatae Koch 1926;;;;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
zeff03;99;0;0;0;99;5;0;0;0;0,6;0,25;4;4;F;0;0;0;0;2023-05-19;47.293304;12.788902;5;;MOL-05B;Calthion palustris Tx. 1937;;;;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
zeff04;100;0;0;0;96;95;0;0;0;0,7;0,4;4;4;F;0;0;0;0;2023-05-19;47.293628;12.789198;5;;PHR-04A;Magnocaricion elatae Koch 1926;;;;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
zeff05;98;0;0;0;98;15;0;0;0;0,5;0,2;4;4;F;0;0;0;0;2023-05-19;47.293405;12.789597;5;;MOL-05B;Calthion palustris Tx. 1937;;;;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
zeff06;100;0;0;0;100;1;0;0;0;0,9;0,4;4;4;F;0;0;0;0;2023-05-19;47.293451;12.790273;5;;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
zeff07;98;0;0;0;98;3;0;0;0;0,6;0,3;4;4;F;0;0;0;0;2023-05-19;47.293770;12.790541;5;;MOL-05B;Calthion palustris Tx. 1937;;;;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
zeff08;99;0;0;0;99;8;0;0;0;0,6;0,3;4;4;F;0;0;0;0;2023-05-19;47.293935;12.790363;5;;PHR-04A;Magnocaricion elatae Koch 1926;;;;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
zeff09;98;0;0;0;98;3;0;0;0;0,6;0,2;4;4;F;0;0;0;0;2023-05-19;47.293738;12.789125;5;;MOL-05B;Calthion palustris Tx. 1937;;;;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
zeff10;85;0;0;0;75;25;0;0;0;0,65;0,15;4;4;F;0;0;0;0;2023-05-19;47.294037;12.792649;5;;PHR-04A;Magnocaricion elatae Koch 1926;;;nochmals zu besserer zeit aufsuchen;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
zeff11;45;0;0;0;45;0;0;0;0;1,2;0,5;4;4;F;0;0;0;0;2023-05-19;47.294184;12.792522;5;;PHR-04A;Magnocaricion elatae Koch 1926;;;;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
zeff12;80;0;0;0;80;0;0;0;0;0,7;0,2;4;4;F;0;0;0;0;2023-05-19;47.294337;12.792424;5;;PHR-04A;Magnocaricion elatae Koch 1926;;;;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
zeff13;55;0;0;0;50;20;0;0;0;0,6;0,35;4;4;F;0;0;0;0;2023-05-19;47.293980;12.792563;5;;PHR-04A;Magnocaricion elatae Koch 1926;;;;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
zeff14;75;0;0;0;75;0;0;0;0;0,6;0,3;4;4;F;0;0;0;0;2023-05-19;47.293983;12.792104;5;;PHR-04A;Magnocaricion elatae Koch 1926;;;;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
zeff15;90;0;0;0;90;0;0;0;0;0,7;0,15;4;4;F;0;0;0;0;2023-05-19;47.294821;12.791239;5;;PHR-04A;Magnocaricion elatae Koch 1926;;;;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
zeff16;70;0;0;0;70;0;0;0;0;0,7;0,2;4;4;F;0;0;0;0;2023-05-19;47.294822;12.790756;5;;PHR-04A;Magnocaricion elatae Koch 1926;;;;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
zeff17;60;0;0;0;60;0;0;0;0;0,6;0,3;4;4;F;0;0;0;0;2023-05-19;47.294481;12.790580;5;;PHR-04A;Magnocaricion elatae Koch 1926;;;;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
zeff18;75;0;0;0;75;0;0;0;0;0,5;0,1;4;4;F;0;0;0;0;2023-05-19;47.294427;12.790135;5;;PHR-04A;Magnocaricion elatae Koch 1926;;;;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
zeff19;75;0;0;0;75;0;0;0;0;0,8;0,3;4;4;F;0;0;0;0;2023-05-19;47.295443;12.792111;5;;PHR-04A;Magnocaricion elatae Koch 1926;;;;Zell am See,  altes Flugfeld an der Prof. Ferry Porsche Straße;T. Eberl & R. Kaiser
