plot,abbr,layer,cover,voucher,comment,history
zeff01,agro capi,hl,+,,,
zeff01,ajug rept,hl,1,,,
zeff01,alop prat,hl,1,,,
zeff01,anth odor,hl,3,,,
zeff01,bell pere,hl,+,,,
zeff01,card dent,hl,+,,,
zeff01,care acut a,hl,+,,,
zeff01,care lepo,hl,1,,,
zeff01,care nigr,hl,1,,,
zeff01,care vesi,hl,1,,,
zeff01,caru carv,hl,+,,,
zeff01,desc cesp,hl,1,,,
zeff01,fest prat prat,hl,1,,,
zeff01,fest rubr rubr,hl,+,,,
zeff01,holc lana,hl,1,,,
zeff01,junc fili,hl,3,,,
zeff01,lych flos cucu,hl,2m,,,
zeff01,myos palu aggr,hl,2m,,incl. cf. Myostis laxa,
zeff01,pers bist,hl,+,,,
zeff01,phle prat,hl,+,,,
zeff01,plan lanc,hl,+,,,
zeff01,poa prat,hl,1,,,
zeff01,ranu acri acri,hl,+,,,
zeff01,ranu auri aggr,hl,+,,,
zeff01,rhin mino,hl,4,,,
zeff01,sene aqua,hl,1,,.cf,
zeff01,tara sect rude,hl,+,,,
zeff01,trif repe repe,hl,2a,,,
zeff02,agro stol,hl,+,,,
zeff02,ajug rept,hl,+,,,
zeff02,alop prat,hl,1,,,
zeff02,anth odor,hl,+,,,
zeff02,card dent,hl,+,,,
zeff02,care hirt,hl,r,,,
zeff02,care nigr,hl,3,,,
zeff02,care vesi,hl,4,,,
zeff02,desc cesp,hl,1,,,
zeff02,equi palu,hl,r,,,
zeff02,fest prat prat,hl,+,,,
zeff02,fest rubr rubr,hl,r,,,
zeff02,junc fili,hl,+,,,
zeff02,lych flos cucu,hl,+,,,
zeff02,lysi numm,hl,+,,,
zeff02,myos palu aggr,hl,1,,incl. cf. Myostis laxa,
zeff02,plan lanc,hl,r,,,
zeff02,poa triv,hl,1,,,
zeff02,ranu acri acri,hl,r,,,
zeff02,ranu repe,hl,r,,,
zeff02,rhin mino,hl,+,,,
zeff02,sene aqua,hl,2b,,cf.,
zeff02,tara sect rude,hl,r,,,
zeff02,trif repe repe,hl,+,,,
zeff03,ajug rept,hl,1,,,
zeff03,ange sylv sylv,hl,2a,,,
zeff03,anth odor,hl,3,,,
zeff03,card dent,hl,+,,,
zeff03,care lepo,hl,+,,,
zeff03,care nigr,hl,+,,,
zeff03,care pall,hl,1,,,
zeff03,care pani,hl,+,,,
zeff03,care vesi,hl,1,,,
zeff03,fest prat prat,hl,1,,,
zeff03,fest rubr rubr,hl,2b,,,
zeff03,holc lana,hl,1,,,
zeff03,junc effu,hl,r,,,
zeff03,junc fili,hl,2a,,,
zeff03,leuc ircu,hl,r,,,
zeff03,lych flos cucu,hl,2a,,,
zeff03,myos palu aggr,hl,2a,,"M. scorpioides 2a, cf. Myostis laxa 1",
zeff03,pers bist,hl,1,,,
zeff03,phle prat,hl,1,,,
zeff03,pimp majo majo,hl,+,,,
zeff03,plan lanc,hl,1,,,
zeff03,poa triv,hl,1,,,
zeff03,pote erec,hl,+,,,
zeff03,ranu acri acri,hl,1,,,
zeff03,rhin mino,hl,1,,,
zeff03,rume acet osa,hl,+,,,
zeff03,sene aqua,hl,1,,cf.,
zeff03,trif prat prat,hl,1,,,
zeff03,trif repe repe,hl,2a,,,
zeff04,ajug rept,hl,+,,,
zeff04,alop prat,hl,+,,,
zeff04,care acut a,hl,1,,,
zeff04,care elat,hl,1,,,
zeff04,care nigr,hl,1,,,
zeff04,care vesi,hl,5,,,
zeff04,desc cesp,hl,1,,,
zeff04,junc effu,hl,+,,,
zeff04,junc fili,hl,1,,,
zeff04,lych flos cucu,hl,+,,,
zeff04,myos palu aggr,hl,+,,M. scorpioides,
zeff04,ranu acri acri,hl,r,,,
zeff04,ranu repe,hl,+,,,
zeff04,sene aqua,hl,2a,,cf.,
zeff05,agro capi,hl,1,,,
zeff05,ajug rept,hl,2a,,,
zeff05,ange sylv sylv,hl,1,,,
zeff05,anth odor,hl,4,,,
zeff05,card dent,hl,+,,,
zeff05,care hirt,hl,+,,,
zeff05,care lepo,hl,+,,,
zeff05,care nigr,hl,+,,,
zeff05,care pall,hl,2b,,,
zeff05,care pani,hl,1,,,
zeff05,care pilu pilu,hl,+,,,
zeff05,care vesi,hl,+,,,
zeff05,caru carv,hl,+,,,
zeff05,crep bien,hl,r,,,
zeff05,desc cesp,hl,1,,,
zeff05,fest prat prat,hl,1,,,
zeff05,fest rubr rubr,hl,2b,,,
zeff05,holc lana,hl,1,,,
zeff05,junc fili,hl,2m,,,
zeff05,leuc ircu,hl,+,,,
zeff05,luzu mult,hl,+,,,
zeff05,lych flos cucu,hl,1,,,
zeff05,myos palu aggr,hl,2a,,"M. scorpioides 2a, cf. Myostis laxa +",
zeff05,pimp majo majo,hl,+,,,
zeff05,plan lanc,hl,2a,,,
zeff05,poa prat,hl,1,,,
zeff05,poa triv,hl,+,,,
zeff05,ranu acri acri,hl,1,,,
zeff05,rhin mino,hl,+,,,
zeff05,rume acet osa,hl,+,,,
zeff05,sene aqua,hl,2a,,,
zeff05,trif prat prat,hl,2a,,,
zeff05,trif repe repe,hl,1,,,
zeff06,achi mill aggr,hl,+,,,
zeff06,alop prat,hl,3,,,
zeff06,ange sylv sylv,hl,1,,,
zeff06,anth odor,hl,1,,,
zeff06,caru carv,hl,2a,,,
zeff06,cent pseu,hl,2a,,,
zeff06,cera holo,hl,+,,,
zeff06,dact glom glom,hl,2b,,,
zeff06,fest prat prat,hl,1,,,
zeff06,hera spho spho,hl,1,,,
zeff06,holc lana,hl,+,,,
zeff06,lych flos cucu,hl,+,,,
zeff06,pers bist,hl,r,,,
zeff06,phal arun,hl,1,,,
zeff06,plan lanc,hl,1,,,
zeff06,poa triv,hl,2b,,,
zeff06,ranu acri acri,hl,1,,,
zeff06,ranu repe,hl,2b,,,
zeff06,rume acet osa,hl,+,,,
zeff06,tara sect rude,hl,1,,,
zeff06,trif prat prat,hl,+,,,
zeff06,trif repe repe,hl,1,,,
zeff06,tris flav flav,hl,2b,,,
zeff06,vero arve,hl,r,,,
zeff06,vici crac,hl,+,,,
zeff06,vici sepi,hl,+,,,
zeff07,agro stol,hl,+,,,
zeff07,ajug rept,hl,1,,,
zeff07,ange sylv sylv,hl,+,,,
zeff07,anth odor,hl,2b,,,
zeff07,card dent,hl,+,,,
zeff07,care lepo,hl,+,,,
zeff07,care nigr,hl,r,,,
zeff07,care pall,hl,1,,,
zeff07,care pani,hl,1,,,
zeff07,care vesi,hl,2b,,,
zeff07,desc cesp,hl,2a,,,
zeff07,fest prat prat,hl,1,,,
zeff07,fest rubr rubr,hl,1,,,
zeff07,holc lana,hl,2a,,,
zeff07,junc fili,hl,2b,,,
zeff07,lych flos cucu,hl,1,,,
zeff07,myos palu aggr,hl,2a,,"M. scorpioides 2a, M. laxa +",
zeff07,pers bist,hl,+,,,
zeff07,phle prat,hl,1,,,
zeff07,poa triv,hl,2a,,,
zeff07,ranu acri acri,hl,2a,,,
zeff07,rhin mino,hl,+,,,
zeff07,rume acet osa,hl,+,,,
zeff07,scir sylv,hl,2a,,,
zeff07,sene aqua,hl,1,,,
zeff07,tara sect rude,hl,+,,,
zeff07,trif prat prat,hl,1,,,
zeff07,trif repe repe,hl,2a,,,
zeff07,vero serp serp,hl,+,,,
zeff08,achi mill aggr,hl,r,,,
zeff08,agro capi,hl,+,,,
zeff08,ajug rept,hl,2a,,,
zeff08,alop prat,hl,+,,,
zeff08,ange sylv sylv,hl,+,,,
zeff08,anth odor,hl,2b,,,
zeff08,card dent,hl,+,,,
zeff08,care lepo,hl,+,,,
zeff08,care nigr,hl,+,,,
zeff08,care pall,hl,+,,,
zeff08,care pani,hl,+,,,
zeff08,care vesi,hl,3,,,
zeff08,caru carv,hl,+,,,
zeff08,crep bien,hl,r,,,
zeff08,desc cesp,hl,2a,,,
zeff08,fest prat prat,hl,1,,,
zeff08,holc lana,hl,1,,,
zeff08,junc fili,hl,2b,,,
zeff08,lath prat prat,hl,+,,,
zeff08,lych flos cucu,hl,2a,,,
zeff08,myos palu aggr,hl,+,,"M. scorpioides +, M. laxa r",
