plot,abbr,layer,cover,voucher,comment,history
zess01,acer plat,sl,1,,,
zess01,acer plat,tl2,2a,,,
zess01,acer pseu,hl,+,,,
zess01,acer pseu,sl,1,,,
zess01,acer pseu,tl2,3,,,
zess01,alnu inca,sl,r,,,
zess01,corn sang slat,hl,+,,,
zess01,corn sang slat,sl,+,,,
zess01,cory avel,hl,+,,,
zess01,cory avel,sl,2b,,,
zess01,dryo fili,hl,+,,,
zess01,epil tetr slat,hl,+,,,
zess01,gale arge,hl,2a,,,
zess01,gale mont,hl,4,,,
zess01,gale pube pube,hl,1,,,
zess01,gera robe,hl,+,,,
zess01,glec hede,hl,r,,,
zess01,impa parv,hl,1,,,
zess01,luzu luzu ides,hl,r,,,
zess01,oxal acet,hl,+,,,
zess01,poa nemo,hl,+,,,
zess01,rubu idae,hl,1,,,
zess01,rubu sect rubu,hl,+,,,
zess01,sali capr,tl2,2a,,,
zess01,samb nigr,hl,+,,,
zess01,urti dioi dioi,hl,+,,,
zess02,acer plat,hl,+,,,
zess02,acer plat,tl2,1,,,
zess02,acer pseu,hl,+,,,
zess02,acer pseu,tl1,1,,,
zess02,acer pseu,tl2,1,,,
zess02,arun dioi,hl,r,,,
zess02,athy fili,hl,r,,,
zess02,cory avel,sl,2b,,,
zess02,dryo borr,hl,+,,,
zess02,dryo dila,hl,+,,,
zess02,dryo fili,hl,+,,,
zess02,fagu sylv,sl,+,,,
zess02,fagu sylv,tl1,4,,,
zess02,fagu sylv,tl2,1,,,
zess02,frax exce,hl,+,,,
zess02,gale mont,hl,+,,,
zess02,impa parv,hl,r,,,
zess02,loni nigr,hl,r,,,
zess02,luzu luzu ides,hl,+,,,
zess02,oxal acet,hl,1,,,
zess02,pice abie,sl,+,,,
zess02,pice abie,tl1,1,,,
zess02,poa nemo,hl,r,,,
zess02,ulmu glab,tl2,1,,,
zess02,viol reic,hl,r,,,
zess03,acer pseu,hl,+,,,
zess03,acer pseu,sl,+,,,
zess03,acer pseu,tl2,1,,,
zess03,betu pend,tl2,1,,,
zess03,cory avel,sl,2a,,,
zess03,cory avel,tl2,1,,,
zess03,dryo dila,hl,+,,,
zess03,dryo fili,hl,1,,,
zess03,fagu sylv,hl,+,,,
zess03,fagu sylv,sl,1,,,
zess03,fagu sylv,tl1,5,,,
zess03,fagu sylv,tl2,2a,,,
zess03,frax exce,hl,+,,,
zess03,gale mont,hl,+,,,
zess03,luzu luzu ides,hl,1,,,
zess03,oxal acet,hl,1,,,
zess03,pice abie,sl,r,,,
zess03,poa nemo,hl,+,,,
zess03,pren purp,hl,r,,,
zess03,viol reic,hl,+,,,
zess04,acer pseu,hl,+,,,
zess04,acer pseu,sl,+,,,
zess04,acer pseu,tl2,2b,,,
zess04,arun dioi,hl,+,,,
zess04,care sylv,hl,r,,,
zess04,cory avel,hl,+,,,
zess04,cory avel,sl,2a,,,
zess04,cory avel,tl2,+,,,
zess04,dryo borr,hl,1,,,
zess04,dryo cart,hl,+,,,
zess04,dryo fili,hl,2a,,,
zess04,fagu sylv,hl,+,,,
zess04,fagu sylv,sl,1,,,
zess04,fagu sylv,tl1,3,,,
zess04,fagu sylv,tl2,1,,,
zess04,frax exce,hl,+,,,
zess04,gale mont,hl,+,,,
zess04,impa parv,hl,+,,,
zess04,luzu luzu ides,hl,+,,,
zess04,oxal acet,hl,1,,,
zess04,pice abie,hl,+,,,
zess04,sorb aucu aucu,tl2,+,,,
zess04,tili cord,tl1,2a,,,
zess05,acer plat,hl,+,,,
zess05,acer plat,tl2,1,,,
zess05,acer pseu,hl,+,,,
zess05,acer pseu,tl1,3,,,
zess05,acer pseu,tl2,2b,,,
zess05,acta spic,hl,+,,,
zess05,arun dioi,hl,1,,,
zess05,athy fili,hl,1,,,
zess05,camp trac,hl,r,,,
zess05,care sylv,hl,r,,,
zess05,cory avel,hl,+,,,
zess05,cory avel,sl,1,,,
zess05,cory avel,tl2,+,,,
zess05,dryo cart,hl,+,,,
zess05,dryo fili,hl,3,,,
zess05,fagu sylv,hl,+,,,
zess05,fagu sylv,sl,1,,,
zess05,fagu sylv,tl2,+,,,
zess05,frax exce,hl,1,,,
zess05,frax exce,sl,+,,,
zess05,frax exce,tl1,2b,,,
zess05,frax exce,tl2,1,,,
zess05,gale mont,hl,2a,,,
zess05,gera robe,hl,+,,,
zess05,impa parv,hl,+,,,
zess05,luzu luzu ides,hl,+,,,
zess05,oxal acet,hl,1,,,
zess05,peta albu,hl,1,,,
zess05,pice abie,hl,r,,,
zess05,pice abie,sl,+,,,
zess05,poa nemo,hl,+,,,
zess05,pren purp,hl,r,,,
zess05,prun padu padu,sl,r,,,
zess05,pulm offi,hl,+,,,
zess05,rubu idae,hl,2a,,,
zess05,ulmu glab,sl,r,,,
zess05,ulmu glab,tl2,1,,,
zess05,urti dioi dioi,hl,+,,,
zess05,viol reic,hl,+,,,
zess06,alch spec ies,hl,1,,,
zess06,anth odor,hl,+,,,
zess06,arrh elat,hl,4,,,
zess06,corn sang slat,hl,r,,,
zess06,crep bien,hl,1,,,
zess06,dact glom glom,hl,+,,,
zess06,fest rubr rubr,hl,2b,,,
zess06,frax exce,hl,+,,,
zess06,gali albu,hl,1,,,
zess06,hier pilo ides,hl,r,,,
zess06,leon hisp hisp,hl,r,,,
zess06,lotu corn,hl,2b,,,
zess06,plan lanc,hl,1,,,
zess06,poa prat,hl,+,,,
zess06,poa triv,hl,+,,,
zess06,pote erec,hl,+,,,
zess06,pote rept,hl,1,,,
zess06,prun vulg,hl,r,,,
zess06,seta pumi,hl,r,,,
zess06,sonc aspe aspe,hl,+,,,
zess06,tara sect rude,hl,+,,,
zess06,trif prat prat,hl,1,,,
zess06,trif repe repe,hl,+,,,
zess06,vici crac,hl,+,,,
zess07,ajug rept,hl,+,,,
zess07,alch spec ies,hl,1,,,
zess07,arrh elat,hl,3,,,
zess07,care briz,hl,2a,,,
zess07,corn sang slat,hl,r,,,
zess07,cory avel,hl,r,,,
zess07,crat mono,hl,r,,,
zess07,crep bien,hl,1,,,
zess07,dact glom glom,hl,1,,,
zess07,epil tetr slat,hl,+,,,
zess07,euon euro,hl,r,,,
zess07,fest rubr rubr,hl,2b,,,
zess07,gali albu,hl,+,,,
zess07,glec hede,hl,1,,,
zess07,hier pilo ides,hl,+,,,
zess07,lotu corn,hl,2a,,,
zess07,lyth sali,hl,r,,,
zess07,plan lanc,hl,1,,,
zess07,poa prat,hl,+,,,
zess07,poa triv,hl,+,,,
zess07,seta pumi,hl,r,,,
zess07,tara sect rude,hl,1,,,
zess07,trif prat prat,hl,+,,,
zess07,trif repe repe,hl,+,,,
zess07,vici crac,hl,1,,,
zess08,achi mill aggr,hl,+,,,
zess08,agro capi,hl,1,x,det!,
zess08,alch spec ies,hl,1,,,
zess08,alop prat,hl,3,,,
zess08,anth odor,hl,1,,,
zess08,card prat,hl,+,,,
zess08,care lepo,hl,+,,,
zess08,caru carv,hl,1,,,
zess08,cera holo,hl,+,,,
zess08,dact glom glom,hl,+,,,
zess08,desc cesp,hl,2a,,,
zess08,eleo mami aust,hl,2m,x,det!,
zess08,fest prat prat,hl,2b,,,
zess08,fest rubr rubr,hl,+,,,
zess08,glec hede,hl,+,,,
zess08,loli pere,hl,+,,,
zess08,pers amph,hl,2a,x,det!,
zess08,phal arun,hl,+,,,
zess08,phle prat,hl,1,,,
zess08,plan lanc,hl,+,,,
zess08,poa annu,hl,+,,,
zess08,poa prat,hl,1,,,
zess08,poa triv,hl,2a,,,
zess08,ranu acri acri,hl,2a,,,
zess08,ranu repe,hl,2b,,,
zess08,rori palu,hl,+,,,
zess08,rume acet osa,hl,+,,,
zess08,scir sylv,hl,+,,,
zess08,tara sect rude,hl,+,,,
zess08,trif prat prat,hl,2a,,,
zess08,trif repe repe,hl,2a,,,
zess08,tris flav flav,hl,+,,,
zess08,vero serp serp,hl,+,,,
zess09,achi mill aggr,hl,+,,,
zess09,alch spec ies,hl,2a,,,
zess09,alop prat,hl,1,,,
zess09,anth odor,hl,+,,,
zess09,bell pere,hl,+,,,
zess09,caru carv,hl,1,,,
zess09,dact glom glom,hl,2a,,,
zess09,fest prat prat,hl,1,,,
zess09,glec hede,hl,+,,,
zess09,loli pere,hl,2a,,,
zess09,phle prat,hl,+,,,
zess09,plan lanc,hl,+,,,
zess09,poa prat,hl,+,,,
zess09,poa triv,hl,2a,,,
zess09,ranu acri acri,hl,2a,,,
zess09,ranu repe,hl,1,,,
zess09,rume acet osa,hl,+,,,
zess09,tara sect rude,hl,2b,,,
zess09,trif prat prat,hl,2a,,,
zess09,trif repe repe,hl,1,,,
zess09,tris flav flav,hl,4,,,
zess09,vero cham cham,hl,r,,,
zess09,vero serp serp,hl,+,,,
zess10,achi mill aggr,hl,1,,,
zess10,ajug rept,hl,+,,,
zess10,alch spec ies,hl,+,,,
zess10,alop prat,hl,1,,,
zess10,anth odor,hl,2a,,,
zess10,barb vulg arcu,hl,+,x,,
zess10,card prat,hl,+,,,
zess10,cera holo,hl,+,,,
zess10,cyno cris,hl,+,,,
zess10,dact glom glom,hl,2b,,,
zess10,fest prat prat,hl,1,,,
zess10,leuc ircu,hl,+,,,
zess10,loli mult,hl,2b,,,
zess10,loli pere,hl,1,,,
zess10,lotu corn,hl,+,,,
zess10,lych flos cucu,hl,r,,,
zess10,myos palu aggr,hl,r,x,"vgl. Beleg vom 23.06., kleinblütig",
zess10,myos scor scor,hl,+,,,
zess10,pers bist,hl,+,,,
zess10,phal arun,hl,+,,,
zess10,phle prat,hl,+,,,
zess10,plan lanc,hl,1,,,
zess10,poa triv,hl,3,,,
zess10,ranu acri acri,hl,2b,,,
zess10,ranu repe,hl,2b,,,
zess10,rume acet osa,hl,+,,,
zess10,rume obtu obtu,hl,+,,,
