plot,abbr,layer,cover,voucher,comment,history
ze01,agro capi,hl,2a,,,
ze01,ajug rept,hl,+,,,
ze01,alop prat,hl,+,,,
ze01,anth odor,hl,2a,,,
ze01,calt palu,hl,1,,,
ze01,card prat,hl,+,,,
ze01,care briz,hl,+,,,
ze01,care cane cane,hl,1,x,,
ze01,care lepo,hl,r,,,
ze01,care nigr,hl,3,,,
ze01,care pani,hl,+,,,
ze01,care vesi,hl,r,,,
ze01,cyno cris,hl,+,,,
ze01,equi palu,hl,+,,,
ze01,fest prat prat,hl,1,,,
ze01,fest rubr rubr,hl,2b,,,
ze01,fili ulma,hl,+,,,
ze01,gali palu palu,hl,+,,,
ze01,holc lana,hl,1,,,
ze01,junc fili,hl,2a,,,
ze01,luzu mult,hl,r,,,
ze01,lych flos cucu,hl,2a,,,
ze01,ment spec ies,hl,+,,,
ze01,myos palu aggr,hl,1,,,
ze01,plan lanc,hl,r,,,
ze01,poa prat,hl,2m,,,
ze01,ranu acri acri,hl,2a,,,
ze01,ranu repe,hl,+,,,
ze01,rume acet osa,hl,r,,,
ze01,trif prat prat,hl,2b,,,
ze02,agro capi,hl,2a,,,
ze02,ajug rept,hl,1,,,
ze02,alop prat,hl,+,,,
ze02,anth odor,hl,1,,,
ze02,card prat,hl,r,,,
ze02,care briz,hl,1,,,
ze02,care lepo,hl,1,,,
ze02,care nigr,hl,2a,,,
ze02,care pani,hl,+,,,
ze02,care vesi,hl,2a,,,
ze02,desc cesp,hl,3,,,
ze02,equi palu,hl,+,,,
ze02,fest prat prat,hl,2b,,,
ze02,fest rubr rubr,hl,2a,,,
ze02,fili ulma,hl,+,,,
ze02,junc fili,hl,1,,,
ze02,lath prat prat,hl,+,,,
ze02,leuc ircu,hl,r,,,
ze02,lych flos cucu,hl,1,,,
ze02,myos palu aggr,hl,+,,,
ze02,pers bist,hl,2a,,,
ze02,plan lanc,hl,r,,,
ze02,ranu acri acri,hl,2b,,,
ze02,ranu auri aggr,hl,+,,,
ze02,rume acet osa,hl,+,,,
ze02,scir sylv,hl,+,,,
ze02,trif prat prat,hl,1,,,
ze02,vici crac,hl,+,,,
ze03,achi mill aggr,hl,+,,,
ze03,agro capi,hl,2a,,,
ze03,ajug rept,hl,+,,,
ze03,alop prat,hl,1,,,
ze03,anem nemo,hl,+,,,
ze03,ange sylv sylv,hl,r,,,
ze03,anth odor,hl,2b,,,
ze03,calt palu,hl,+,,,
ze03,care hirt,hl,+,,,
ze03,care nigr,hl,1,,,
ze03,care vesi,hl,2a,,,
ze03,caru carv,hl,2b,,,
ze03,cirs oler,hl,+,,,
ze03,crep moll slat,hl,r,x,,
ze03,dact glom glom,hl,2a,,,
ze03,desc cesp,hl,1,,,
ze03,equi palu,hl,+,,,
ze03,fest prat prat,hl,2b,,,
ze03,fest rubr rubr,hl,2a,,,
ze03,fili ulma,hl,1,,,
ze03,gali albu,hl,+,,,
ze03,glec hede,hl,r,,,
ze03,junc fili,hl,+,,,
ze03,lath prat prat,hl,+,,,
ze03,leuc ircu,hl,r,,,
ze03,lych flos cucu,hl,+,,,
ze03,myos palu aggr,hl,+,,,
ze03,pers bist,hl,3,,,
ze03,prim elat,hl,r,,,
ze03,prun vulg,hl,+,,,
ze03,ranu acri acri,hl,2b,,,
ze03,ranu auri aggr,hl,+,,,
ze03,ranu repe,hl,1,,,
ze03,rume acet osa,hl,+,,,
ze03,scir sylv,hl,+,,,
ze03,tara sect rude,hl,+,,,
ze03,trif prat prat,hl,1,,,
ze03,trif repe repe,hl,+,,,
ze03,vici crac,hl,+,,,
ze04,agro capi,hl,1,,,
ze04,ajug rept,hl,+,,,
ze04,alop prat,hl,+,,,
ze04,anth odor,hl,1,,,
ze04,calt palu,hl,+,,,
ze04,card prat,hl,+,,,
ze04,care echi,hl,1,,,
ze04,care lepo,hl,2b,,,
ze04,care nigr,hl,3,,,
ze04,care vesi,hl,+,,,
ze04,desc cesp,hl,2b,,,
ze04,equi palu,hl,+,,,
ze04,fest prat prat,hl,+,,,
ze04,fest rubr rubr,hl,1,,,
ze04,fili ulma,hl,+,,,
ze04,gali palu palu,hl,+,,,
ze04,gali ulig,hl,+,,,
ze04,hype tetr,hl,r,,,
ze04,junc effu,hl,1,,,
ze04,junc fili,hl,2a,,,
ze04,junc tenu,hl,+,x,,
ze04,lych flos cucu,hl,+,,,
ze04,lysi numm,hl,+,,,
ze04,lysi vulg,hl,+,,,
ze04,lyth sali,hl,+,,,
ze04,ment spec ies,hl,1,,,
ze04,myos palu aggr,hl,+,,,
ze04,pers bist,hl,+,,,
ze04,poa annu,hl,+,,,
ze04,poa prat,hl,1,,,
ze04,poa triv,hl,1,,,
ze04,prun vulg,hl,+,,,
ze04,ranu acri acri,hl,1,,,
ze04,ranu repe,hl,1,,,
ze04,scir sylv,hl,2a,,,
ze04,trif prat prat,hl,+,,,
ze04,trif repe repe,hl,2a,,,
ze04,vero serp serp,hl,r,,,
ze04,viol palu,hl,1,,,
ze05,agro capi,hl,2b,,,
ze05,ajug rept,hl,+,,,
ze05,alop prat,hl,1,,,
ze05,anth odor,hl,2m,,,
ze05,calt palu,hl,+,,,
ze05,card prat,hl,+,,,
ze05,care cane cane,hl,+,,,
ze05,care lepo,hl,2a,,,
ze05,care nigr,hl,4,,,
ze05,care vesi,hl,1,,,
ze05,desc cesp,hl,2b,,,
ze05,equi palu,hl,+,,,
ze05,fili ulma,hl,+,,,
ze05,gali palu palu,hl,+,,,
ze05,holc lana,hl,+,,,
ze05,junc fili,hl,2m,,,
ze05,lych flos cucu,hl,+,,,
ze05,ment spec ies,hl,+,,,
ze05,myos palu aggr,hl,2m,,,
ze05,pers bist,hl,r,,,
ze05,poa prat,hl,+,,,
ze05,poa triv,hl,+,,,
ze05,ranu acri acri,hl,+,,,
ze05,ranu auri aggr,hl,r,,,
ze05,ranu repe,hl,+,,,
ze05,scir sylv,hl,1,,,
ze05,trif prat prat,hl,+,,,
ze05,trif repe repe,hl,2a,,,
ze05,vero serp serp,hl,+,,,
ze06,achi mill aggr,hl,+,,,
ze06,agro capi,hl,2a,,,
ze06,ajug rept,hl,+,,,
ze06,alop prat,hl,1,,,
ze06,ange sylv sylv,hl,r,,,
ze06,anth odor,hl,2m,,,
ze06,calt palu,hl,+,,,
ze06,care lepo,hl,1,,,
ze06,care nigr,hl,4,,,
ze06,care vesi,hl,1,,,
ze06,desc cesp,hl,1,,,
ze06,equi palu,hl,+,,,
ze06,fest prat prat,hl,1,,,
ze06,fest rubr rubr,hl,1,,,
ze06,fili ulma,hl,1,,,
ze06,geum riva,hl,r,,,
ze06,junc fili,hl,1,,,
ze06,lath prat prat,hl,+,,,
ze06,lych flos cucu,hl,+,,,
ze06,myos palu aggr,hl,+,,,
ze06,pers bist,hl,2b,,,
ze06,pimp majo majo,hl,r,,,
