plot,longitude,latitude,accuracy,elevation,cov,comment,location,pls,observer,date,remarks
1,47.608916,14.728886,200,,,,Kalktal,20,T. Zimmermann,2019-09-26,
2,47.608916,14.728886,200,,,,Kalktal,20,T. Zimmermann,2019-09-26,
3,47.608916,14.728886,200,,,,Kalktal,20,T. Zimmermann,2019-09-26,
4,47.608916,14.728886,200,,,,Kalktal,20,T. Zimmermann,2019-09-26,
5,47.608916,14.728886,200,,,,Kalktal,20,T. Zimmermann,2019-09-26,
6,47.608916,14.728886,200,,,,Kalktal,20,T. Zimmermann,2019-09-26,
7,47.608916,14.728886,200,,,,Kalktal,20,T. Zimmermann,2019-09-26,
8,47.590515,14.641141,175,,,,Gstatterboden,20,T. Zimmermann,2019-09-26,
9,47.590515,14.641141,175,,,,Gstatterboden,20,T. Zimmermann,2019-09-26,
10,47.608916,14.728886,200,,,,Kalktal,20,A. Bohner,2009-01-01,date is year of publication
11,47.608916,14.728886,200,,,,Kalktal,20,A. Bohner,2009-01-01,date is year of publication
12,47.608916,14.728886,200,,,,Kalktal,20,A. Bohner,2009-01-01,date is year of publication
13,47.608916,14.728886,200,,,,Kalktal,20,A. Bohner,2009-01-01,date is year of publication
14,47.608916,14.728886,200,,,,Kalktal,20,A. Bohner,2009-01-01,date is year of publication
15,47.608916,14.728886,200,,,,Kalktal,20,A. Bohner,2009-01-01,date is year of publication
16,47.605799,14.713853,200,,,,Scheibenbauernkar,20,A. Bohner,2009-01-01,date is year of publication
17,47.605799,14.713853,200,,,,Scheibenbauernkar,20,A. Bohner,2009-01-01,date is year of publication
18,47.605799,14.713853,200,,,,Scheibenbauernkar,20,A. Bohner,2009-01-01,date is year of publication
