taxon,matched.taxon
Calamagrostis varia,Calamagrostis varia
Buphthalmum salicifolium,Buphthalmum salicifolium
Euphorbia cyparissias,Euphorbia cyparissias
Viola hirta,Viola hirta
Clinopodium vulgare,Clinopodium vulgare ssp. vulgare
Fragaria vesca,Fragaria vesca
Scabiosa lucida,Scabiosa lucida ssp. lucida
Thymus pulegioides et praecox,Thymus praecox s.lat.
Ranunculus nemorosus,Ranunculus nemorosus
Galium mollugo agg.,Galium mollugo agg.
Vincetoxicum hirundinaria,Vincetoxicum hirundinaria
Cyclamen purpurascens,Cyclamen purpurascens
Valeriana wallrothii,Valeriana officinalis ssp. tenuifolia
Teucrium chamaedrys,Teucrium chamaedrys ssp. chamaedrys
Thuidium philibertii,Thuidium assimile
Sesleria albicans,Sesleria caerulea s.str.
Helleborus niger,Helleborus niger
Betonica alopecuros,Betonica alopecuros
Lotus corniculatus,Lotus corniculatus s.str.
Carduus defloratus,Carduus defloratus ssp. viridis
Carex digitata,Carex digitata
Anthyllis vulneraria,Anthyllis vulneraria s.lat.
Carex alba,Carex alba
Solidago virgaurea,Solidago virgaurea ssp. virgaurea
Knautia maxima,Knautia maxima ssp. maxima
Rhytidiadelphus triquetrus,Rhytidiadelphus triquetrus
Hylocomium splendens,Hylocomium splendens
Pleurozium schreberi,Pleurozium schreberi
Scleropodium purum,Scleropodium purum
Erica carnea,Erica carnea
Polygala chamaebuxus,Polygala chamaebuxus
Petasites paradoxus,Petasites paradoxus
Euphorbia amygdaloides,Euphorbia amygdaloides ssp. amygdaloides
Hieracium piloselloides,Hieracium piloselloides s.str.
Hieracium bifidum,Hieracium bifidum
Solidago canadensis,Solidago canadensis
Bromus erectus,Bromus erectus
Pastinaca sativa,Pastinaca sativa ssp. sativa
Hieracium lachenalii,Hieracium lachenalii
Betonica officinalis,Betonica officinalis
Molinia caerulea agg.,Molinia caerulea agg.
Securigera varia,Securigera varia
Aquilegia vulgaris agg.,Aquilegia atrata
Homalothecium lutescens,Homalothecium lutescens
Carex humilis,Carex humilis
Potentilla verna agg.,Potentilla verna agg.
Trifolium montanum,Trifolium montanum ssp. montanum
Campanula cespitosa,Campanula cespitosa
