plot,date,cov,tcov,scov,hcov,mcov,lcov,bare,water,hhl,hsl,ph,cond,longitude,latitude,type,location,comment,observer,accuracy
ulf01,2015-06-28,1,0,0,4,1,0,0,99,0.2,0,5.07,12,13.8985833587432,47.1658377171341,flark,Moor W Zechnergraben,,R. Kaiser,1
ulf02,2015-06-29,40,0,0,15,25,0,0,85,0.2,0,5.45,11,13.8977675477187,47.1659418202728,flark,Moor W Zechnergraben,,R. Kaiser,1
ulf03,2015-06-28,40,0,0,30,10,0,0,60,0.35,0,4.99,8,13.8989628636509,47.1657914186007,flark,Moor W Zechnergraben,,R. Kaiser,1
ulf04,2015-06-30,90,0,0,15,50,0,0,10,0.2,0,5.67,22,13.8975990016364,47.1660181836853,flark,Moor W Zechnergraben,,R. Kaiser,1
ulf05,2015-06-28,25,0,0,7,25,0,0,75,0.2,0,5.3,9,13.8984315567801,47.1658298189073,flark,Moor W Zechnergraben,,R. Kaiser,1
ulf06,2015-06-28,3,0,0,2,1,0,0,100,0.3,0,6.45,23,13.8986024585156,47.1659895190971,flark,Moor W Zechnergraben,,R. Kaiser,1
ulf07,2015-06-28,80,0,0,25,80,0,10,10,0.2,0,5.39,7,13.8987351607063,47.1657717676894,flark,Moor W Zechnergraben,,R. Kaiser,1
ulf08,2015-06-28,100,0,0,25,90,0,0,10,0.15,0,5.19,10,13.8988121322490,47.1658788124542,flark,Moor W Zechnergraben,,R. Kaiser,1
ulf09,2015-06-29,5,0,0,5,0,0,0,100,0.34,0,5.69,32,13.8981290234152,47.1658671693870,flark,Moor W Zechnergraben,,R. Kaiser,1
ulf10,2015-06-28,65,0,0,30,65,0,0,35,0.25,0,4.96,13,13.8986592597247,47.1658313935865,flark,Moor W Zechnergraben,,R. Kaiser,1
ulf11,2015-06-30,10,0,0,10,10,0,0,90,0.12,0,5.02,16,13.8976736175260,47.1659077462230,flark,Moor W Zechnergraben,,R. Kaiser,1
ulf12,2015-06-30,100,0,0,15,70,0,0,0,0.24,0,6.01,13,13.8973121418295,47.1659727399044,flark,Moor W Zechnergraben,,R. Kaiser,1
ulf13,2015-06-28,0,0,0,10,0,0,0,100,0.25,0,6.51,16,13.8986783594971,47.1659831955496,flark,Moor W Zechnergraben,,R. Kaiser,1
ulf14,2015-06-29,32,0,0,7,25,0,0,75,33,0,5.06,15,13.8984326273414,47.1659057198888,flark,Moor W Zechnergraben,,R. Kaiser,1
ulf15,2015-06-28,96,0,0,96,25,0,0,4,0.2,0,4.94,20,13.8988869626693,47.1657884216102,flark,Moor W Zechnergraben,,R. Kaiser,1
ulf16,2015-06-28,3,0,0,3,0,0,0,100,0.39,0,5.12,8,13.8985844293044,47.1659136181156,flark,Moor W Zechnergraben,,R. Kaiser,1
ulf17,2015-06-30,90,0,0,25,20,0,0,10,0.17,0,5.09,22,13.8970664096738,47.1658618454747,flark,Moor W Zechnergraben,,R. Kaiser,1
